AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
56.59026,0.2387103,1.467455,-0.06854628,-0.03105771,-0.0533943,0.01787494,0.01787494,FALSE,FALSE,-3.772884,1.166487,2.079066,0.009850023,-0.07116142,-0.9974074,52.49047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.701,0.2396974,1.467399,-0.06856645,-0.03071729,-0.05021724,0.01746423,0.01746423,FALSE,FALSE,-3.774364,1.166398,2.080397,-0.007301517,-0.05225258,-0.998593,56.6931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.74832,0.2552113,1.465554,-0.05900997,-0.01979752,-0.02449691,-0.001195102,-0.001195102,FALSE,FALSE,-3.772364,1.166116,2.081059,-0.007342885,-0.04170114,-0.9991013,56.72237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.78535,0.2548622,1.465509,-0.05992975,-0.01998894,-0.0257935,-0.000836516,-0.000836516,FALSE,FALSE,-3.770302,1.166147,2.081826,-0.00744591,-0.04568791,-0.9989154,56.77768,0.06522667,0.6219685,-0.02022851,0.007909851,0.403195,0.3102104,-0.4293193,-0.4293193,0.4157649,0.6255779,-0.00792253,0.008716032,0.4039554,-0.2462607,0.4192447,0.4192447
56.81144,0.254656,1.465504,-0.06074546,-0.02043023,-0.02638741,-0.000777442,-0.000777442,FALSE,FALSE,-3.771258,1.166152,2.082212,-0.008158632,-0.05077104,-0.9986637,56.80416,0.06569868,0.6219543,-0.01985955,0.00391992,0.4030979,0.3098893,-0.4293725,-0.4293725,0.4156549,0.6255452,-0.008070469,0.007964309,0.4038098,-0.2463079,0.4193723,0.4193723
56.8363,0.2546767,1.465427,-0.06138105,-0.0203412,-0.0262544,-0.00050928,-0.00050928,FALSE,FALSE,-3.772464,1.166125,2.082635,0.007051225,-0.05374171,-0.9985236,56.83062,0.06521368,0.6219258,-0.02016532,0.00480148,0.4028639,0.3093549,-0.429552,-0.429552,0.4157563,0.6255047,-0.008401632,0.008219736,0.4037702,-0.2463408,0.4196354,0.4196354
56.86239,0.2547242,1.4653,-0.06207021,-0.0201095,-0.02596258,-0.000525854,-0.000525854,FALSE,FALSE,-3.771067,1.166125,2.083173,-0.000457513,-0.05866895,-0.9982679,56.85569,0.0651356,0.621975,-0.02035761,0.004566098,0.4028173,0.3090429,-0.4294519,-0.4294519,0.4157261,0.6254928,-0.008519292,0.006233964,0.4038357,-0.2461267,0.4194366,0.4194366
56.89833,0.2547598,1.465122,-0.06310447,-0.01951528,-0.0254213,-0.000802231,-0.000802231,FALSE,FALSE,-3.771763,1.165972,2.083894,-0.0110921,-0.07260299,-0.9972843,56.89039,0.0657298,0.6220468,-0.02016246,0.00464476,0.4026938,0.3093682,-0.4295386,-0.4295386,0.4154618,0.6257485,-0.008839369,0.006330399,0.4036968,-0.24561,0.4191604,0.4191604
56.92632,0.2547518,1.464985,-0.06357889,-0.0196081,-0.0252137,-0.00084634,-0.00084634,FALSE,FALSE,-3.772007,1.165852,2.084443,0.006935694,-0.05247495,-0.998596,56.92003,0.06590462,0.6220365,-0.02015066,0.004229083,0.4025184,0.3095885,-0.4294322,-0.4294322,0.4158566,0.6256689,-0.008570194,0.004889475,0.4034944,-0.2449379,0.4190508,0.4190508
56.96198,0.2548991,1.465009,-0.06456689,-0.02052413,-0.0250414,-0.000853222,-0.000853222,FALSE,FALSE,-3.767986,1.165903,2.085323,0.01128121,-0.07551967,-0.9970778,56.95509,0.0656513,0.6220627,-0.02030945,0.002618297,0.4020198,0.3091756,-0.4295085,-0.4295085,0.416007,0.6258796,-0.008654237,0.006693211,0.4030529,-0.244016,0.4195833,0.4195833
56.98904,0.2549161,1.465096,-0.06507511,-0.02102605,-0.02484126,-0.000955584,-0.000955584,FALSE,FALSE,-3.76502,1.165974,2.086028,0.002848853,-0.06397229,-0.9979453,56.98261,0.06564999,0.6222535,-0.02014697,0.005104151,0.4015803,0.3089543,-0.4296364,-0.4296364,0.4160056,0.6257135,-0.00859952,0.003884639,0.4028476,-0.2435487,0.4195685,0.4195685
57.02781,0.2549791,1.465108,-0.06609936,-0.02135733,-0.02479688,-0.001006,-0.001006,FALSE,FALSE,-3.786393,1.164812,2.086093,0.1560485,-0.2076114,-0.9656797,57.02054,0.06579143,0.6223767,-0.01982999,0.005460362,0.4009893,0.3089309,-0.42992,-0.42992,0.4162501,0.6255209,-0.008386374,0.003401234,0.4022303,-0.2432,0.4198173,0.4198173
57.05386,0.2548438,1.465047,-0.06653576,-0.02110376,-0.02502736,-0.000625433,-0.000625433,FALSE,FALSE,-3.786337,1.164707,2.086697,0.1783438,-0.2169979,-0.9597319,57.04737,0.0658884,0.6224304,-0.01955497,0.006077098,0.4008075,0.3085361,-0.4299933,-0.4299933,0.4162728,0.6255597,-0.00830102,0.00147701,0.4018383,-0.2431511,0.4200573,0.4200573
