AppTime,Actor,Event_Category,Event_Type,Object,Attributes
49.70435,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
55.56631,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.5376
56.68904,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.3685
57.28731,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.3301
57.96679,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.3472
58.04018,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,0.4435
61.1818,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,2.3169
65.70283,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,6.9174
65.93877,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.6337
66.66486,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.4029
73.97432,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.3152
77.20762,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,2.7179
77.30631,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,22.3351
80.5797,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,14.7731
80.95895,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3135
89.02351,USER,ACTION,ITEM_ADD,Baguette,Baguette1
89.02458,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
89.03098,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
89.0325,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
89.14723,USER,EYE-TRACKING,DECISION_MAKING,,3.6557
89.19504,USER,EYE-TRACKING,DECISION_MAKING,,3.5121
90.5217,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
91.09332,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.382
92.14764,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.9895
93.03715,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.8435
96.88967,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,7.3916
97.73146,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.5019
99.39652,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.4561
100.646,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.454
102.1774,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6469
104.0536,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.7152
