AppTime,Actor,Event_Category,Event_Type,Object,Attributes
69.38541,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
89.40371,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,0.5974
94.21482,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,6.998
95.12137,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.4578
95.91528,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.4542
98.49617,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.7141
101.5562,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.4279
101.7065,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,4.38
105.0042,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.5502
122.4484,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3013
124.5752,USER,ACTION,ITEM_ADD,Coffee,Coffee1
124.5762,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,커피 (이)가 추가되었습니다.
124.5837,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
124.5854,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
126.0741,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
126.9439,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.484
135.605,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,4.8305
136.9368,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3156
138.9141,USER,EYE-TRACKING,DECISION_MAKING,,0.7231
139.8037,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,2.7858
146.4008,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,5.6001
148.4877,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3571
148.58,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
151.0096,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5006
151.9635,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,3.3702
152.6382,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3211
154.5422,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.4318
155.0997,USER,EYE-TRACKING,DECISION_MAKING,커피,0.3061
157.2323,USER,ACTION,ITEM_ADD,Baguette,Baguette1
157.2332,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
157.2393,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
160.2139,USER,EYE-TRACKING,DECISION_MAKING,,11.6346
161.2141,USER,EYE-TRACKING,DECISION_MAKING,커피,0.4368
163.254,USER,ACTION,ITEM_ADD,Cheese,Cheese1
163.2547,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
163.2601,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
163.4461,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,9.5393
163.9703,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.366
164.3365,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.3544
166.1344,USER,EYE-TRACKING,DECISION_MAKING,,0.355
166.3118,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.5211
169.0607,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
169.0616,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
169.0677,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
169.855,USER,EYE-TRACKING,DECISION_MAKING,,0.4368
170.3329,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,15.7564
172.4961,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,8.9046
173.2666,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.5393
174.0624,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
174.0652,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
