AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
75.47462,0.02164117,1.519013,0.1208227,-0.03108717,-0.05294246,0.006298575,0.006298575,FALSE,TRUE,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75.59089,0.02173883,1.518898,0.1209202,-0.03080234,-0.0531466,0.005972026,0.005972026,FALSE,FALSE,-3.515644,1.229393,1.928012,0.1009258,-0.1377183,-0.9853036,75.58238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75.63509,0.025398,1.529009,0.09799857,-0.09103563,-0.0540827,0.002579529,0.002579529,FALSE,FALSE,-3.514627,1.231151,1.928181,0.08985172,-0.1286367,-0.9876044,75.61073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75.66734,0.02548464,1.52902,0.09759544,-0.09083156,-0.05370115,0.00288081,0.00288081,FALSE,FALSE,-3.515182,1.23117,1.928358,0.1045409,-0.1395235,-0.9846752,75.65993,-0.09069741,1.169229,0.2448409,0.03440235,-0.4226626,0.02898392,0.08430031,0.08430031,0.10776,1.153204,0.2805775,0.009118488,-0.294701,-0.1003605,-0.2413829,-0.2413829
75.69318,0.02558194,1.528899,0.09721686,-0.09017841,-0.05351457,0.003274257,0.003274257,FALSE,FALSE,-3.515865,1.23111,1.928391,0.09467426,-0.1398121,-0.9856325,75.68715,-0.08941507,1.16897,0.2452013,0.02790278,-0.421705,0.02965681,0.08489672,0.08489672,0.1075433,1.152919,0.2807178,0.01262206,-0.2936591,-0.1008166,-0.240119,-0.240119
75.72369,0.0256431,1.528818,0.09707049,-0.09000855,-0.05354505,0.003446872,0.003446872,FALSE,FALSE,-3.517853,1.231109,1.928276,0.08107841,-0.1243712,-0.9889109,75.71629,-0.08920038,1.168608,0.2451646,0.02105674,-0.4205432,0.02998311,0.08521435,0.08521435,0.1073323,1.152449,0.2805135,0.01428614,-0.292712,-0.1011426,-0.2408747,-0.2408747
75.74928,0.02580322,1.528752,0.09686008,-0.0898132,-0.05357661,0.003410691,0.003410691,FALSE,FALSE,-3.517725,1.231041,1.928466,0.08720692,-0.1305481,-0.9875929,75.74331,-0.08994305,1.168625,0.2443645,0.01444468,-0.4207199,0.02999628,0.08463435,0.08463435,0.1071857,1.152127,0.2802203,0.01301439,-0.2919809,-0.1008822,-0.2399062,-0.2399062
75.77912,0.0258918,1.528671,0.09661335,-0.08977215,-0.05380371,0.003516857,0.003516857,FALSE,FALSE,-3.519869,1.231108,1.928321,0.0701534,-0.1384386,-0.9878725,75.77312,-0.08984911,1.168574,0.2435371,0.01716691,-0.4213625,0.03064427,0.08313965,0.08313965,0.1070665,1.15211,0.2798742,0.01228945,-0.2918426,-0.101383,-0.2394188,-0.2394188
75.80552,0.02601648,1.528663,0.09651221,-0.08949669,-0.05391726,0.003539609,0.003539609,FALSE,FALSE,-3.521338,1.231094,1.928223,0.0795622,-0.129481,-0.9883744,75.79953,-0.08953595,1.169023,0.2432934,0.0152837,-0.4213091,0.03110806,0.08247238,0.08247238,0.1068159,1.152079,0.2796111,0.01323158,-0.2920052,-0.1023402,-0.2387242,-0.2387242
75.8317,0.02600438,1.528596,0.09633635,-0.08893289,-0.05395641,0.003471316,0.003471316,FALSE,FALSE,-3.523971,1.230878,1.927949,0.1174321,-0.1906015,-0.9746101,75.82464,-0.0899117,1.169365,0.2429979,0.01220053,-0.4213265,0.03115162,0.08187197,0.08187197,0.1065953,1.151943,0.2790246,0.01527223,-0.2922805,-0.102941,-0.2375575,-0.2375575
75.8711,0.02618729,1.528318,0.09614277,-0.08741876,-0.05378174,0.003719019,0.003719019,FALSE,FALSE,-3.541202,1.230697,1.925192,0.1918653,-0.407678,-0.8927371,75.86219,-0.08958912,1.169161,0.2431796,0.01064447,-0.4215599,0.02995726,0.08087008,0.08087008,0.1063758,1.151959,0.2788081,0.0100971,-0.29202,-0.103466,-0.2355257,-0.2355257
75.89759,0.02626005,1.528114,0.0959466,-0.0863586,-0.05362513,0.003913334,0.003913334,FALSE,FALSE,-3.535323,1.230288,1.926513,0.1876003,-0.4000814,-0.8970554,75.89101,-0.08979094,1.169143,0.2430544,0.01185058,-0.4214914,0.0284028,0.08068395,0.08068395,0.1061789,1.151588,0.2785949,0.009044054,-0.2919424,-0.1036795,-0.2352964,-0.2352964
75.93642,0.02647885,1.527806,0.09597398,-0.08437606,-0.05317748,0.004379734,0.004379734,FALSE,FALSE,-3.519532,1.229504,1.929561,0.210465,-0.4324102,-0.8767544,75.92917,-0.0896771,1.168857,0.2432913,0.008826335,-0.4206393,0.02668905,0.08083194,0.08083194,0.1062758,1.151259,0.2786061,0.00906213,-0.2911533,-0.1026829,-0.2332085,-0.2332085
75.96334,0.02651692,1.527652,0.09617148,-0.08337907,-0.05324132,0.004732325,0.004732325,FALSE,FALSE,-3.524484,1.229507,1.928715,0.2044352,-0.4186219,-0.8848341,75.95674,-0.0898627,1.169037,0.2431537,0.008517887,-0.4203488,0.02607109,0.08000086,0.08000086,0.1062225,1.150996,0.278524,0.009466029,-0.2910681,-0.1020836,-0.2319901,-0.2319901
76.0026,0.02654782,1.527187,0.09640907,-0.08095986,-0.05372869,0.003488326,0.003488326,FALSE,FALSE,-3.521033,1.229075,1.929269,0.176528,-0.3993548,-0.8996291,75.9952,-0.08910942,1.169168,0.2433894,0.01384588,-0.4208914,0.02645492,0.07848077,0.07848077,0.1063446,1.150575,0.2784201,0.01069773,-0.2912063,-0.1018505,-0.2310815,-0.2310815
76.02647,0.02654452,1.526873,0.09653635,-0.07860604,-0.05425467,0.003713398,0.003713398,FALSE,FALSE,-3.522977,1.228931,1.928882,0.2046976,-0.4070142,-0.8901724,76.02047,-0.08901739,1.169374,0.2430416,0.01795121,-0.4220393,0.02663092,0.07738777,0.07738777,0.106149,1.150305,0.2785033,0.01056968,-0.2899841,-0.1017936,-0.2282133,-0.2282133
76.05444,0.02653543,1.526658,0.09665704,-0.07656072,-0.0549206,0.003979406,0.003979406,FALSE,FALSE,-3.52131,1.228651,1.929069,0.1799553,-0.3952739,-0.9007537,76.04789,-0.08898449,1.169425,0.242959,0.0148445,-0.4221604,0.02661385,0.07632323,0.07632323,0.1059744,1.150296,0.2784925,0.006439475,-0.2894706,-0.1018469,-0.225963,-0.225963
76.09228,0.02633141,1.526377,0.09673214,-0.07395657,-0.05654489,0.004233565,0.004233565,FALSE,FALSE,-3.52058,1.228269,1.929143,0.2063572,-0.3993033,-0.893286,76.08505,-0.08872485,1.169721,0.2428455,0.01588042,-0.4217404,0.02673228,0.07555147,0.07555147,0.1061131,1.15106,0.2780524,0.016289,-0.2909849,-0.1007491,-0.2242855,-0.2242855
76.1172,0.02632752,1.526277,0.09691411,-0.0730854,-0.05754438,0.0047116,0.0047116,FALSE,FALSE,-3.520324,1.22809,1.929122,0.1850403,-0.3990793,-0.8980363,76.11142,-0.08853066,1.170271,0.2427064,0.02469186,-0.4223168,0.02636238,0.07458317,0.07458317,0.1064637,1.15227,0.2775841,0.03839265,-0.2930327,-0.09985829,-0.223105,-0.223105
