AppTime,Actor,Event_Category,Event_Type,Object,Attributes
55.59404,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
61.17292,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,0.3032
63.51952,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.6997
63.78592,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,1.1425
64.80127,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.5537
65.76819,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5665
68.45139,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,4.1619
69.67754,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5303
72.33498,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.3947
73.13128,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,9.1271
78.75173,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,3.5349
87.56741,USER,ACTION,ITEM_ADD,Baguette,Baguette1
87.56847,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
87.57465,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
87.57612,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
88.03735,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.343
89.06723,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
89.82021,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.0913
90.93185,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.0847
91.86088,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4557
93.1524,USER,EYE-TRACKING,DECISION_MAKING,,0.8114
93.76237,USER,EYE-TRACKING,DECISION_MAKING,,0.3618
94.587,USER,EYE-TRACKING,DECISION_MAKING,,0.5376
98.13715,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.576
100.6947,USER,EYE-TRACKING,DECISION_MAKING,,1.6576
101.2741,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4777
101.7364,USER,EYE-TRACKING,DECISION_MAKING,,9.4075
102.7364,USER,EYE-TRACKING,DECISION_MAKING,,0.986
103.0907,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3413
106.6855,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.3613
107.3795,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.4039
108.3834,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5226
111.5743,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
116.7113,USER,EYE-TRACKING,DECISION_MAKING,,26.0948
117.2274,USER,EYE-TRACKING,DECISION_MAKING,,0.5272
119.4952,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
119.4958,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
119.5011,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
