AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
89.39257,0.001079183,1.58245,-0.02400984,-0.008903055,-0.01337308,0.00216494,0.00216494,FALSE,FALSE,-3.488456,1.277278,2.028369,0.1178903,-0.02742466,-0.9926414,85.38414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89.51856,0.000787117,1.582462,-0.02389367,-0.009005201,-0.01545325,0.001981652,0.001981652,FALSE,FALSE,-3.497375,1.277009,2.02618,0.09084646,-0.1621563,-0.9825644,89.51157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89.58224,-0.0104232,1.579997,-0.003816871,-0.003859918,-0.02004648,0.02070495,0.02070495,FALSE,FALSE,-3.45883,1.274476,2.027681,0.1361789,-0.1553256,-0.9784179,89.55672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89.62853,-0.01059634,1.579871,-0.00349745,-0.003501963,-0.01966361,0.020394,0.020394,FALSE,FALSE,-3.487369,1.276093,2.025703,0.1112853,-0.1593177,-0.9809323,89.62077,-0.1873913,0.666046,-0.01013732,0.02352069,0.3854176,0.378051,-0.3664268,-0.3664268,0.1533028,0.6744937,0.008713603,0.01580506,0.3549008,-0.3425372,0.3468775,0.3468775
89.67342,-0.01075356,1.579944,-0.003172945,-0.004069097,-0.01977013,0.02033173,0.02033173,FALSE,FALSE,-3.488289,1.276211,2.025449,0.1161378,-0.1374161,-0.9836691,89.66579,-0.1948551,0.6650305,-0.01477766,0.01775882,0.3844431,0.3784507,-0.3658051,-0.3658051,0.1526859,0.6743205,0.009301662,0.01551432,0.3540688,-0.3425514,0.3486318,0.3486318
89.70499,-0.01086062,1.580096,-0.003112449,-0.004589414,-0.01939896,0.02041553,0.02041553,FALSE,FALSE,-3.4625,1.274853,2.026793,0.1289177,-0.1383993,-0.9819408,89.69954,-0.1962032,0.6652468,-0.01613629,0.02127352,0.3844709,0.3790969,-0.3654329,-0.3654329,0.1523992,0.6745004,0.01017988,0.01905036,0.3531689,-0.3420669,0.3487519,0.3487519
89.74013,-0.01112345,1.580339,-0.003062279,-0.005600098,-0.01859043,0.02073066,0.02073066,FALSE,FALSE,-3.457574,1.274631,2.026884,0.1310336,-0.1351196,-0.9821227,89.73349,-0.1983017,0.6651021,-0.01745439,0.02864432,0.3845441,0.3795061,-0.3644271,-0.3644271,0.1521348,0.6747024,0.01064122,0.01750197,0.3524667,-0.3423007,0.3489552,0.3489552
89.77494,-0.0114809,1.580386,-0.003046449,-0.005845795,-0.01881152,0.02079265,0.02079265,FALSE,FALSE,-3.481522,1.276247,2.025918,0.1155758,-0.1599557,-0.9803224,89.76842,-0.199343,0.6648673,-0.01821744,0.03176276,0.3840192,0.3789739,-0.3646969,-0.3646969,0.1517826,0.6746331,0.01078558,0.01039882,0.3525933,-0.3427038,0.3483883,0.3483883
89.80983,-0.01167476,1.580461,-0.003019763,-0.005642457,-0.01896374,0.02011308,0.02011308,FALSE,FALSE,-3.491783,1.276993,2.02546,0.1108161,-0.1574139,-0.9812938,89.80338,-0.1996694,0.6649857,-0.01823568,0.0330432,0.3839219,0.3784966,-0.3643845,-0.3643845,0.1519294,0.6745349,0.01099277,0.006155346,0.3525758,-0.3430811,0.3488791,0.3488791
89.84971,-0.01203131,1.580404,-0.003213801,-0.00590585,-0.01983679,0.0202451,0.0202451,FALSE,FALSE,-3.457143,1.27494,2.027049,0.1387229,-0.139179,-0.9804884,89.84311,-0.1989176,0.6649043,-0.01761043,0.03127483,0.3839088,0.3773952,-0.3643095,-0.3643095,0.151701,0.6746436,0.01072681,0.001893324,0.3533647,-0.3430763,0.3488523,0.3488523
89.88782,-0.01244244,1.580401,-0.003440729,-0.00596334,-0.02035309,0.0210274,0.0210274,FALSE,FALSE,-3.463978,1.275424,2.026887,0.1375628,-0.135186,-0.9812213,89.88092,-0.2018898,0.664899,-0.01921117,0.04403886,0.3840929,0.3771242,-0.363899,-0.363899,0.1529848,0.674722,0.01198149,0.01640253,0.3532894,-0.3434376,0.3493665,0.3493665
89.92355,-0.01272296,1.580402,-0.003645365,-0.006025479,-0.02056623,0.02165943,0.02165943,FALSE,FALSE,-3.494347,1.277176,2.025368,0.1212228,-0.1254828,-0.9846479,89.91726,-0.202822,0.6646245,-0.02007508,0.04714099,0.3845006,0.3768632,-0.3640915,-0.3640915,0.1525773,0.6747791,0.01231074,0.01374153,0.3523065,-0.3433191,0.3498842,0.3498842
89.96066,-0.0132526,1.580332,-0.004211688,-0.005802202,-0.02085488,0.02249299,0.02249299,FALSE,FALSE,-3.489978,1.276889,2.02587,0.124803,-0.1396044,-0.9822966,89.95461,-0.2029288,0.6644423,-0.02029836,0.04488461,0.3851865,0.3764633,-0.3640649,-0.3640649,0.1524447,0.6749828,0.01249123,0.01129753,0.3517107,-0.3430685,0.3501828,0.3501828
89.99789,-0.01388004,1.580421,-0.005076952,-0.00628823,-0.02133996,0.02284913,0.02284913,FALSE,FALSE,-3.485685,1.276695,2.026487,0.125383,-0.1267472,-0.9839658,89.99056,-0.2012975,0.6645367,-0.01962996,0.03331877,0.3856281,0.3763189,-0.364087,-0.364087,0.1523443,0.6751315,0.0125041,0.005356944,0.3514692,-0.3432378,0.3506961,0.3506961
90.03751,-0.0142205,1.58049,-0.005659056,-0.0068931,-0.02142916,0.02230796,0.02230796,FALSE,FALSE,-3.457041,1.275123,2.028844,0.1371406,-0.1155532,-0.9837815,90.0313,-0.1984482,0.6646964,-0.01790071,0.01749441,0.3859117,0.3763897,-0.3638639,-0.3638639,0.1520299,0.6753123,0.01226842,0.004116678,0.3511323,-0.3431356,0.3509266,0.3509266
90.07445,-0.01438009,1.58074,-0.006573244,-0.007500629,-0.02096347,0.02226612,0.02226612,FALSE,FALSE,-3.455226,1.275164,2.029577,0.1316045,-0.1181949,-0.984214,90.06738,-0.1952841,0.6646332,-0.01554918,0.003492493,0.386108,0.375865,-0.3644455,-0.3644455,0.1516477,0.6755452,0.01184571,0.006390729,0.3515443,-0.3429482,0.3496684,0.3496684
90.11951,-0.01458006,1.580857,-0.008054063,-0.008544701,-0.01946819,0.02259769,0.02259769,FALSE,FALSE,-3.454951,1.275267,2.03049,0.1170315,-0.1076414,-0.9872627,90.1128,-0.1939006,0.6646845,-0.01495397,0.005667344,0.3862546,0.3755646,-0.3646859,-0.3646859,0.1519197,0.6755195,0.01156163,0.007414396,0.35164,-0.3436763,0.3495116,0.3495116
90.1563,-0.01440371,1.580872,-0.008520326,-0.008401744,-0.01939851,0.02244066,0.02244066,FALSE,FALSE,-3.454748,1.275309,2.031113,0.1255499,-0.1279975,-0.9837794,90.14964,-0.1916893,0.6645557,-0.01374674,0.0162167,0.3862379,0.3758949,-0.3644704,-0.3644704,0.1521683,0.6755309,0.01151109,0.006910002,0.3511326,-0.3440276,0.3498586,0.3498586
90.20013,-0.01458959,1.580907,-0.009185918,-0.008511093,-0.01971691,0.022492,0.022492,FALSE,FALSE,-3.486678,1.27736,2.030346,0.1177815,-0.1193467,-0.9858342,90.19317,-0.1897628,0.6646714,-0.01252568,0.02358111,0.3855817,0.37612,-0.3647208,-0.3647208,0.1513919,0.6751775,0.01081121,0.008256594,0.3506084,-0.3430771,0.3514667,0.3514667
90.24498,-0.01485012,1.580923,-0.009941838,-0.008480806,-0.01951586,0.02234453,0.02234453,FALSE,FALSE,-3.48668,1.277441,2.031257,0.1103095,-0.124083,-0.986117,90.23812,-0.1881038,0.6649308,-0.011415,0.02666561,0.3851767,0.3754034,-0.3649001,-0.3649001,0.1518518,0.6757169,0.01076126,0.009722444,0.3502442,-0.3427045,0.3521268,0.3521268
90.29483,-0.01529684,1.580939,-0.0115608,-0.008287631,-0.01920781,0.02319917,0.02319917,FALSE,FALSE,-3.478913,1.276953,2.032781,0.1224465,-0.1169165,-0.9855579,90.28757,-0.1862772,0.665189,-0.01066935,0.02919287,0.3843905,0.3755303,-0.3654972,-0.3654972,0.1517195,0.6759593,0.0100832,0.01263355,0.3500715,-0.3425017,0.351831,0.351831
90.33365,-0.01540757,1.580845,-0.01216967,-0.008644765,-0.01950363,0.02350922,0.02350922,FALSE,FALSE,-3.484386,1.277373,2.033331,0.106141,-0.1469544,-0.9834242,90.32644,-0.18483,0.6653139,-0.01034284,0.02882271,0.3841901,0.3754475,-0.3652422,-0.3652422,0.1516082,0.6756308,0.009343386,0.01585702,0.350335,-0.3423568,0.3519954,0.3519954
90.37059,-0.01523414,1.580912,-0.01272011,-0.009076172,-0.01987153,0.02317999,0.02317999,FALSE,FALSE,-3.485299,1.277445,2.033959,0.1241602,-0.1344256,-0.9831095,90.36454,-0.184194,0.6652837,-0.01067269,0.02691543,0.3838958,0.3756142,-0.3650485,-0.3650485,0.1518309,0.675928,0.008562446,0.01792296,0.3509533,-0.3418108,0.3513402,0.3513402
90.41148,-0.01523633,1.580909,-0.01324758,-0.009055072,-0.0196042,0.02201534,0.02201534,FALSE,FALSE,-3.484114,1.277389,2.034797,0.1276658,-0.129752,-0.9832854,90.40513,-0.1838216,0.6653397,-0.01103854,0.02350309,0.3835703,0.3757426,-0.3648854,-0.3648854,0.1526208,0.6758239,0.008404851,0.01796366,0.351362,-0.3413341,0.3515122,0.3515122
