AppTime,Actor,Event_Category,Event_Type,Object,Attributes
85.37418,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
94.1237,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,1.0085
94.59154,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,0.428
99.05634,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.5964
99.84032,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.3337
100.3217,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.4457
101.519,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,1.119
101.6996,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,1.9458
101.7784,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,1.4143
105.3968,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,3.6592
109.2154,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,1.8569
110.8332,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,9.2125
113.4189,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,2.9149
113.6084,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,13.8958
116.8676,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,2.1507
117.2497,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,0.3415
128.8957,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.4
129.798,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.5583
129.9458,USER,EYE-TRACKING,DECISION_MAKING,-,1.0258
131.9319,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6624
133.5645,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
133.5657,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
133.5734,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
133.5752,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
134.5378,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.5025
135.0604,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
135.4633,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3783
143.3236,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3213
143.5163,USER,ACTION,ITEM_DUP_ADD,Cabbage,Cabbage1
148.34,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.7466
148.8961,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.5323
151.3156,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,21.254
151.576,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,1.3801
155.2294,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.7849
157.5724,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
157.9639,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3214
167.9841,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
167.9848,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
167.9908,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
168.4682,USER,EYE-TRACKING,DECISION_MAKING,양배추,38.6458
171.4909,USER,ACTION,ITEM_ADD,Cheese,Cheese2
171.4915,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
171.4984,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
174.9288,USER,ACTION,ITEM_ADD,Coffee,Coffee1
