AppTime,Actor,Event_Category,Event_Type,Object,Attributes
43.8601,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
52.77733,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,1.0928
53.40224,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.3895
55.5292,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,2.4562
60.68176,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.4937
61.01436,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,5.9805
61.6384,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,0.5839
63.98713,USER,EYE-TRACKING,DECISION_MAKING,-,10.0169
66.42268,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.0462
69.09794,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.8707
70.92957,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,4.3784
73.79527,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.5824
74.17185,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,0.3399
74.87952,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,0.5072
76.87052,USER,EYE-TRACKING,DECISION_MAKING,-,22.6961
77.68673,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.5297
80.96574,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.3561
84.07701,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.7297
86.0508,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,9.7086
96.41933,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5885
96.91299,USER,ACTION,ITEM_ADD,Tomato,Tomato1
96.9141,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
96.92086,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
96.92236,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
97.45506,USER,EYE-TRACKING,DECISION_MAKING,,5.489
97.52296,USER,EYE-TRACKING,DECISION_MAKING,,33.4021
98.40623,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
100.1588,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.8335
101.0227,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,0.5301
101.0846,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.8828
101.281,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,14.6095
101.3517,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,1.1002
102.8258,USER,EYE-TRACKING,DECISION_MAKING,,0.4149
103.4694,USER,EYE-TRACKING,DECISION_MAKING,,0.4769
104.0455,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,2.5681
105.7803,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,1.309
107.9705,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,1.4375
108.9246,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3461
109.6875,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.6534
111.0777,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,1.2563
112.8068,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.578
113.5647,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.5476
115.0761,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,1.1653
116.1061,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.9005
117.6618,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3648
118.0119,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3042
119.5052,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.6219
120.5489,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3976
120.9239,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
121.6336,USER,EYE-TRACKING,DECISION_MAKING,,0.3351
121.6546,USER,EYE-TRACKING,DECISION_MAKING,,29.666
125.1987,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.3805
127.8706,USER,ACTION,ITEM_ADD,Baguette,Baguette1
127.8714,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
127.8775,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
128.3448,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,7.0683
128.7079,USER,EYE-TRACKING,DECISION_MAKING,,7.0296
128.9843,USER,EYE-TRACKING,DECISION_MAKING,빵,4.1897
130.484,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,0.6664
130.9236,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3082
134.7569,USER,ACTION,ITEM_ADD,Cheese,Cheese2
134.7576,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
134.7635,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
137.7668,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
137.7673,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
137.7739,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
141.8631,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
141.8637,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
141.8695,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
142.2639,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,10.9657
142.587,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.3012
142.7139,USER,EYE-TRACKING,DECISION_MAKING,,14.0308
143.2293,USER,EYE-TRACKING,DECISION_MAKING,호박,3.8399
144.279,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.6375
145.1844,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.5486
145.8436,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.5964
146.1728,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.3102
147.2048,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,8.2938
147.8563,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.4667
148.7971,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3252
149.6578,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.3121
150.4545,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.4029
150.493,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
150.7847,USER,EYE-TRACKING,DECISION_MAKING,호박,3.559
150.9891,USER,EYE-TRACKING,DECISION_MAKING,치즈,3.1133
151.5027,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen3After1s(),screen1:Screen1(home) to Screen3(asking_dc)
151.8624,USER,EYE-TRACKING,DETECTED_ITEM,btn_no,0.3102
152.2095,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.3271
152.7275,USER,ACTION,BTN_TOUCH,btn_yes,Screen3:btn_yes()
152.7963,USER,ACTION,BTN_TOUCH,btn_yes,Screen3:btn_yes()
152.8612,USER,EYE-TRACKING,DETECTED_ITEM,btn_yes,1.332
153.3034,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.4222
153.7106,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen3toScreen4After1s(),Screen3(asking dc) to Screen4(ds)
153.8027,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen3toScreen4After1s(),Screen3(asking dc) to Screen4(ds)
155.1937,USER,EYE-TRACKING,DETECTED_ITEM,btn_K,0.5196
155.9051,USER,EYE-TRACKING,DETECTED_ITEM,btn_3,2.1664
156.4553,USER,EYE-TRACKING,DETECTED_ITEM,btn_3,0.505
157.0156,USER,EYE-TRACKING,DETECTED_ITEM,btn_apply,0.5396
158.5961,USER,ACTION,BTN_TOUCH,Key_Z,
158.7231,USER,EYE-TRACKING,DETECTED_ITEM,btn_Z,0.6987
159.137,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.368
159.7808,USER,EYE-TRACKING,DETECTED_ITEM,btn_K,0.5541
159.8912,USER,EYE-TRACKING,DETECTED_ITEM,btn_V,0.6873
160.4322,USER,ACTION,BTN_TOUCH,Key_K,
160.8591,USER,EYE-TRACKING,DETECTED_ITEM,btn_J,0.397
160.8803,USER,EYE-TRACKING,DETECTED_ITEM,btn_G,0.4418
161.3383,USER,ACTION,BTN_TOUCH,Key_J,
161.5979,USER,EYE-TRACKING,DETECTED_ITEM,btn_J,0.6968
161.7232,USER,EYE-TRACKING,DETECTED_ITEM,btn_8,1.1373
162.8486,USER,ACTION,BTN_TOUCH,Key_5,
163.1138,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,1.3707
163.3532,USER,EYE-TRACKING,DETECTED_ITEM,btn_0,4.6112
163.5325,USER,EYE-TRACKING,DETECTED_ITEM,btn_back,7.1579
163.9924,USER,EYE-TRACKING,DETECTED_ITEM,btn_back,0.353
164.0111,USER,ACTION,BTN_TOUCH,Key_0,
165.0174,USER,ACTION,BTN_TOUCH,btn_apply,
165.0182,USER,ACTION,CODE_SUCC,27000,screen4
165.0187,SYSTEM,SYSTEM_MESSAGE,CODE_SUCC,result_message,screen4:할인코드 적용이 완료되었습니다!
166.0228,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen4toScreen1After1s(),screen4:Screen4(dc) to Screen1(home)
166.0282,SYSTEM,SYSTEM_MESSAGE,SCREEN_UPDATE,result_message,trying to pay
166.0289,SYSTEM,SYSTEM_MESSAGE,SCREEN_UPDATE,result_message,trying to pay
166.3119,USER,EYE-TRACKING,DECISION_MAKING,빵,18.9482
166.758,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.3396
167.2184,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,16.7424
168.5187,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,1.2757
168.9067,USER,EYE-TRACKING,DECISION_MAKING,,18.409
169.2258,USER,EYE-TRACKING,DECISION_MAKING,호박,17.9597
169.6673,USER,ACTION,BTN_TOUCH,btn_previous,screen5
169.6682,SYSTEM,SCREEN,SCREEN_CHANGE,screen change,screen5:screen5(pay) to screen1(home)
169.904,USER,EYE-TRACKING,DECISION_MAKING,,0.6522
170.2984,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.3715
171.6516,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,1.3332
172.5428,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.7696
175.2224,USER,EYE-TRACKING,DECISION_MAKING,치즈,4.5592
175.7102,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.4419
178.4665,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.4481
178.6256,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
178.6284,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
180.5783,USER,ACTION,ITEM_REMOVE,Tomato,Tomato1
180.5789,SYSTEM,SYSTEM_MESSAGE,ITEM_REMOVE,screen2_result_message,토마토 ( 2000 원 ) (이)가 취소되었습니다.
181.2003,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.5012
183.0598,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.8045
183.5782,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen2toScreen1After3s,Screen2(cancel) to Screen1(home)
183.5853,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
184.0039,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,16.8691
184.5072,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.4408
184.9772,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.4405
186.045,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.5991
187.0585,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.4
187.3243,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
187.3255,SYSTEM,SYSTEM_MESSAGE,RESULT_MSG,result_message,trying to pay
187.5146,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.388
187.8582,USER,EYE-TRACKING,DECISION_MAKING,치즈,12.6111
188.6133,USER,EYE-TRACKING,DECISION_MAKING,빵,0.4989
191.0995,USER,ACTION,PAY,card,discount_yn:Y
191.1008,USER,ACTION,END,25000,discount_yn:Y
191.1015,SYSTEM,SYSTEM_MESSAGE,RESULT_MSG,25000,discount_yn:Y
191.6664,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,2.2946
193.0851,SYSTEM,SCREEN,SCREEN_CHANGE,card:CallEndingScneneAfter5f,(SUCC) End of Game!
