AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
74.70397,-0.001519363,1.466136,-0.09440111,-0.04350733,-0.04531893,-0.01366705,-0.01366705,FALSE,FALSE,-3.493101,1.162734,2.100537,0.1027822,-0.05763457,-0.9930245,70.69993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74.82822,-0.001499519,1.466162,-0.09440689,-0.04362155,-0.04518839,-0.01365399,-0.01365399,FALSE,FALSE,-3.488286,1.163007,2.102113,0.1105711,-0.05639726,-0.9922515,74.8217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74.88776,-0.004312702,1.46527,-0.08771612,-0.03342373,-0.04725196,-0.01254606,-0.01254606,FALSE,FALSE,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74.93496,-0.004432447,1.465397,-0.08818458,-0.03391169,-0.047335,-0.01226833,-0.01226833,FALSE,FALSE,-3.511796,1.162635,2.100243,0.08470169,-0.05589142,-0.9948296,74.92727,-0.1524546,0.5962175,-0.02246833,0.004657143,0.4487166,0.3119446,-0.2479253,-0.2479253,0.1712933,0.5915748,-0.04202342,0.002139828,0.5028273,-0.1943937,0.1493088,0.1493088
74.97733,-0.004272666,1.465336,-0.08795273,-0.03415282,-0.04732165,-0.01260833,-0.01260833,FALSE,FALSE,-3.498946,1.162714,2.101356,0.1053194,-0.04490075,-0.9934144,74.96988,-0.1525782,0.5962893,-0.02237451,0.003076143,0.4485117,0.3111989,-0.2473157,-0.2473157,0.1710958,0.5915333,-0.04222918,0.004731074,0.5033484,-0.1945781,0.1490934,0.1490934
75.02266,-0.004320923,1.465307,-0.08800563,-0.03418177,-0.04718852,-0.01264545,-0.01264545,FALSE,FALSE,,,,,,,,-0.152253,0.5962874,-0.02229023,0.001482536,0.4483067,0.3108372,-0.2473087,-0.2473087,0.1712656,0.5916001,-0.0423454,0.004093868,0.5034193,-0.1939748,0.1488387,0.1488387
75.06042,-0.004445326,1.46524,-0.08805587,-0.03373405,-0.0467302,-0.01227414,-0.01227414,FALSE,FALSE,-3.514808,1.16262,2.100022,0.08022249,-0.04962386,-0.9955317,75.05334,-0.152018,0.5962461,-0.02216899,0.002350781,0.4482301,0.3113061,-0.2474135,-0.2474135,0.1713747,0.5915268,-0.04238212,0.003634572,0.503231,-0.193695,0.1489856,0.1489856
75.09853,-0.004399631,1.465168,-0.08802074,-0.03360069,-0.04668577,-0.01198493,-0.01198493,FALSE,FALSE,-3.508784,1.162517,2.100551,0.07232063,-0.06318515,-0.9953742,75.09161,-0.1520176,0.5962276,-0.0224576,0.003461195,0.4480419,0.3118944,-0.247438,-0.247438,0.171426,0.591666,-0.04274571,0.006328721,0.503403,-0.1931453,0.1488622,0.1488622
75.13557,-0.004367076,1.465151,-0.0880796,-0.03366875,-0.04677512,-0.01176128,-0.01176128,FALSE,FALSE,-3.512017,1.162347,2.100301,0.07540052,-0.0778639,-0.9940998,75.12881,-0.1519841,0.5961413,-0.02249622,0.0024885,0.4477085,0.3124001,-0.2478055,-0.2478055,0.1712477,0.5916042,-0.04298854,0.006475715,0.5032939,-0.1930673,0.1484279,0.1484279
75.17286,-0.004347645,1.464944,-0.08802544,-0.03362285,-0.04690771,-0.01226991,-0.01226991,FALSE,FALSE,-3.512449,1.161631,2.100361,0.07790145,-0.2012146,-0.9764419,75.16669,-0.1522298,0.5961407,-0.02272367,0.002224813,0.4473062,0.3127654,-0.2480165,-0.2480165,0.1718128,0.5912441,-0.04274321,0.007021438,0.5034811,-0.1926028,0.1480905,0.1480905
75.21629,-0.00474339,1.464894,-0.08819968,-0.0329293,-0.04613943,-0.01234017,-0.01234017,FALSE,FALSE,-3.506282,1.161447,2.101112,0.1019565,-0.2876468,-0.9522827,75.20808,-0.152226,0.5961943,-0.0228045,0.003752595,0.4474239,0.3133011,-0.2477773,-0.2477773,0.1721078,0.591296,-0.04235649,0.008194584,0.504095,-0.1918794,0.1475965,0.1475965
75.25782,-0.004711296,1.464843,-0.08822473,-0.03237082,-0.04535761,-0.01218193,-0.01218193,FALSE,FALSE,-3.499752,1.161442,2.101758,0.09687055,-0.2751486,-0.9564911,75.2511,-0.1526859,0.5960369,-0.02311075,0.006689066,0.4478074,0.3125885,-0.2473334,-0.2473334,0.1719788,0.591587,-0.04278111,0.003666633,0.5045918,-0.1914976,0.1470835,0.1470835
75.3081,-0.004733562,1.464445,-0.08821751,-0.03055331,-0.04589273,-0.01207906,-0.01207906,FALSE,FALSE,-3.500942,1.161175,2.101635,0.1239795,-0.2732667,-0.9539015,75.30015,-0.1525438,0.5961537,-0.02319431,0.005269391,0.4475972,0.3121464,-0.2474353,-0.2474353,0.1716998,0.5916916,-0.04302168,0.002793918,0.5043044,-0.1916099,0.1473984,0.1473984
75.35351,-0.005118791,1.464143,-0.08822213,-0.02864399,-0.04678439,-0.01228791,-0.01228791,FALSE,FALSE,,,,,,,,-0.1529176,0.5962475,-0.0234468,0.00675037,0.4472845,0.3122894,-0.2474017,-0.2474017,0.1711892,0.5920854,-0.04334044,0.008363186,0.5041353,-0.1919709,0.1477669,0.1477669
75.39333,-0.005315166,1.463772,-0.08813997,-0.02705261,-0.04789602,-0.01213947,-0.01213947,FALSE,FALSE,-3.500621,1.160542,2.101635,0.1092313,-0.2925016,-0.9499946,75.38686,-0.153219,0.5962559,-0.02377677,0.009672008,0.4471721,0.3122906,-0.2473517,-0.2473517,0.1711838,0.5920087,-0.04315245,0.005378983,0.5037525,-0.1924529,0.1484146,0.1484146
75.43554,-0.006214269,1.462976,-0.08816816,-0.02218899,-0.04883077,-0.01115426,-0.01115426,FALSE,FALSE,-3.501477,1.160159,2.101669,0.1379826,-0.2991838,-0.9441617,75.42853,-0.1534486,0.5963498,-0.02393556,0.009984178,0.4468354,0.3117403,-0.2473199,-0.2473199,0.1712703,0.591995,-0.04292536,0.004580722,0.5030907,-0.1929224,0.1494465,0.1494465
75.47415,-0.006746415,1.462327,-0.08803344,-0.01907236,-0.04977869,-0.01056936,-0.01056936,FALSE,FALSE,-3.511249,1.158962,2.101038,0.1961265,-0.4504394,-0.8709862,75.46445,-0.153815,0.5963979,-0.0243299,0.01130886,0.4469473,0.3110864,-0.2469967,-0.2469967,0.1711232,0.5921349,-0.0429002,0.005343152,0.5024272,-0.1934739,0.1503623,0.1503623
75.52485,-0.007604688,1.461706,-0.08781435,-0.01459794,-0.05114646,-0.01014878,-0.01014878,FALSE,FALSE,-3.510389,1.157981,2.10109,0.2108199,-0.5304329,-0.8210766,75.51666,-0.1540004,0.5964249,-0.02454758,0.01065912,0.4473089,0.3105235,-0.2467545,-0.2467545,0.1709938,0.592379,-0.04291558,0.005886368,0.5018919,-0.1939003,0.1511051,0.1511051
75.56734,-0.008337647,1.460395,-0.08706346,-0.007696811,-0.05359868,-0.009505053,-0.009505053,FALSE,FALSE,-3.496262,1.156865,2.101894,0.1921902,-0.545195,-0.8159663,75.56012,-0.1539638,0.5967183,-0.02429998,0.007452044,0.4463924,0.3112252,-0.248154,-0.248154,0.1710738,0.592481,-0.04313385,0.004475832,0.5025435,-0.1933008,0.1512333,0.1512333
75.60055,-0.01025803,1.455727,-0.08469191,0.01638681,-0.05883957,-0.008768142,-0.008768142,FALSE,FALSE,-3.500259,1.154837,2.100651,0.2138496,-0.5402175,-0.8138826,75.59438,-0.1537006,0.5969945,-0.02408528,0.006740185,0.4450722,0.3122009,-0.2495194,-0.2495194,0.1710827,0.5927281,-0.04295921,0.007392822,0.502414,-0.1936125,0.1517155,0.1517155
75.64804,-0.01155847,1.453194,-0.08363095,0.03022997,-0.06246345,-0.008223692,-0.008223692,FALSE,FALSE,-3.504246,1.152831,2.099267,0.19979,-0.5048563,-0.8397505,75.6301,-0.1538298,0.5972063,-0.02412999,0.007230785,0.4438805,0.3120942,-0.2499891,-0.2499891,0.1710079,0.5932353,-0.04251587,0.01613847,0.5009688,-0.1939849,0.1527077,0.1527077
75.68719,-0.01291742,1.450353,-0.08231723,0.04279364,-0.06669095,-0.007688023,-0.007688023,FALSE,FALSE,,,,,,,,-0.1544248,0.5974865,-0.0247674,0.01435792,0.4438034,0.3109419,-0.2492779,-0.2492779,0.1705238,0.5936569,-0.04227149,0.01435215,0.5007113,-0.1955648,0.1541031,0.1541031
75.74191,-0.01553864,1.447542,-0.07979484,0.05766155,-0.07339817,-0.002542544,-0.002542544,FALSE,FALSE,-3.492017,1.146407,2.096674,0.2078405,-0.5290379,-0.8227457,75.73373,-0.1550744,0.5978177,-0.02515268,0.01930821,0.4431373,0.3082085,-0.2480032,-0.2480032,0.1696459,0.5938691,-0.04192185,0.01858036,0.4983027,-0.1980264,0.156267,0.156267
75.78705,-0.01666542,1.446656,-0.07844563,0.06186343,-0.07672298,0.00023289,0.00023289,FALSE,FALSE,-3.490469,1.144299,2.094839,0.1953145,-0.5393633,-0.8190918,75.77943,-0.1556609,0.5979272,-0.02593374,0.02676771,0.4437726,0.3059247,-0.2465816,-0.2465816,0.1687118,0.5939513,-0.04253101,0.02308463,0.4982122,-0.1996878,0.1568661,0.1568661
75.82802,-0.01780107,1.445625,-0.07708564,0.06661485,-0.08018551,0.000750047,0.000750047,FALSE,FALSE,-3.5036,1.142886,2.090889,0.1909177,-0.4990541,-0.8452657,75.82074,-0.1569297,0.5979274,-0.02724159,0.03127519,0.4444801,0.3033768,-0.2449629,-0.2449629,0.1681004,0.594002,-0.04333591,0.02402545,0.4996195,-0.1999641,0.1564084,0.1564084
