AppTime,Actor,Event_Category,Event_Type,Object,Attributes
70.6907,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
76.11272,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.4249
77.91035,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.4089
81.2256,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,1.5656
87.05971,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,11.5396
88.00484,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,0.4982
103.5936,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.4692
103.6159,USER,EYE-TRACKING,DECISION_MAKING,-,0.7292
105.0313,USER,ACTION,ITEM_ADD,Cheese,Cheese1
105.0331,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
105.0407,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
105.0422,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
105.8188,USER,EYE-TRACKING,DECISION_MAKING,,0.545
106.5384,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
106.9705,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,3.3315
108.2601,USER,EYE-TRACKING,DECISION_MAKING,,0.3127
109.0668,USER,EYE-TRACKING,DECISION_MAKING,,0.6693
109.4468,USER,EYE-TRACKING,DECISION_MAKING,,0.3588
111.1768,USER,EYE-TRACKING,DECISION_MAKING,,0.4921
111.6227,USER,EYE-TRACKING,DECISION_MAKING,,0.3795
113.2979,USER,EYE-TRACKING,DECISION_MAKING,,1.1437
115.4051,USER,EYE-TRACKING,DECISION_MAKING,,2.0374
116.5908,USER,EYE-TRACKING,DECISION_MAKING,,1.0988
116.6967,USER,EYE-TRACKING,DECISION_MAKING,,3.3528
119.3258,USER,EYE-TRACKING,DECISION_MAKING,,7.4818
120.5034,USER,EYE-TRACKING,DECISION_MAKING,,0.9549
122.0818,USER,EYE-TRACKING,DECISION_MAKING,,1.5576
123.8354,USER,EYE-TRACKING,DECISION_MAKING,,0.9298
125.1805,USER,EYE-TRACKING,DECISION_MAKING,,1.3003
125.7594,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,0.3776
126.1599,USER,EYE-TRACKING,DECISION_MAKING,,0.3747
126.7545,USER,EYE-TRACKING,DECISION_MAKING,,0.376
127.1115,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,0.3291
128.0605,USER,EYE-TRACKING,DECISION_MAKING,,5.1761
129.0471,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
131.8814,USER,ACTION,ITEM_ADD,Cheese,Cheese2
131.882,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
131.8879,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
131.998,USER,EYE-TRACKING,DECISION_MAKING,,2.3762
132.2186,USER,EYE-TRACKING,DECISION_MAKING,,20.9527
132.4098,USER,EYE-TRACKING,DECISION_MAKING,치즈,26.6253
133.512,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.3583
136.0392,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
136.0398,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
136.0457,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
136.5558,USER,EYE-TRACKING,DECISION_MAKING,치즈,3.0009
136.7478,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,7.6343
141.3181,USER,ACTION,ITEM_ADD,Coffee,Coffee1
141.3187,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,커피 (이)가 추가되었습니다.
141.3253,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
144.2633,USER,ACTION,ITEM_ADD,Tomato,Tomato1
144.2641,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
144.2702,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
144.6741,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,12.6983
149.7959,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
149.7967,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
149.8033,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
153.6828,USER,ACTION,ITEM_ADD,Baguette,Baguette1
153.6838,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
153.6906,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
154.6234,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.4923
155.3909,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.4199
156.1599,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.4337
157.8355,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.553
157.8879,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.6214
158.5826,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.675
158.9452,USER,EYE-TRACKING,DETECTED_ITEM,result_message,25.4099
158.9691,USER,EYE-TRACKING,DECISION_MAKING,토마토,2.7842
159.8729,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.4309
161.5135,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,1.3068
161.9585,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,51.5116
163.0203,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
163.2033,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.9213
164.0206,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen3After1s(),screen1:Screen1(home) to Screen3(asking_dc)
164.8845,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.3955
165.8656,USER,ACTION,BTN_TOUCH,btn_yes,Screen3:btn_yes()
166.7155,USER,ACTION,BTN_TOUCH,btn_yes,Screen3:btn_yes()
166.8249,USER,EYE-TRACKING,DETECTED_ITEM,btn_yes,1.409
