AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
99.49404,0.09226136,1.476279,-0.06200468,-0.05114849,-0.05591437,-0.002479694,-0.002479694,FALSE,TRUE,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.60758,0.09226323,1.476275,-0.06217225,-0.05110225,-0.05568421,-0.002502867,-0.002502867,FALSE,FALSE,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.67595,0.09035509,1.47795,-0.06546536,-0.06135706,-0.0518826,-0.001164531,-0.001164531,FALSE,FALSE,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.72099,0.09008126,1.478012,-0.06540649,-0.061301,-0.05198204,-0.000940599,-0.000940599,FALSE,TRUE,,,,,,,,-0.1056968,0.6505216,0.01496768,0.01955651,0.2878783,0.35209,-0.4639045,-0.4639045,0.2890255,0.6464556,-0.000252008,0.0241559,0.3502338,-0.460595,0.4505219,0.4505219
99.75375,0.08966973,1.47801,-0.06532304,-0.0611696,-0.05251691,-0.001430822,-0.001430822,FALSE,TRUE,,,,,,,,-0.1053442,0.650242,0.01423001,0.02140563,0.2875284,0.3523221,-0.4635982,-0.4635982,0.2890826,0.6464349,-0.001425624,0.02825946,0.3512184,-0.4612312,0.4502143,0.4502143
99.78503,0.08946206,1.477736,-0.0652088,-0.06016229,-0.05271035,-0.002796924,-0.002796924,TRUE,TRUE,,,,,,,,-0.1048722,0.6501266,0.01363015,0.02406145,0.2872071,0.3525682,-0.4628271,-0.4628271,0.2887371,0.6464669,-0.002478123,0.02977062,0.3515344,-0.4622521,0.4492854,0.4492854
99.81788,0.08914758,1.477607,-0.0648568,-0.05832483,-0.05197103,-0.002409246,-0.002409246,FALSE,FALSE,,,,,,,,-0.1041141,0.6499946,0.01313365,0.0275899,0.2873267,0.3538302,-0.4617642,-0.4617642,0.2884748,0.6464983,-0.003039837,0.02063871,0.3519238,-0.4622858,0.4486934,0.4486934
99.85773,0.08905749,1.47722,-0.06449996,-0.05670311,-0.05035438,-0.002046056,-0.002046056,FALSE,FALSE,,,,,,,,-0.103446,0.6498948,0.01258111,0.02452895,0.2862694,0.3552789,-0.4614548,-0.4614548,0.2886267,0.6464609,-0.003291249,0.009952856,0.3518168,-0.4620425,0.4494147,0.4494147
99.88763,0.08867382,1.477338,-0.06449985,-0.05551331,-0.05069103,0.000444765,0.000444765,FALSE,FALSE,,,,,,,,-0.1028614,0.6497739,0.01271927,0.01579346,0.2860661,0.3550115,-0.46113,-0.46113,0.2885377,0.6464552,-0.003362536,0.00514862,0.351878,-0.461722,0.4495438,0.4495438
99.92413,0.08811973,1.47711,-0.06410657,-0.0554489,-0.05365603,0.002022252,0.002022252,FALSE,FALSE,-3.613712,1.178888,2.079953,0.03536928,-0.1933594,-0.9804803,99.91648,-0.1029134,0.6496425,0.01258326,0.00779607,0.2862073,0.3543864,-0.4609421,-0.4609421,0.288422,0.6466858,-0.00344491,0.005915912,0.3518797,-0.4615059,0.4492725,0.4492725
