AppTime,Actor,Event_Category,Event_Type,Object,Attributes
95.40939,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
106.1314,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.7584
106.4206,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,4.3991
107.0222,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.3012
111.6618,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,0.4169
119.742,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.3671
120.341,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,1.2117
124.2196,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.5232
139.2468,USER,EYE-TRACKING,DECISION_MAKING,-,33.8934
139.4021,USER,EYE-TRACKING,DECISION_MAKING,-,34.1618
140.2233,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.5563
140.6176,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,1.3333
140.9434,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3111
142.662,USER,ACTION,ITEM_ADD,Tomato,Tomato1
142.663,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
142.6699,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
142.6715,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
144.1659,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
144.832,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4342
148.863,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3561
153.5927,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5546
156.6135,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,2.241
158.5373,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.9086
160.4557,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4914
166.6868,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
167.5338,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4773
168.2536,USER,EYE-TRACKING,DECISION_MAKING,,28.8806
168.6824,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.3028
170.3923,USER,ACTION,ITEM_ADD,Cheese,Cheese2
170.3932,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
170.3993,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
174.1519,USER,ACTION,ITEM_ADD,Baguette,Baguette1
