AppTime,Actor,Event_Category,Event_Type,Object,Attributes
68.72293,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
74.4185,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.6655
74.89291,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4073
77.35921,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,1.3059
82.09054,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,0.4366
85.67583,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,2.8123
87.1283,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,1.1817
108.3623,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,10.0335
111.2255,USER,ACTION,ITEM_ADD,Tomato,Tomato1
111.2271,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
111.2339,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
111.2354,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
111.4937,USER,EYE-TRACKING,DECISION_MAKING,,4.2809
111.5818,USER,EYE-TRACKING,DECISION_MAKING,토마토,4.3544
112.2263,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.4666
112.3381,USER,EYE-TRACKING,DECISION_MAKING,,5.2966
112.7187,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
113.091,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3131
121.6709,USER,ACTION,ITEM_DUP_ADD,Tomato,Tomato1
123.9986,USER,EYE-TRACKING,DECISION_MAKING,,12.7126
124.2291,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,11.8681
125.1955,USER,EYE-TRACKING,DECISION_MAKING,,1.0554
125.8562,USER,ACTION,ITEM_DUP_ADD,Tomato,Tomato1
127.15,USER,EYE-TRACKING,DECISION_MAKING,,0.3561
128.7953,USER,ACTION,ITEM_DUP_ADD,Tomato,Tomato1
129.8888,USER,ACTION,ITEM_DUP_ADD,Tomato,Tomato1
132.3498,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,8.0837
133.5061,USER,EYE-TRACKING,DECISION_MAKING,,4.8236
133.6695,USER,EYE-TRACKING,DECISION_MAKING,,6.0796
135.2462,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
135.9052,USER,EYE-TRACKING,DECISION_MAKING,,3.5939
139.6469,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,28.3925
139.8073,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,2.655
141.0034,USER,ACTION,ITEM_ADD,Cheese,Cheese1
141.0041,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
141.01,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
141.4465,USER,EYE-TRACKING,DECISION_MAKING,,5.7852
144.2197,USER,ACTION,ITEM_ADD,Cheese,Cheese2
144.2205,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
144.226,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
146.8246,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
146.8252,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
146.832,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
150.2387,USER,ACTION,ITEM_ADD,Coffee,Coffee1
150.2395,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,커피 (이)가 추가되었습니다.
150.2464,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
150.7946,USER,EYE-TRACKING,DECISION_MAKING,,9.3773
151.2196,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.4028
153.9581,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
153.959,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
153.9658,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
157.1149,USER,ACTION,ITEM_ADD,Baguette,Baguette1
157.1158,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
157.1227,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
157.1382,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
158.1301,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen3After1s(),screen1:Screen1(home) to Screen3(asking_dc)
160.0215,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.4584
161.1588,USER,EYE-TRACKING,DETECTED_ITEM,btn_yes,0.82
