AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
63.33456,-0.1917039,1.370775,0.05920984,0.01270589,-0.01331748,0.07368281,0.07368281,FALSE,FALSE,-3.437844,1.093039,1.97689,-0.2018276,0.03177272,-0.9788967,59.12954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.46416,-0.1916286,1.370693,0.05928115,0.0132248,-0.01314016,0.0735862,0.0735862,FALSE,FALSE,-3.408144,1.089469,1.984062,-0.08258505,0.08153647,-0.9932376,63.45845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.51451,-0.06006049,1.389581,0.05004515,0.005357703,-0.02033657,0.04986919,0.04986919,FALSE,FALSE,-3.430323,1.092681,1.982134,-0.06158565,0.1098568,-0.9920328,63.4926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.5551,-0.05917415,1.389693,0.04930031,0.005037369,-0.01768378,0.04951816,0.04951816,FALSE,FALSE,-3.442136,1.094401,1.981304,-0.02542668,0.1456937,-0.9889877,63.54779,-0.3113601,0.5849239,0.1072247,0.03027385,0.5416813,-0.2784995,-0.1204923,-0.1204923,0.1335744,0.5630161,0.06768656,0.02929977,0.4363694,-0.2414116,0.3635653,0.3635653
63.58509,-0.05832039,1.389868,0.0487101,0.004903038,-0.01478941,0.04923812,0.04923812,FALSE,FALSE,-3.438396,1.093865,1.981999,-0.05100119,0.1159838,-0.9919353,63.57899,-0.3109553,0.584913,0.1076931,0.02920471,0.5403185,-0.2768351,-0.1219147,-0.1219147,0.1342703,0.5632575,0.0669086,0.02668941,0.4372424,-0.2396926,0.3625563,0.3625563
63.61787,-0.0577848,1.389926,0.04802931,0.004390344,-0.01250826,0.04948264,0.04948264,FALSE,FALSE,-3.430436,1.092769,1.983292,-0.05874923,0.1164072,-0.9914522,63.61159,-0.3105807,0.5851364,0.1087383,0.03079163,0.5396101,-0.2747607,-0.1232161,-0.1232161,0.1346319,0.5634184,0.06626046,0.02452667,0.437498,-0.2388148,0.3622274,0.3622274
63.64902,-0.05747205,1.390038,0.04772674,0.004168237,-0.01156385,0.0494713,0.0494713,FALSE,FALSE,-3.471161,1.09866,1.980327,-0.0201312,0.1613628,-0.9866798,63.6423,-0.3098652,0.5852385,0.1094241,0.02920854,0.539173,-0.272628,-0.1249468,-0.1249468,0.1350142,0.5635687,0.06567717,0.02203635,0.4372813,-0.2378096,0.3620429,0.3620429
63.67872,-0.057151,1.390176,0.04728094,0.003669455,-0.01036242,0.04959519,0.04959519,FALSE,FALSE,-3.466638,1.09791,1.980603,-0.02772612,0.1838777,-0.9825519,63.67192,-0.3091277,0.5852172,0.1099074,0.02747696,0.5390148,-0.2708612,-0.1261904,-0.1261904,0.1351403,0.5635468,0.0651933,0.02028772,0.4376863,-0.2362106,0.3611341,0.3611341
63.7078,-0.05676948,1.390278,0.04680916,0.003320447,-0.009360669,0.04969988,0.04969988,FALSE,FALSE,-3.431011,1.092954,1.984333,-0.07987061,0.09789752,-0.9919698,63.70193,-0.3082353,0.5852262,0.1101608,0.02653128,0.5388854,-0.2691643,-0.1272552,-0.1272552,0.1355501,0.5631356,0.06433702,0.02339387,0.4379874,-0.2353138,0.3607534,0.3607534
63.74216,-0.05623773,1.390352,0.0462916,0.002866077,-0.008485579,0.04985666,0.04985666,FALSE,FALSE,-3.472411,1.098691,1.982213,-0.004558035,0.1935241,-0.9810767,63.73551,-0.3076086,0.5853046,0.1105467,0.02374096,0.5385705,-0.267915,-0.1279583,-0.1279583,0.1358209,0.5629669,0.06353962,0.02523655,0.4384487,-0.2341788,0.3600999,0.3600999
