AppTime,Actor,Event_Category,Event_Type,Object,Attributes
59.11863,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
64.85863,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.3828
66.90033,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.6974
70.51342,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,4.5429
72.40662,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,1.5495
75.18699,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,4.5832
79.19392,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,8.3653
79.91571,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.5902
82.63293,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,2.3591
83.47932,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.6057
86.86956,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,0.5415
88.01336,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.372
101.0702,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.423
101.7479,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.6328
104.9156,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
104.9168,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
104.9238,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
104.9261,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
106.41,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
107.8736,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5241
109.6167,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.36
110.0923,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.332
123.0514,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3107
127.8025,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6211
128.9218,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
130.0796,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.4902
132.2378,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3319
134.2008,USER,EYE-TRACKING,DECISION_MAKING,,33.8256
134.2167,USER,EYE-TRACKING,DECISION_MAKING,,0.3795
134.2943,USER,EYE-TRACKING,DECISION_MAKING,,4.198
134.6799,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.3619
134.9869,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,1.2165
136.9833,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
136.9842,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
136.9901,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
137.4525,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,3.9823
138.5737,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.6552
138.6026,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.9348
139.3082,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6359
144.3348,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,6.7983
144.6463,USER,ACTION,ITEM_ADD,Baguette,Baguette1
144.647,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
144.6531,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
146.4599,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,2.0877
146.5034,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,1.2851
146.5483,USER,EYE-TRACKING,DECISION_MAKING,,11.8248
146.7255,USER,EYE-TRACKING,DECISION_MAKING,호박,12.0244
147.6852,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.944
147.9517,USER,EYE-TRACKING,DECISION_MAKING,양배추,10.0564
148.7213,USER,EYE-TRACKING,DECISION_MAKING,,2.1125
149.2246,USER,EYE-TRACKING,DECISION_MAKING,빵,0.4655
149.455,USER,EYE-TRACKING,DECISION_MAKING,양배추,1.0034
