AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
67.41875,0.02218174,1.481566,-0.1344248,-0.02119013,-0.01747217,0.01254893,0.01254893,FALSE,FALSE,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67.5359,0.02219813,1.481634,-0.134445,-0.021227,-0.01740896,0.01250901,0.01250901,FALSE,FALSE,-3.535767,1.183567,2.158266,-0.01016083,-0.07271852,-0.9972987,67.52879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67.59274,0.02202249,1.483324,-0.1348104,-0.02787187,-0.03193709,0.01409418,0.01409418,FALSE,FALSE,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67.63722,0.02002862,1.48373,-0.1345666,-0.02911148,-0.0409269,0.01596201,0.01596201,FALSE,FALSE,-3.50317,1.18231,2.16203,0.002969159,-0.05404104,-0.9985245,67.62872,-0.1178445,0.9933115,0.08568633,0.02226406,0.08319036,-0.130469,0.2465784,0.2465784,0.1195269,0.9197684,0.07417107,0.02966356,0.3365512,0.1379196,-0.2588729,-0.2588729
67.67718,0.01839199,1.483953,-0.1342748,-0.02974814,-0.04903066,0.01371611,0.01371611,FALSE,FALSE,-3.515942,1.18335,2.159789,-0.009083458,-0.07428282,-0.9971942,67.66997,-0.1192033,0.9940166,0.08529353,0.03108388,0.08130543,-0.1323228,0.2466972,0.2466972,0.1178735,0.9191728,0.07446063,0.03593895,0.3384376,0.135372,-0.2574419,-0.2574419
67.71099,0.01730747,1.483992,-0.1339609,-0.03006283,-0.05462258,0.01116388,0.01116388,FALSE,FALSE,-3.503183,1.182722,2.161712,0.00504508,-0.05930913,-0.9982144,67.7049,-0.1207988,0.9944429,0.08531392,0.03803901,0.07954293,-0.1343238,0.2475474,0.2475474,0.1160303,0.9192291,0.07485867,0.04272643,0.339756,0.1330009,-0.2559394,-0.2559394
67.74303,0.01632297,1.48424,-0.1334338,-0.03079792,-0.05964942,0.009583861,0.009583861,FALSE,FALSE,-3.50152,1.182804,2.161754,0.01008747,-0.07676063,-0.9969922,67.73637,-0.1204599,0.9947796,0.08613133,0.04040952,0.07909827,-0.138042,0.2479487,0.2479487,0.1142941,0.9189214,0.07516444,0.04835238,0.340766,0.1305673,-0.2542516,-0.2542516
67.77944,0.01595994,1.484316,-0.132905,-0.03075263,-0.05980018,0.01031968,0.01031968,FALSE,FALSE,-3.511692,1.183532,2.159499,0.02265809,-0.07747059,-0.9967302,67.77317,-0.1180441,0.9939393,0.08818996,0.03767191,0.07931772,-0.1443451,0.2482118,0.2482118,0.1129489,0.918641,0.0759033,0.04818693,0.3417729,0.1282774,-0.2518793,-0.2518793
67.80739,0.01579729,1.484429,-0.1325822,-0.03062871,-0.06005555,0.01117616,0.01117616,FALSE,FALSE,-3.508469,1.183473,2.159812,0.02947448,-0.05294859,-0.9981586,67.8018,-0.1175866,0.9930913,0.08903074,0.03628306,0.07928915,-0.148948,0.2498102,0.2498102,0.1112516,0.9182053,0.07664394,0.05185775,0.3421381,0.1261601,-0.2495984,-0.2495984
67.84515,0.01484574,1.484354,-0.1319422,-0.02988028,-0.06257652,0.01186268,0.01186268,FALSE,FALSE,-3.505288,1.183242,2.159957,0.06583511,-0.1087397,-0.9918814,67.83812,-0.1158528,0.9919914,0.09135735,0.03373539,0.07872239,-0.1530688,0.2512674,0.2512674,0.1098989,0.9184235,0.07786882,0.05333709,0.3418559,0.1236107,-0.2484386,-0.2484386
67.8762,0.01426442,1.484149,-0.1315764,-0.02889794,-0.06486722,0.01190981,0.01190981,FALSE,FALSE,-3.488977,1.181613,2.16292,0.189425,-0.2788135,-0.9414668,67.87054,-0.1160502,0.9912724,0.09167302,0.03189653,0.07850251,-0.1568099,0.2519143,0.2519143,0.1084318,0.9183144,0.07870662,0.05199277,0.3415561,0.1214022,-0.2471416,-0.2471416
67.91637,0.01280228,1.483485,-0.1305896,-0.02573349,-0.07059361,0.01258576,0.01258576,FALSE,FALSE,-3.541099,1.184697,2.151502,0.1642064,-0.387329,-0.9071909,67.90736,-0.116541,0.9909628,0.09181571,0.02493581,0.07827306,-0.1599348,0.2521965,0.2521965,0.1069459,0.9184406,0.07939899,0.04717647,0.3413706,0.1195791,-0.2458457,-0.2458457
67.95218,0.01217869,1.482947,-0.1298816,-0.02297377,-0.07342864,0.01355184,0.01355184,FALSE,FALSE,-3.52036,1.182945,2.15483,0.1736907,-0.3699094,-0.9126796,67.94566,-0.117841,0.9907457,0.09150457,0.02032254,0.07692018,-0.1630265,0.2529168,0.2529168,0.1054611,0.9185207,0.07999516,0.04209696,0.3415864,0.1174949,-0.244408,-0.244408
67.985,0.01068175,1.481281,-0.1282059,-0.01418842,-0.0779135,0.0139889,0.0139889,FALSE,FALSE,-3.518985,1.182141,2.154039,0.1874954,-0.3308159,-0.9248785,67.97811,-0.1195138,0.9907041,0.09087813,0.01947906,0.07547984,-0.1659579,0.2532718,0.2532718,0.1044694,0.9184029,0.08059907,0.03622399,0.3419577,0.1160653,-0.2434532,-0.2434532
68.02298,0.009044093,1.478012,-0.1251127,0.002099441,-0.08240371,0.01661614,0.01661614,FALSE,FALSE,-3.51987,1.180757,2.152253,0.1893017,-0.3412212,-0.9207205,68.01591,-0.1198666,0.9907399,0.09098947,0.01352906,0.07414332,-0.1682576,0.2539316,0.2539316,0.1036608,0.9180906,0.08095062,0.02714438,0.3429367,0.1150281,-0.2414513,-0.2414513
68.05801,0.00799101,1.475075,-0.1228552,0.01645834,-0.08563431,0.01777381,0.01777381,FALSE,FALSE,-3.518609,1.178708,2.150765,0.2113924,-0.3692135,-0.9049669,68.0514,-0.1202959,0.9911728,0.09103775,0.01493163,0.07248068,-0.1700041,0.2539001,0.2539001,0.1030137,0.9184938,0.08154035,0.02662689,0.342413,0.1136022,-0.2409293,-0.2409293
68.09074,0.007048761,1.470594,-0.1208539,0.0373509,-0.0898589,0.01644027,0.01644027,FALSE,FALSE,-3.530412,1.176737,2.1458,0.2056612,-0.4944122,-0.8445331,68.08425,-0.1218767,0.9924341,0.09021342,0.02816356,0.06892186,-0.1700349,0.2542173,0.2542173,0.1026135,0.9193765,0.08241796,0.03212132,0.3402121,0.1122818,-0.2415376,-0.2415376
68.12376,0.006277322,1.468498,-0.1183571,0.0487111,-0.09292468,0.01592492,0.01592492,FALSE,FALSE,,,,,,,,-0.1219573,0.9936152,0.09017491,0.03170827,0.06458454,-0.1701409,0.2533265,0.2533265,0.1021544,0.919925,0.08259201,0.02316269,0.3383361,0.1122664,-0.2407272,-0.2407272
68.15673,0.005644789,1.466828,-0.1152322,0.05620792,-0.09597362,0.01557577,0.01557577,FALSE,FALSE,-3.515381,1.171185,2.144838,0.190442,-0.5328257,-0.8245071,68.14959,-0.1220223,0.9940718,0.09006906,0.01854626,0.06258053,-0.1710726,0.2519302,0.2519302,0.1019455,0.9195941,0.08300328,0.01520544,0.338801,0.1125805,-0.240038,-0.240038
68.1905,0.005518718,1.465188,-0.1127175,0.06680779,-0.1013336,0.0152018,0.0152018,FALSE,FALSE,,,,,,,,-0.1229568,0.9942678,0.08942139,0.006282688,0.06160271,-0.1718088,0.2522146,0.2522146,0.1013529,0.9190688,0.08313584,0.02179508,0.3400674,0.1119629,-0.2404724,-0.2404724
68.22429,0.005535793,1.461103,-0.1091123,0.08196961,-0.1065448,0.01521078,0.01521078,FALSE,FALSE,-3.514462,1.166545,2.139289,0.2075144,-0.504871,-0.8378778,68.21782,-0.124418,0.994264,0.08827806,0.007163239,0.06095332,-0.1727923,0.2517096,0.2517096,0.09999907,0.9186929,0.08324718,0.03199918,0.3407155,0.1099697,-0.2403471,-0.2403471
68.25741,0.005754816,1.460218,-0.106812,0.09132396,-0.1154462,0.01224481,0.01224481,FALSE,FALSE,-3.517856,1.164827,2.136023,0.2331891,-0.4970484,-0.8357861,68.25099,-0.1256235,0.9937701,0.08732831,0.01850085,0.06137175,-0.1745934,0.2508772,0.2508772,0.09857941,0.9180263,0.08302474,0.04007522,0.34198,0.1079896,-0.2402215,-0.2402215
68.30435,0.006453912,1.457809,-0.1021819,0.1012882,-0.1209003,0.01247503,0.01247503,FALSE,FALSE,-3.516,1.16231,2.132845,0.2260572,-0.4984845,-0.8368862,68.28448,-0.1267591,0.9928455,0.08657432,0.02940104,0.06406773,-0.1772022,0.2501647,0.2501647,0.09750348,0.9169586,0.08292937,0.0453817,0.3456573,0.1067293,-0.2400448,-0.2400448
68.33822,0.006490706,1.456101,-0.09848621,0.1115969,-0.1269333,0.01145243,0.01145243,FALSE,FALSE,-3.519141,1.162191,2.129833,0.2341344,-0.508323,-0.8287175,68.33087,-0.1278479,0.9922591,0.0857048,0.01749646,0.0659652,-0.1799371,0.2493845,0.2493845,0.09650958,0.9157915,0.0830971,0.03460777,0.3490304,0.1049781,-0.2395863,-0.2395863
68.37909,0.01034909,1.459428,-0.09412163,0.1301157,-0.1558433,-0.00788454,-0.00788454,FALSE,FALSE,-3.518256,1.163537,2.128703,0.2534328,-0.5108526,-0.8214507,68.37219,-0.1287714,0.9927644,0.08477139,0.007635053,0.06647208,-0.1813287,0.2469618,0.2469618,0.09541154,0.9157704,0.08349621,0.02501954,0.3493687,0.1030811,-0.2386413,-0.2386413
68.41393,0.01483482,1.457253,-0.08465414,0.1330053,-0.1604627,-0.01032978,-0.01032978,FALSE,FALSE,-3.523159,1.159277,2.119271,0.2495216,-0.495832,-0.8317892,68.40678,-0.1288111,0.9930673,0.08414257,0.01422747,0.06702383,-0.1823554,0.244063,0.244063,0.09524405,0.9159271,0.08422637,0.0190134,0.3493565,0.1021317,-0.2390803,-0.2390803
68.44582,0.01893661,1.456002,-0.07818894,0.1371916,-0.1639949,-0.01219765,-0.01219765,FALSE,FALSE,-3.525729,1.157748,2.113391,0.2805589,-0.5078122,-0.8144982,68.43873,-0.1278644,0.9936416,0.08392954,0.02674814,0.06653694,-0.1836488,0.2391289,0.2391289,0.09561938,0.915412,0.08481812,0.01916785,0.3511737,0.1015197,-0.2387381,-0.2387381
68.48269,0.02272783,1.454899,-0.07251931,0.1434459,-0.1668959,-0.01283489,-0.01283489,FALSE,FALSE,-3.525362,1.156781,2.108706,0.2583601,-0.5210073,-0.8134965,68.47566,-0.1266394,0.9938809,0.0837518,0.04192873,0.06657131,-0.1839901,0.2344767,0.2344767,0.09607625,0.9144978,0.0850271,0.02783882,0.3537957,0.1018285,-0.2397248,-0.2397248
68.51579,0.02615355,1.453914,-0.06731309,0.1493725,-0.1683208,-0.01235424,-0.01235424,FALSE,FALSE,-3.527114,1.156179,2.10393,0.2589527,-0.508718,-0.8210584,68.50861,-0.1245081,0.9934323,0.08383644,0.06589156,0.06920525,-0.183807,0.2294241,0.2294241,0.09697062,0.9133193,0.08513069,0.03663135,0.3567433,0.1009767,-0.2417327,-0.2417327
68.54844,0.02954444,1.453102,-0.06335391,0.1558315,-0.1672181,-0.01316386,-0.01316386,FALSE,FALSE,-3.529876,1.155591,2.099162,0.2736689,-0.4851033,-0.8305191,68.54195,-0.121129,0.9925396,0.08448029,0.09640502,0.0725524,-0.1825762,0.2251951,0.2251951,0.09841639,0.9115125,0.08494055,0.0563669,0.3599944,0.1011864,-0.2434044,-0.2434044
68.58111,0.03344525,1.45281,-0.05915335,0.1584748,-0.1653998,-0.01383273,-0.01383273,FALSE,FALSE,-3.537118,1.154509,2.092396,0.249872,-0.5213912,-0.8158984,68.57403,-0.1173147,0.9915893,0.0855875,0.1154182,0.07477671,-0.1805994,0.2212863,0.2212863,0.1005166,0.9099239,0.08468831,0.07414352,0.3628587,0.1015949,-0.2449088,-0.2449088
68.61745,0.03764939,1.452509,-0.05530329,0.157827,-0.1634329,-0.01322031,-0.01322031,FALSE,FALSE,-3.541412,1.154054,2.087333,0.3390558,-0.5679567,-0.7499711,68.61038,-0.1130153,0.9912666,0.08701539,0.1306772,0.07455109,-0.1780402,0.2145819,0.2145819,0.1029152,0.9084408,0.08442724,0.08498933,0.3654906,0.1011657,-0.2470581,-0.2470581
