AppTime,Actor,Event_Category,Event_Type,Object,Attributes
63.33981,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
68.30289,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,0.3411
68.57984,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,0.4907
69.95248,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,1.0394
73.8175,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,3.7493
87.56724,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.8047
88.30144,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.6713
96.40325,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,8.8054
102.9766,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
102.9776,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
102.984,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
102.9854,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
104.4858,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
105.0767,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,31.5364
107.4822,USER,EYE-TRACKING,DECISION_MAKING,,0.373
108.0259,USER,EYE-TRACKING,DECISION_MAKING,,0.3221
108.5035,USER,EYE-TRACKING,DECISION_MAKING,,0.4166
109.8928,USER,EYE-TRACKING,DECISION_MAKING,,2.4771
111.8703,USER,EYE-TRACKING,DECISION_MAKING,,1.4065
113.068,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.6698
115.5225,USER,EYE-TRACKING,DECISION_MAKING,,3.6292
115.9054,USER,EYE-TRACKING,DECISION_MAKING,,0.3673
116.5554,USER,EYE-TRACKING,DECISION_MAKING,,0.4943
117.0445,USER,EYE-TRACKING,DECISION_MAKING,,0.4701
118.613,USER,EYE-TRACKING,DECISION_MAKING,,1.3347
120.0312,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.4104
120.932,USER,EYE-TRACKING,DECISION_MAKING,,1.3768
121.5006,USER,EYE-TRACKING,DECISION_MAKING,,0.5525
122.0541,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,0.3281
122.1417,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.4498
122.4088,USER,EYE-TRACKING,DECISION_MAKING,,0.7046
122.864,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,15.4696
123.1522,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.3321
123.7646,USER,EYE-TRACKING,DECISION_MAKING,,0.5208
125.6971,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,2.4779
126.6187,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.6987
126.9843,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
127.9545,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.8412
130.9727,USER,ACTION,ITEM_ADD,Cheese,Cheese2
130.9735,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
130.9792,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
134.2962,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,8.5753
135.4809,USER,ACTION,ITEM_ADD,Cheese,Cheese1
135.4815,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
135.4869,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
136.1964,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.489
139.0371,USER,ACTION,ITEM_ADD,Tomato,Tomato1
139.0378,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
139.0439,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
142.2618,USER,ACTION,ITEM_ADD,Coffee,Coffee1
142.2626,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,커피 (이)가 추가되었습니다.
142.2694,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
145.0553,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
145.0562,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
145.0622,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
149.7307,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
149.7335,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
149.7587,USER,ACTION,ITEM_DUP_REMOVE,Baguette,Baguette1
149.7594,ADMIN,SYSTEM_MESSAGE,ITEM_DUP_REMOVE,screen2_result_message,빵는 없는 아이템입니다.
150.6008,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.3921
151.1908,USER,EYE-TRACKING,DETECTED_ITEM,btn_home,0.5762
152.1295,USER,EYE-TRACKING,DETECTED_ITEM,instruction,0.7105
152.3955,USER,ACTION,ITEM_DUP_REMOVE,Baguette,Baguette1
152.3961,ADMIN,SYSTEM_MESSAGE,ITEM_DUP_REMOVE,screen2_result_message,빵는 없는 아이템입니다.
152.5784,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.329
152.7556,USER,EYE-TRACKING,DETECTED_ITEM,btn_home,0.5373
154.2662,USER,EYE-TRACKING,DETECTED_ITEM,instruction,0.9992
155.8693,USER,ACTION,BTN_TOUCH,btn_home,Screen1(Home_screen):btn_pay()
155.8712,SYSTEM,SCREEN,SCREEN_CHANGE,btnHome,screen2:Screen2()cancel to Screen1(home)
158.2455,USER,ACTION,ITEM_ADD,Baguette,Baguette1
158.2464,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
158.2537,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
159.1267,USER,EYE-TRACKING,DECISION_MAKING,빵,0.4518
161.0783,USER,EYE-TRACKING,DECISION_MAKING,호박,2.419
161.3429,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,0.3134
161.6793,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,27.2031
163.9843,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
164.4446,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,2.1016
164.8411,USER,EYE-TRACKING,DECISION_MAKING,호박,0.3815
164.9846,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen3After1s(),screen1:Screen1(home) to Screen3(asking_dc)
166.1519,USER,ACTION,BTN_TOUCH,btn_yes,Screen3:btn_yes()
166.2297,USER,EYE-TRACKING,DETECTED_ITEM,btn_yes,0.6884
166.9007,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.6241
167.1659,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen3toScreen4After1s(),Screen3(asking dc) to Screen4(ds)
167.5892,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.3542
167.9418,USER,EYE-TRACKING,DETECTED_ITEM,btn_6,0.3367
168.3807,USER,EYE-TRACKING,DETECTED_ITEM,btn_Z,0.4239
169.3762,USER,ACTION,BTN_TOUCH,Key_Z,
169.4004,USER,EYE-TRACKING,DETECTED_ITEM,btn_Z,0.321
170.0142,USER,ACTION,BTN_TOUCH,Key_K,
170.0806,USER,EYE-TRACKING,DETECTED_ITEM,btn_K,0.6652
171.8028,USER,EYE-TRACKING,DETECTED_ITEM,btn_J,0.6864
171.9917,USER,ACTION,BTN_TOUCH,Key_J,
172.5437,USER,ACTION,BTN_TOUCH,Key_5,
172.8258,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.7493
173.7386,USER,ACTION,BTN_TOUCH,Key_0,
174.0081,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.3236
174.6463,USER,ACTION,BTN_TOUCH,btn_apply,
174.6472,USER,ACTION,CODE_SUCC,37000,screen4
174.6477,SYSTEM,SYSTEM_MESSAGE,CODE_SUCC,result_message,screen4:할인코드 적용이 완료되었습니다!
174.668,USER,EYE-TRACKING,DETECTED_ITEM,btn_apply,0.4954
175.1763,USER,EYE-TRACKING,DETECTED_ITEM,result_message,1.6351
175.6441,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen4toScreen1After1s(),screen4:Screen4(dc) to Screen1(home)
175.6489,SYSTEM,SYSTEM_MESSAGE,SCREEN_UPDATE,result_message,trying to pay
175.6495,SYSTEM,SYSTEM_MESSAGE,SCREEN_UPDATE,result_message,trying to pay
176.1815,USER,EYE-TRACKING,DECISION_MAKING,치즈,11.3552
176.4771,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,14.2087
177.393,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6267
177.65,USER,EYE-TRACKING,DECISION_MAKING,호박,1.1858
178.0599,USER,EYE-TRACKING,DECISION_MAKING,빵,0.4528
178.1802,USER,ACTION,BTN_TOUCH,btn_previous,screen5
178.1814,SYSTEM,SCREEN,SCREEN_CHANGE,screen change,screen5:screen5(pay) to screen1(home)
178.9029,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.3536
179.9346,USER,EYE-TRACKING,DECISION_MAKING,빵,0.6572
181.685,USER,EYE-TRACKING,DECISION_MAKING,양배추,1.3061
182.0815,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.3825
182.5821,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,5.8318
183.4284,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3853
184.665,USER,EYE-TRACKING,DECISION_MAKING,호박,0.3295
185.2831,USER,EYE-TRACKING,DECISION_MAKING,커피,0.6017
186.0186,USER,EYE-TRACKING,DECISION_MAKING,호박,0.5088
186.426,USER,EYE-TRACKING,DECISION_MAKING,커피,0.3925
186.4417,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,4.0239
188.6513,USER,EYE-TRACKING,DECISION_MAKING,빵,3.1544
189.2599,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
189.2616,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
189.2673,USER,EYE-TRACKING,DETECTED_ITEM,btn_home,0.7477
189.3902,USER,EYE-TRACKING,DETECTED_ITEM,result_message,35.1092
189.9579,USER,EYE-TRACKING,DETECTED_ITEM,instruction,0.3872
193.3234,USER,ACTION,ITEM_REMOVE,Pumpkin,Pumpkin1
193.3241,SYSTEM,SYSTEM_MESSAGE,ITEM_REMOVE,screen2_result_message,호박 ( 6000 원 ) (이)가 취소되었습니다.
193.7319,USER,EYE-TRACKING,DETECTED_ITEM,result_message,4.2639
194.2323,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.4564
196.3205,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen2toScreen1After3s,Screen2(cancel) to Screen1(home)
196.327,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
197.5224,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
197.5241,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
197.5288,USER,EYE-TRACKING,DETECTED_ITEM,instruction,0.6272
200.343,USER,ACTION,ITEM_REMOVE,Coffee,Coffee1
200.3439,SYSTEM,SYSTEM_MESSAGE,ITEM_REMOVE,screen2_result_message,커피 ( 6000 원 ) (이)가 취소되었습니다.
202.1171,USER,EYE-TRACKING,DETECTED_ITEM,result_message,1.0898
203.1057,USER,EYE-TRACKING,DETECTED_ITEM,instruction,0.4412
203.3474,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen2toScreen1After3s,Screen2(cancel) to Screen1(home)
203.3533,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
203.3543,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3136
204.406,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.7429
204.4221,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.7739
205.5446,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.614
208.252,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.4989
208.813,USER,EYE-TRACKING,DECISION_MAKING,토마토,2.2573
211.6459,USER,EYE-TRACKING,DECISION_MAKING,,4.5287
212.2372,USER,EYE-TRACKING,DECISION_MAKING,빵,0.5745
212.2539,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,29.6107
212.8349,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.5651
213.3324,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.3365
214.2887,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.4437
215.6369,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3187
215.7564,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
215.7576,SYSTEM,SYSTEM_MESSAGE,RESULT_MSG,result_message,trying to pay
216.7632,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.407
218.0491,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.7517
218.1656,USER,ACTION,PAY,card,discount_yn:Y
218.1669,USER,ACTION,END,25000,discount_yn:Y
