AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
18.40677,-0.02008815,1.476475,-0.01310347,0.02180229,0.07573891,0.002481623,0.002481623,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.52039,-0.020013,1.476493,-0.01297609,0.02184569,0.0757934,0.002573011,0.002573011,False,False,-3.491859,1.188699,2.052852,-0.1918072,-0.0594073,-0.9796296,18.51266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.56469,-0.02964683,1.490197,-0.02718164,-0.04587198,0.05941805,0.007772788,0.007772788,False,False,-3.493201,1.190906,2.053176,-0.2001361,-0.06742039,-0.9774327,18.54727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.60038,-0.02913018,1.490443,-0.02760169,-0.04840944,0.06330653,0.007129236,0.007129236,False,False,-3.458681,1.189579,2.05182,-0.1518559,-0.05022734,-0.987122,18.59384,-0.09606171,0.8859043,0.1746123,0.02847191,0.4587928,-0.03183696,0.1488935,0.1488935,0.1102211,0.8984077,0.1558894,0.0755539,0.335832,0.213399,-0.08630121,-0.08630121,
18.62555,-0.02901325,1.490828,-0.02809592,-0.05019636,0.06588413,0.007213081,0.007213081,False,False,-3.452091,1.189541,2.051664,-0.175978,-0.04384165,-0.9834011,18.61934,-0.09637713,0.885697,0.1742065,0.02196314,0.45937,-0.0313533,0.1485489,0.1485489,0.1079112,0.8971674,0.1553295,0.0775799,0.3409083,0.2096848,-0.09189381,-0.09189381,
18.65522,-0.02907573,1.490728,-0.02835866,-0.05078727,0.06684159,0.007394871,0.007394871,False,False,-3.460359,1.189926,2.052262,-0.1824256,-0.04966329,-0.9819497,18.64857,-0.09658337,0.8856602,0.1739272,0.01621377,0.459675,-0.03088186,0.1487724,0.1487724,0.1061867,0.8962523,0.1549923,0.07201268,0.3447741,0.2065135,-0.09529408,-0.09529408,
18.68829,-0.02914546,1.490831,-0.0288207,-0.05087438,0.06719241,0.007810208,0.007810208,False,False,-3.461901,1.19013,2.052749,-0.1706822,-0.03718907,-0.9846093,18.6811,-0.09688616,0.8860118,0.1736003,0.01460512,0.4599274,-0.0307622,0.148294,0.148294,0.105181,0.89579,0.1543701,0.05909893,0.3482895,0.2046369,-0.09797091,-0.09797091,
18.71587,-0.02951247,1.490942,-0.02913408,-0.05149915,0.06563959,0.008105591,0.008105591,False,False,-3.472974,1.190669,2.053787,-0.1649204,-0.04347728,-0.9853327,18.70953,-0.09722388,0.8864952,0.1736133,0.01464702,0.4595925,-0.03054832,0.1477357,0.1477357,0.103838,0.8953916,0.1542152,0.04556252,0.3507571,0.2030244,-0.09969244,-0.09969244,
18.75682,-0.03015536,1.49062,-0.02952763,-0.05025974,0.06126986,0.007797184,0.007797184,False,False,-3.492565,1.191359,2.055318,-0.1778967,-0.06084537,-0.9821508,18.74971,-0.09742415,0.8870545,0.1735196,0.01617919,0.458432,-0.02975362,0.146836,0.146836,0.1025396,0.895632,0.1544704,0.03374276,0.3502692,0.1995293,-0.09667584,-0.09667584,
18.78196,-0.0305122,1.490464,-0.02962604,-0.04891798,0.05895399,0.007908066,0.007908066,False,False,-3.491871,1.191309,2.055393,-0.1920281,-0.06011141,-0.9795323,18.77594,-0.09746897,0.8873751,0.173624,0.01515484,0.457892,-0.0293548,0.1463318,0.1463318,0.1019211,0.896057,0.1545477,0.02857175,0.3502738,0.1981928,-0.09589095,-0.09589095,
