AppTime,Actor,Event_Category,Event_Type,Object,Attributes
9.640643,SYSTEM,SCENE,START,Start(),AdminEvent.cs
9.712327,SYSTEM,SCENE,START,Start(),scene_name:IntroEvent.cs
10.30881,ADMIN,ACTION,CLICK,introEvent:btn_trial,-
10.38035,SYSTEM,SCENE,START,Start(),InstructionEvent.cs
10.97367,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:1
11.12053,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:2
11.26383,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:3
11.39704,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:4
11.51989,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:5
11.63709,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:6
11.75182,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:7
12.50889,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:8
12.94996,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:9
12.95058,ADMIN,SCENE,CLICK,instructionEvent:btn_next,LAST_PAGE:4_MartScene
14.26035,ADMIN,ACTION,CLICK,introEvent:StartTestMode,TEST_SCART!!
19.96083,USER,EYE-TRACKING,DETECTED_ITEM,Juice1,0.3771
20.97249,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5435
22.00398,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.9538
23.21489,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.1295
23.65973,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.372
24.37156,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4883
26.20354,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3129
29.52547,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.7137
31.92064,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.5444
34.70665,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.6682
34.73005,USER,EYE-TRACKING,DECISION_MAKING,-,0.9874
38.51271,USER,EYE-TRACKING,DETECTED_ITEM,Chip1,1.688
40.11015,USER,EYE-TRACKING,DETECTED_ITEM,Chip1,1.396
57.6098,USER,ACTION,ITEM_ADD,Chip,Chip1
57.61139,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,감자칩 (이)가 추가되었습니다.
57.61876,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
58.26192,USER,EYE-TRACKING,DECISION_MAKING,,24.5381
58.49035,USER,EYE-TRACKING,DECISION_MAKING,감자칩,24.5524
63.68743,USER,ACTION,ITEM_ADD,Apple,Apple1
63.68829,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,사과 (이)가 추가되었습니다.
63.69413,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
67.84229,USER,ACTION,ITEM_ADD,Juice,Juice1
67.84293,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,주스 (이)가 추가되었습니다.
67.84933,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
70.147,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,12.1279
70.74587,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3795
71.36662,USER,EYE-TRACKING,DECISION_MAKING,사과,0.543
73.97601,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,2.4308
74.12776,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
74.99861,USER,EYE-TRACKING,DECISION_MAKING,,16.7139
75.06435,USER,EYE-TRACKING,DECISION_MAKING,주스,40.2875
