AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
12.91872,-0.0132194,1.481859,-0.02682962,0.02994716,0.1090245,0.005001886,0.005001886,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.01491,-0.01330784,1.481847,-0.02692246,0.0300311,0.1090044,0.005117029,0.005117029,False,False,-3.473823,1.177933,2.055548,-0.382497,-0.5928945,-0.7086293,13.00874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.05652,-0.01694618,1.478874,-0.03064317,0.03934235,0.1129765,0.002493142,0.002493142,False,False,-3.49359,1.178374,2.058542,-0.4054403,-0.5315791,-0.7436471,13.03555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.0849,-0.01709972,1.478841,-0.03072887,0.03956398,0.1131117,0.002467004,0.002467004,False,False,-3.49126,1.178259,2.058242,-0.3793511,-0.5491755,-0.7446338,13.07815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.11094,-0.0171572,1.478745,-0.03066444,0.04017801,0.1130607,0.00237237,0.00237237,False,False,-3.491066,1.178174,2.058167,-0.3948668,-0.5586697,-0.7293486,13.10456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.13762,-0.01735641,1.478633,-0.03057792,0.04048187,0.112897,0.00239083,0.00239083,False,False,-3.478459,1.177602,2.056252,-0.3920054,-0.5474991,-0.7392865,13.13171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.16217,-0.01757893,1.478564,-0.03056438,0.04107823,0.1129201,0.002757847,0.002757847,False,False,-3.476272,1.177479,2.055925,-0.3752822,-0.5694569,-0.7313382,13.15704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.19045,-0.01777409,1.478487,-0.03071745,0.04172768,0.1129267,0.00322065,0.00322065,False,False,-3.491846,1.178047,2.05828,-0.4047268,-0.5334957,-0.7426625,13.18464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.21246,-0.01788192,1.478464,-0.03085683,0.04175624,0.1130194,0.003287797,0.003287797,False,False,-3.493567,1.178055,2.058615,-0.4036228,-0.5548152,-0.7274947,13.20622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.23207,-0.01799171,1.478469,-0.03096776,0.04165144,0.1130297,0.003278976,0.003278976,False,False,-3.49344,1.178054,2.058656,-0.3969246,-0.5357037,-0.7452875,13.22668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.25509,-0.01811707,1.478514,-0.03109882,0.04106447,0.1128158,0.003433238,0.003433238,False,False,-3.48872,1.177831,2.058045,-0.3809465,-0.5579624,-0.7372515,13.24886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.2767,-0.01829504,1.478681,-0.0311088,0.04068322,0.1127301,0.003823745,0.003823745,False,False,-3.479982,1.177518,2.056813,-0.3826044,-0.585736,-0.7145025,13.27092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
