AppTime,Actor,Event_Category,Event_Type,Object,Attributes
59.0111,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
64.04931,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,0.3484
65.04759,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.6216
65.81464,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.6962
70.1637,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,2.9604
70.36707,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,4.4259
83.27215,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,0.4016
88.36092,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,18.399
89.57802,USER,ACTION,ITEM_ADD,Tomato,Tomato1
89.5795,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
89.5866,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
89.58822,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
91.09434,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
106.1967,USER,EYE-TRACKING,DECISION_MAKING,,17.2903
107.3967,USER,EYE-TRACKING,DECISION_MAKING,,1.1363
109.9331,USER,EYE-TRACKING,DECISION_MAKING,,11.6043
110.772,USER,EYE-TRACKING,DECISION_MAKING,,3.0893
111.5721,USER,EYE-TRACKING,DECISION_MAKING,,0.8108
113.5854,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
116.272,USER,ACTION,ITEM_ADD,Baguette,Baguette1
116.2727,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
116.2781,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
119.9266,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
119.9276,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
119.934,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
123.2695,USER,ACTION,ITEM_ADD,Cheese,Cheese2
123.2703,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
123.2771,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
126.9995,USER,ACTION,ITEM_ADD,Coffee,Coffee1
127.0002,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,커피 (이)가 추가되었습니다.
127.0062,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
130.3455,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
130.3464,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
130.3524,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
135.4523,USER,ACTION,ITEM_ADD,Cheese,Cheese1
135.453,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
135.4591,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
137.7542,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3196
138.8207,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,22.0337
