AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
13.60704,0.4249427,1.501615,0.02802637,-0.04750159,0.261071,0.02387164,0.02387164,False,False,-3.850657,1.201982,1.968456,0.1157035,-0.003623578,-0.9932723,9.454325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.72979,0.424901,1.501643,0.0278006,-0.04767784,0.2609479,0.02414884,0.02414884,False,False,-3.853865,1.20214,1.968507,0.08462616,-0.006296459,-0.9963783,13.7224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.78034,0.3711609,1.500911,0.04740276,-0.05359561,0.1069478,0.04252934,0.04252934,False,False,-3.858063,1.202279,1.970176,0.08766256,-0.0278374,-0.9957502,13.75177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.81583,0.3702542,1.500858,0.04733842,-0.05486342,0.1001087,0.042273,0.042273,False,False,-3.857961,1.202267,1.970303,0.08577846,-0.001693661,-0.9963103,13.8083,0.4110654,1.038205,0.2434082,0.07145699,-0.1952292,0.1866361,0.03723405,0.03723405,0.6193817,1.091997,0.1122369,0.04775767,-0.2442987,0.4583286,-0.09332689,-0.09332689,
13.84168,0.3695623,1.500591,0.04719676,-0.05574548,0.09481131,0.04206451,0.04206451,False,False,-3.857819,1.20217,1.970375,0.06412651,-0.02299064,-0.9976634,13.83443,0.4093859,1.038366,0.2444377,0.06686088,-0.1958345,0.1835077,0.03756296,0.03756296,0.6191074,1.091866,0.1138458,0.04338082,-0.2441237,0.4566918,-0.09331451,-0.09331451,
13.87076,0.3690417,1.500525,0.04705768,-0.05594355,0.09230049,0.04201599,0.04201599,False,False,-3.857452,1.202072,1.970483,0.09984429,-0.006290308,-0.9949771,13.86362,0.408358,1.039023,0.2450806,0.05682726,-0.1963094,0.1806713,0.03765884,0.03765884,0.6189661,1.091757,0.1147318,0.03783224,-0.2439957,0.4553489,-0.09303071,-0.09303071,
13.89623,0.3686906,1.500394,0.04695471,-0.0562944,0.08999586,0.04212737,0.04212737,False,False,-3.857318,1.202009,1.970561,0.06473895,-0.001868057,-0.997896,13.88959,0.4076278,1.039194,0.2457367,0.04801992,-0.1968737,0.178528,0.03807968,0.03807968,0.6185488,1.091576,0.115502,0.03437636,-0.2440664,0.454016,-0.09273753,-0.09273753,
13.92618,0.3680022,1.500425,0.04676368,-0.05638453,0.08778274,0.04160209,0.04160209,False,False,-3.855947,1.201833,1.97063,0.0969525,-0.0095236,-0.9952279,13.9193,0.4068258,1.039628,0.2463142,0.04118846,-0.197743,0.1766861,0.0387392,0.0387392,0.6180367,1.091358,0.1163987,0.0328722,-0.2436495,0.4530182,-0.09225047,-0.09225047,
13.951,0.3676931,1.500374,0.04676617,-0.0563653,0.08694998,0.0417903,0.0417903,False,False,-3.855409,1.201764,1.970657,0.07107034,-0.01245291,-0.9973803,13.94428,0.4065111,1.040131,0.2467331,0.0339404,-0.1987853,0.1752622,0.03927478,0.03927478,0.6176795,1.091463,0.1166188,0.02616713,-0.2431535,0.4521183,-0.09224454,-0.09224454,
13.9767,0.36727,1.500318,0.04674602,-0.05642143,0.08654649,0.04230562,0.04230562,False,False,-3.85518,1.201759,1.97078,0.06168825,-0.01700456,-0.9979448,13.9704,0.4063704,1.040497,0.2469152,0.02497503,-0.1996255,0.174812,0.03992595,0.03992595,0.6172014,1.09123,0.1170735,0.02498585,-0.242895,0.451144,-0.09241666,-0.09241666,
