AppTime,Actor,Event_Category,Event_Type,Object,Attributes
6.08875,SYSTEM,SCENE,START,Start(),AdminEvent.cs
6.153499,SYSTEM,SCENE,START,Start(),scene_name:IntroEvent.cs
6.888317,ADMIN,ACTION,CLICK,introEvent:btn_trial,-
6.949403,SYSTEM,SCENE,START,Start(),InstructionEvent.cs
7.5214,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:1
7.665977,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:2
7.78895,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:3
7.910334,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:4
8.044505,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:5
8.143607,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:6
8.278228,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:7
8.398128,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:8
8.553999,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:9
8.554581,ADMIN,SCENE,CLICK,instructionEvent:btn_next,LAST_PAGE:4_MartScene
9.446151,ADMIN,ACTION,CLICK,introEvent:StartTestMode,TEST_SCART!!
15.77586,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3104
17.28206,USER,EYE-TRACKING,DETECTED_ITEM,Chip1,0.4012
17.76945,USER,EYE-TRACKING,DETECTED_ITEM,Chip1,0.401
21.71863,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,5.604
29.9706,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.4218
32.56124,USER,ACTION,ITEM_ADD,Apple,Apple1
32.56255,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,사과 (이)가 추가되었습니다.
32.56937,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
33.10594,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6531
36.59114,USER,ACTION,ITEM_ADD,Juice,Juice1
36.59171,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,주스 (이)가 추가되었습니다.
36.59736,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
39.98912,USER,ACTION,ITEM_ADD,Chip,Chip1
39.9897,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,감자칩 (이)가 추가되었습니다.
39.99588,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
42.45811,USER,EYE-TRACKING,DECISION_MAKING,,12.038
43.28086,USER,EYE-TRACKING,DECISION_MAKING,사과,0.3285
44.75526,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.7211
45.22609,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
45.22987,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
46.17893,USER,EYE-TRACKING,DETECTED_ITEM,instruction,0.5372
48.43304,USER,EYE-TRACKING,DETECTED_ITEM,btn_home,0.395
48.56784,USER,EYE-TRACKING,DETECTED_ITEM,result_message,3.0328
49.11612,USER,EYE-TRACKING,DETECTED_ITEM,instruction,0.5314
49.68513,USER,EYE-TRACKING,DETECTED_ITEM,instruction,0.3973
50.54008,USER,ACTION,ITEM_REMOVE,Chip,Chip1
50.54066,SYSTEM,SYSTEM_MESSAGE,ITEM_REMOVE,screen2_result_message,감자칩 ( 50000 원 ) (이)가 취소되었습니다.
52.32061,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.8781
53.52879,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen2toScreen1After3s,Screen2(cancel) to Screen1(home)
53.53555,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
53.86558,USER,EYE-TRACKING,DECISION_MAKING,,23.8624
53.91005,USER,EYE-TRACKING,DECISION_MAKING,주스,10.9732
55.64757,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
56.15234,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,1.2037
56.19645,USER,EYE-TRACKING,DECISION_MAKING,,26.1874
56.64009,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen3After1s(),screen1:Screen1(home) to Screen3(asking_dc)
57.62318,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.3767
59.6627,USER,EYE-TRACKING,DETECTED_ITEM,btn_no,1.8644
60.9835,USER,ACTION,BTN_TOUCH,btn_no,Screen3:btn_no()
61.54395,USER,ACTION,BTN_TOUCH,btn_no,Screen3:btn_no()
61.99003,SYSTEM,SYSTEM_MESSAGE,SCREEN_UPDATE,screen1_result_message,trying to pay
61.99434,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen3toScreen1After1s(),Screen3(asking) to Screen1(home)
62.00094,USER,EYE-TRACKING,DECISION_MAKING,,0.4747
62.52812,SYSTEM,SYSTEM_MESSAGE,SCREEN_UPDATE,screen1_result_message,trying to pay
62.52903,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen3toScreen1After1s(),Screen3(asking) to Screen1(home)
63.76028,USER,EYE-TRACKING,DECISION_MAKING,,1.3954
64.12057,USER,EYE-TRACKING,DECISION_MAKING,,10.237
65.27721,USER,ACTION,BTN_TOUCH,btn_previous,screen5
65.27808,SYSTEM,SCREEN,SCREEN_CHANGE,screen change,screen5:screen5(pay) to screen1(home)
65.53458,USER,EYE-TRACKING,DECISION_MAKING,,22.6216
66.72622,USER,EYE-TRACKING,DECISION_MAKING,사과,0.3544
67.93507,USER,EYE-TRACKING,DECISION_MAKING,사과,0.3042
67.969,USER,EYE-TRACKING,DECISION_MAKING,,1.8592
68.09763,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,37.6522
69.24382,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,1.2514
69.53558,USER,EYE-TRACKING,DECISION_MAKING,주스,3.4039
70.62369,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
70.88108,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3853
70.91298,USER,EYE-TRACKING,DECISION_MAKING,,6.7769
71.62242,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen3After1s(),screen1:Screen1(home) to Screen3(asking_dc)
71.62789,USER,EYE-TRACKING,DETECTED_ITEM,btn_no,2.0649
73.6325,USER,ACTION,BTN_TOUCH,btn_no,Screen3:btn_no()
73.96649,USER,EYE-TRACKING,DETECTED_ITEM,btn_no,1.6098
74.62742,SYSTEM,SYSTEM_MESSAGE,SCREEN_UPDATE,screen1_result_message,trying to pay
74.62977,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen3toScreen1After1s(),Screen3(asking) to Screen1(home)
74.9787,USER,EYE-TRACKING,DECISION_MAKING,,9.4218
75.24118,USER,EYE-TRACKING,DETECTED_ITEM,btn_previous,12.5935
75.73209,USER,EYE-TRACKING,DECISION_MAKING,,0.3687
76.47084,USER,EYE-TRACKING,DECISION_MAKING,주스,0.5915
76.80918,USER,EYE-TRACKING,DECISION_MAKING,사과,0.3152
80.67305,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,3.4188
80.69036,USER,ACTION,PAY,card,discount_yn:N
80.69141,USER,ACTION,END,12000,discount_yn:N
80.69189,SYSTEM,SYSTEM_MESSAGE,RESULT_MSG,12000,discount_yn:N
80.92023,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,10.017
81.15475,USER,EYE-TRACKING,DECISION_MAKING,,5.9638
82.41821,USER,EYE-TRACKING,DECISION_MAKING,사과,0.6766
82.68231,SYSTEM,SCREEN,SCREEN_CHANGE,card:CallEndingScneneAfter5f,(SUCC) End of Game!
83.87211,USER,EYE-TRACKING,DETECTED_ITEM,ResultMsg,0.8259
86.1141,USER,EYE-TRACKING,DETECTED_ITEM,ResultMsg,0.5038
86.82748,USER,EYE-TRACKING,DETECTED_ITEM,ResultMsg,0.5226
87.83575,SYSTEM,SCENE,START,START(),scene_name:EndEvent.cs
