AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
199.5508,0.4311415,1.316583,0.02581851,0.5776852,0.1120044,-0.06931188,-0.06931188,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
199.6554,0.4306169,1.313824,0.027756,0.5814284,0.1197699,-0.06674702,-0.06674702,True,True,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
199.6923,0.02888073,1.50787,-0.03323872,0.09245931,0.1481857,-0.06939499,-0.06939499,True,True,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
199.7187,0.02728846,1.508816,-0.03460985,0.07606488,0.1518991,-0.06170992,-0.06170992,True,True,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
199.7416,0.02640218,1.509145,-0.03594946,0.06550021,0.1525628,-0.05536592,-0.05536592,True,True,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
199.7645,0.02580538,1.508984,-0.03644948,0.0602233,0.1519308,-0.05283017,-0.05283017,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
199.7867,0.02451516,1.509112,-0.03722852,0.05680351,0.151073,-0.0493503,-0.0493503,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
199.8084,0.02287603,1.509556,-0.03904851,0.05549286,0.1501083,-0.04874064,-0.04874064,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
199.8284,0.02165999,1.509736,-0.0412237,0.05333293,0.147685,-0.05147521,-0.05147521,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
199.8485,0.02168905,1.509081,-0.0423994,0.04253384,0.142969,-0.0515134,-0.0515134,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
