AppTime,Actor,Event_Category,Event_Type,Object,Attributes
16.8537,SYSTEM,SCENE,START,Start(),AdminEvent.cs
16.92118,SYSTEM,SCENE,START,Start(),scene_name:IntroEvent.cs
17.45364,ADMIN,ACTION,CLICK,introEvent:btn_trial,-
17.51688,SYSTEM,SCENE,START,Start(),InstructionEvent.cs
58.79257,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:1
68.43021,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:2
82.64411,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:3
119.1494,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:4
136.3764,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:5
143.4713,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:6
152.9998,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:7
158.0648,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:8
162.507,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:9
162.5077,ADMIN,SCENE,CLICK,instructionEvent:btn_next,LAST_PAGE:4_MartScene
197.5587,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
274.7831,USER,EYE-TRACKING,DETECTED_ITEM,Chip1,14.2587
286.0147,USER,EYE-TRACKING,DETECTED_ITEM,Juice1,11.2617
337.8136,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,55.1933
345.411,USER,EYE-TRACKING,DETECTED_ITEM,Juice1,59.1649
348.1203,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,9.4648
348.974,USER,EYE-TRACKING,DETECTED_ITEM,Juice1,0.7328
349.946,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.7497
350.7036,USER,EYE-TRACKING,DETECTED_ITEM,CreditCard,62.5864
352.3775,USER,EYE-TRACKING,DECISION_MAKING,-,0.4019
358.6981,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.355
376.2705,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3325
