AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
55.61262,-0.03157159,1.574496,0.1667677,-0.04324197,-0.01046969,-0.02600219,-0.02600219,FALSE,FALSE,-3.426815,1.283445,1.884616,0.08235222,0.003587022,-0.9965826,51.57439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.72064,-0.03160302,1.574582,0.1667847,-0.04382581,-0.01016904,-0.02602062,-0.02602062,FALSE,FALSE,-3.431298,1.284318,1.88009,0.07890461,-0.001176541,-0.9968721,55.71612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.77523,-0.03874249,1.580556,0.1492905,-0.07250454,-0.08266066,-0.04413339,-0.04413339,FALSE,FALSE,-3.449691,1.283501,1.874841,0.07274485,-0.000593282,-0.9973482,55.74996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.8151,-0.03724354,1.581163,0.1505292,-0.06957139,-0.07110354,-0.04026042,-0.04026042,FALSE,FALSE,-3.477748,1.280539,1.867969,0.069336,0.02483837,-0.9972751,55.80744,-0.2672567,0.6488097,0.1067417,0.1192849,0.4155134,-0.06736866,-0.04638961,-0.04638961,0.09287465,0.660936,0.2073978,0.1490364,0.2669322,-0.2367769,0.1883188,0.1883188
55.85001,-0.03562199,1.581084,0.1515657,-0.06705056,-0.06076164,-0.03272434,-0.03272434,FALSE,FALSE,-3.457329,1.283024,1.871512,0.088097,0.01729272,-0.9959573,55.84299,-0.265288,0.6478665,0.1091521,0.1274837,0.4159279,-0.04950535,-0.05278592,-0.05278592,0.09869564,0.6611629,0.2071171,0.1509368,0.2718926,-0.2194024,0.1838552,0.1838552
55.8827,-0.03487307,1.581493,0.1526085,-0.06895392,-0.05475319,-0.02945151,-0.02945151,FALSE,FALSE,-3.465312,1.282393,1.869632,0.06983698,0.008719929,-0.9975079,55.87637,-0.2621168,0.647167,0.1111754,0.1287127,0.4143524,-0.02540676,-0.06669587,-0.06669587,0.1042749,0.6609505,0.2067299,0.1572306,0.2801514,-0.1986668,0.1705857,0.1705857
55.91462,-0.03366446,1.582391,0.1548045,-0.07563339,-0.04738815,-0.02739805,-0.02739805,FALSE,FALSE,-3.445612,1.28483,1.871521,0.06986169,0.01114361,-0.9974867,55.90767,-0.2607059,0.6470905,0.1114123,0.1142475,0.4135658,-0.007012405,-0.07545821,-0.07545821,0.1098501,0.6605017,0.2041004,0.1716796,0.2901494,-0.180884,0.1608214,0.1608214
55.94727,-0.03305472,1.58249,0.1573453,-0.08192549,-0.04128759,-0.02978212,-0.02978212,FALSE,FALSE,-3.45914,1.283882,1.867722,0.07546557,-0.005731217,-0.9971297,55.94079,-0.2579157,0.6468413,0.1129282,0.08829131,0.4143692,0.00012207,-0.07645179,-0.07645179,0.1128112,0.6583187,0.1990589,0.1792981,0.3064346,-0.1737772,0.1492483,0.1492483
55.98229,-0.03294374,1.581102,0.1599342,-0.08213343,-0.03817188,-0.03359789,-0.03359789,FALSE,FALSE,-3.495578,1.280161,1.860792,0.0582733,0.02750178,-0.9979165,55.9751,-0.2566311,0.6464831,0.1146145,0.06417242,0.412961,0.003343033,-0.07702994,-0.07702994,0.1125631,0.6548064,0.1918433,0.2046898,0.3169451,-0.1910545,0.1574359,0.1574359
56.0141,-0.03301393,1.581066,0.1610882,-0.08023825,-0.03826037,-0.03474073,-0.03474073,FALSE,FALSE,-3.495562,1.279635,1.859177,0.07499142,0.012626,-0.9970905,56.00722,-0.2573817,0.6471952,0.1162394,0.048726,0.4093031,-0.00385634,-0.07288712,-0.07288712,0.1116836,0.6526744,0.1859241,0.1882983,0.319188,-0.2133718,0.1707501,0.1707501
56.04786,-0.03322507,1.579428,0.1626016,-0.06923185,-0.04026576,-0.03312841,-0.03312841,FALSE,FALSE,-3.460357,1.282459,1.862359,0.07828198,0.01880717,-0.996747,56.04096,-0.2595034,0.6480881,0.1161104,0.04420667,0.406965,-0.01467588,-0.07230562,-0.07230562,0.1135111,0.6524314,0.1846884,0.07850664,0.324416,-0.209218,0.1685791,0.1685791
56.08278,-0.03345873,1.578733,0.163173,-0.06235712,-0.04211222,-0.03102657,-0.03102657,FALSE,FALSE,-3.464083,1.280956,1.860524,0.1170687,-0.03465705,-0.9925094,56.07627,-0.2598234,0.6479394,0.1150433,0.03225764,0.4085545,-0.02248912,-0.06956391,-0.06956391,0.1161141,0.6525595,0.1859206,0.07142638,0.3247334,-0.1961837,0.1672357,0.1672357
56.11483,-0.03398247,1.576101,0.1653414,-0.04336667,-0.04832537,-0.02471572,-0.02471572,FALSE,FALSE,-3.491943,1.276063,1.855807,0.1733219,-0.3271301,-0.928932,56.10793,-0.2594581,0.6469635,0.1126423,0.05970637,0.4123781,-0.02661049,-0.06285815,-0.06285815,0.117695,0.6540613,0.1891814,0.09310484,0.3156945,-0.1913454,0.171149,0.171149
56.14668,-0.03428034,1.5747,0.1669513,-0.03530074,-0.0526192,-0.02354078,-0.02354078,FALSE,FALSE,-3.491304,1.274701,1.854783,0.2270381,-0.4466451,-0.8654048,56.14037,-0.2595408,0.6458461,0.1099069,0.0777663,0.4182096,-0.03106396,-0.05576329,-0.05576329,0.1184652,0.6547518,0.1916806,0.08061612,0.3135675,-0.1879448,0.1689418,0.1689418
