AppTime,Actor,Event_Category,Event_Type,Object,Attributes
51.56331,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
57.1288,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.3371
58.07166,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.4368
67.99805,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,5.5377
83.28304,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,15.7549
96.58241,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,5.2076
102.8323,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6286
103.4531,USER,EYE-TRACKING,DECISION_MAKING,-,0.4223
107.2272,USER,ACTION,ITEM_ADD,Baguette,Baguette1
107.2284,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
107.2349,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
107.2364,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
107.6184,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,4.1045
107.6335,USER,EYE-TRACKING,DECISION_MAKING,,4.1434
107.8491,USER,EYE-TRACKING,DECISION_MAKING,,4.3811
108.7254,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
109.7219,USER,EYE-TRACKING,DECISION_MAKING,,2.0715
112.3287,USER,EYE-TRACKING,DECISION_MAKING,빵,0.4667
112.9176,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.5654
114.1173,USER,EYE-TRACKING,DECISION_MAKING,빵,0.3764
116.5733,USER,EYE-TRACKING,DETECTED_ITEM,result_message,1.7666
118.5044,USER,EYE-TRACKING,DECISION_MAKING,빵,1.0001
119.4376,USER,EYE-TRACKING,DECISION_MAKING,빵,0.8672
121.7471,USER,EYE-TRACKING,DECISION_MAKING,,1.1672
121.9035,USER,EYE-TRACKING,DECISION_MAKING,,11.1865
122.3597,USER,EYE-TRACKING,DECISION_MAKING,,0.4402
123.9569,USER,EYE-TRACKING,DECISION_MAKING,,0.4369
124.9523,USER,EYE-TRACKING,DECISION_MAKING,,0.3235
125.3568,USER,EYE-TRACKING,DECISION_MAKING,,0.3208
126.569,USER,EYE-TRACKING,DECISION_MAKING,,0.3108
126.6618,USER,EYE-TRACKING,DECISION_MAKING,,1.0012
129.8544,USER,EYE-TRACKING,DECISION_MAKING,,0.8779
131.244,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
131.4189,USER,EYE-TRACKING,DECISION_MAKING,,0.9366
131.9284,USER,EYE-TRACKING,DECISION_MAKING,,0.4483
132.0952,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,22.7828
132.695,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.5332
133.2068,USER,EYE-TRACKING,DECISION_MAKING,빵,0.4667
133.2279,USER,EYE-TRACKING,DECISION_MAKING,,1.5902
135.4718,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3986
136.0838,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3662
137.1595,USER,EYE-TRACKING,DECISION_MAKING,,0.7357
137.7493,USER,EYE-TRACKING,DECISION_MAKING,,0.382
138.5807,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,0.5892
138.6922,USER,EYE-TRACKING,DECISION_MAKING,,0.7209
139.1853,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,2.9091
141.7315,USER,ACTION,ITEM_ADD,Coffee,Coffee1
141.7323,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,커피 (이)가 추가되었습니다.
141.7382,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
142.2468,USER,EYE-TRACKING,DECISION_MAKING,,2.6534
142.3135,USER,EYE-TRACKING,DECISION_MAKING,,4.9971
142.4243,USER,EYE-TRACKING,DECISION_MAKING,,9.7064
145.9521,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
145.9528,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
145.9591,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
149.5673,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,7.2967
150.4414,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.4006
152.3154,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
152.316,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
152.3215,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
152.7523,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.37
158.7583,USER,ACTION,ITEM_ADD,Cheese,Cheese1
158.7591,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
158.7644,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
160.6277,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,1.2701
161.0897,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3805
161.4711,USER,EYE-TRACKING,DECISION_MAKING,호박,11.4453
161.7601,USER,EYE-TRACKING,DECISION_MAKING,치즈,11.7582
161.986,USER,EYE-TRACKING,DECISION_MAKING,,0.8651
163.6336,USER,ACTION,ITEM_ADD,Cheese,Cheese2
163.6341,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
163.6401,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
167.9423,USER,ACTION,ITEM_ADD,Tomato,Tomato1
167.9429,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
167.9497,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
168.3927,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.4042
170.3205,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,28.0349
170.5227,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,9.4102
171.0672,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.5275
172.4511,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
172.5688,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,1.4449
172.6551,USER,EYE-TRACKING,DECISION_MAKING,토마토,1.5637
173.452,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen3After1s(),screen1:Screen1(home) to Screen3(asking_dc)
174.4195,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.4233
174.9288,USER,EYE-TRACKING,DETECTED_ITEM,btn_no,0.3595
175.457,USER,ACTION,BTN_TOUCH,btn_yes,Screen3:btn_yes()
175.7245,USER,EYE-TRACKING,DETECTED_ITEM,btn_yes,0.7804
176.4349,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.4575
176.4651,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen3toScreen4After1s(),Screen3(asking dc) to Screen4(ds)
177.118,USER,EYE-TRACKING,DETECTED_ITEM,btn_G,0.3352
177.5668,USER,EYE-TRACKING,DETECTED_ITEM,btn_Z,0.433
177.7512,USER,ACTION,BTN_TOUCH,Key_Z,
179.0118,USER,EYE-TRACKING,DETECTED_ITEM,btn_K,0.8005
179.853,USER,ACTION,BTN_TOUCH,Key_K,
179.9794,USER,EYE-TRACKING,DETECTED_ITEM,btn_apply,0.5033
180.4702,USER,EYE-TRACKING,DETECTED_ITEM,btn_G,0.4438
181.2856,USER,EYE-TRACKING,DETECTED_ITEM,btn_J,0.461
181.421,USER,ACTION,BTN_TOUCH,Key_J,
181.9504,USER,EYE-TRACKING,DETECTED_ITEM,btn_6,2.923
182.5008,USER,EYE-TRACKING,DETECTED_ITEM,btn_3,0.4117
182.9652,USER,EYE-TRACKING,DETECTED_ITEM,btn_5,1.628
183.0571,USER,EYE-TRACKING,DETECTED_ITEM,btn_0,0.5413
183.7606,USER,ACTION,BTN_TOUCH,Key_5,
184.0739,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.5172
184.5391,USER,EYE-TRACKING,DETECTED_ITEM,btn_0,0.4054
184.6932,USER,ACTION,BTN_TOUCH,Key_0,
185.7088,USER,ACTION,BTN_TOUCH,btn_apply,
185.71,USER,ACTION,CODE_SUCC,37000,screen4
185.7107,SYSTEM,SYSTEM_MESSAGE,CODE_SUCC,result_message,screen4:할인코드 적용이 완료되었습니다!
186.7139,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen4toScreen1After1s(),screen4:Screen4(dc) to Screen1(home)
186.7202,SYSTEM,SYSTEM_MESSAGE,SCREEN_UPDATE,result_message,trying to pay
186.7211,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3059
186.7216,SYSTEM,SYSTEM_MESSAGE,SCREEN_UPDATE,result_message,trying to pay
187.4153,USER,EYE-TRACKING,DETECTED_ITEM,ResultMsg,0.3684
190.2567,USER,ACTION,PAY,card,discount_yn:Y
190.2574,USER,ACTION,LIMITS_EXCEEDED,37000,discount_yn:Y
190.258,SYSTEM,SYSTEM_MESSAGE,RESULT_MSG,37000,discount_yn:Y
190.3733,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.6797
191.4233,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.4727
192.0281,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3221
193.1122,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.3357
193.2227,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,1.1722
193.8079,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.5701
194.0226,USER,EYE-TRACKING,DECISION_MAKING,양배추,1.9494
194.411,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.3669
194.945,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,2.8868
195.6881,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6314
198.6014,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3773
198.8334,USER,EYE-TRACKING,DECISION_MAKING,호박,4.2759
198.9646,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.3431
199.5086,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.3312
200.5198,USER,EYE-TRACKING,DECISION_MAKING,토마토,5.9812
200.8539,USER,EYE-TRACKING,DECISION_MAKING,호박,0.3112
201.5597,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.6909
201.9072,USER,EYE-TRACKING,DECISION_MAKING,치즈,1.8535
202.4683,USER,EYE-TRACKING,DECISION_MAKING,커피,2.5791
203.3756,USER,EYE-TRACKING,DECISION_MAKING,빵,0.775
204.0548,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.3345
204.6629,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.3103
205.8262,USER,EYE-TRACKING,DECISION_MAKING,빵,0.5937
210.6397,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3376
212.2276,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,41.1263
212.3903,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,2.6753
213.2632,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
213.2659,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
214.2014,USER,EYE-TRACKING,DETECTED_ITEM,instruction,0.454
216.0866,USER,ACTION,ITEM_REMOVE,Baguette,Baguette1
216.0872,SYSTEM,SYSTEM_MESSAGE,ITEM_REMOVE,screen2_result_message,빵 ( 10000 원 ) (이)가 취소되었습니다.
219.0863,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen2toScreen1After3s,Screen2(cancel) to Screen1(home)
219.0933,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
219.0943,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.8458
220.4729,USER,ACTION,ITEM_DUP_ADD,Cheese,Cheese1
221.2342,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.3422
221.2501,USER,EYE-TRACKING,DECISION_MAKING,,0.3785
221.7546,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.4826
223.7363,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.4448
224.7702,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.4676
225.3411,USER,EYE-TRACKING,DECISION_MAKING,토마토,1.582
225.6488,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
225.6511,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
225.8961,USER,EYE-TRACKING,DETECTED_ITEM,result_message,12.2224
226.4622,USER,EYE-TRACKING,DETECTED_ITEM,instruction,0.4445
228.3172,USER,ACTION,ITEM_REMOVE,Cheese,Cheese1
228.3178,SYSTEM,SYSTEM_MESSAGE,ITEM_REMOVE,screen2_result_message,치즈 ( 4000 원 ) (이)가 취소되었습니다.
229.0954,USER,EYE-TRACKING,DETECTED_ITEM,result_message,3.0978
231.319,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen2toScreen1After3s,Screen2(cancel) to Screen1(home)
231.3257,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
