AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
25.16476,0.00541874,1.585289,-0.03201416,-0.07846417,0.07677913,0.002882716,0.002882716,False,False,-3.49613,1.285712,2.068264,-0.1142282,-0.1335488,-0.9844263,20.90763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25.27987,0.0054483,1.585258,-0.03203824,-0.0781795,0.07623959,0.002804231,0.002804231,False,False,-3.501574,1.285609,2.068307,-0.1291578,-0.1643641,-0.9778932,25.27409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25.32282,0.007513219,1.585725,-0.0467113,-0.07688728,0.05948936,-0.0101159,-0.0101159,False,False,-3.502449,1.285434,2.068055,-0.11253,-0.1775804,-0.9776388,25.30371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25.3573,0.007593315,1.585451,-0.04601647,-0.07540878,0.05923376,-0.009344961,-0.009344961,False,False,-3.502486,1.285258,2.067575,-0.1070664,-0.181966,-0.9774437,25.35021,-0.1958568,0.6588258,-0.01611829,0.004889945,0.3852517,0.1031972,-0.0493848,-0.0493848,0.1477253,0.6626804,-0.02641881,0.004426407,0.3269778,-0.1071646,0.08403555,0.08403555,
25.3837,0.007706642,1.58505,-0.04519463,-0.07375825,0.05869496,-0.009012898,-0.009012898,False,False,-3.502554,1.285088,2.067299,-0.1187999,-0.1846684,-0.9755872,25.3769,-0.1958706,0.6586279,-0.01626039,0.006443396,0.385891,0.1025561,-0.04906802,-0.04906802,0.1479362,0.6626705,-0.02642047,0.005903309,0.3270742,-0.1071189,0.08400655,0.08400655,
25.40945,0.007705644,1.58502,-0.04488011,-0.07335657,0.05836252,-0.008950231,-0.008950231,False,False,-3.502903,1.285067,2.066942,-0.137822,-0.1739063,-0.9750643,25.40291,-0.1957561,0.6587363,-0.01620781,0.006709065,0.3856083,0.1024979,-0.0487617,-0.0487617,0.1479725,0.6626811,-0.02633345,0.005437654,0.3271375,-0.107002,0.08382987,0.08382987,
25.43505,0.007844893,1.584798,-0.0444276,-0.07199988,0.05800632,-0.008919453,-0.008919453,False,False,-3.501451,1.285066,2.066515,-0.1029954,-0.1590079,-0.981881,25.42855,-0.1958404,0.6586953,-0.01654088,0.00908753,0.3853033,0.1026044,-0.04889964,-0.04889964,0.1483162,0.662355,-0.02668095,0.009213187,0.3272777,-0.1069717,0.08371113,0.08371113,
25.46898,0.007975126,1.58476,-0.04386482,-0.07126546,0.05774765,-0.008891267,-0.008891267,False,False,-3.508384,1.284544,2.066674,-0.1378059,-0.1621505,-0.9770859,25.46237,-0.1954448,0.6587297,-0.01637566,0.01353314,0.3847748,0.1033667,-0.04870575,-0.04870575,0.1485464,0.6622028,-0.02690339,0.01086626,0.3276199,-0.1067336,0.0833683,0.0833683,
25.49387,0.008064987,1.584762,-0.04354857,-0.071223,0.05776198,-0.008619745,-0.008619745,False,False,-3.509342,1.284532,2.066386,-0.1295684,-0.1811309,-0.9748754,25.48773,-0.1951952,0.6584913,-0.01623321,0.01295171,0.3849797,0.1031809,-0.04863288,-0.04863288,0.1486564,0.6621123,-0.02671933,0.00946314,0.3279804,-0.106393,0.08285446,0.08285446,
25.5191,0.008162308,1.584715,-0.04322532,-0.07131152,0.05767496,-0.008043782,-0.008043782,False,False,-3.534609,1.283012,2.068008,-0.1377084,-0.1338242,-0.9813822,25.51254,-0.1949259,0.6582317,-0.01604462,0.01336489,0.3851432,0.10299,-0.04840423,-0.04840423,0.1488132,0.6620443,-0.02665985,0.009135747,0.3280537,-0.1059557,0.08218542,0.08218542,
