AppTime,Actor,Event_Category,Event_Type,Object,Attributes
15.85127,SYSTEM,SCENE,START,Start(),AdminEvent.cs
15.92144,SYSTEM,SCENE,START,Start(),scene_name:IntroEvent.cs
16.46333,ADMIN,ACTION,CLICK,introEvent:btn_trial,-
16.53641,SYSTEM,SCENE,START,Start(),InstructionEvent.cs
17.10117,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:1
17.23248,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:2
17.36562,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:3
17.48588,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:4
17.80997,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:5
18.25204,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:6
18.80954,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:7
19.43332,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:8
19.89775,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:9
19.89845,ADMIN,SCENE,CLICK,instructionEvent:btn_next,LAST_PAGE:4_MartScene
20.89831,ADMIN,ACTION,CLICK,introEvent:StartTestMode,TEST_SCART!!
29.13969,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.739
31.52381,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5311
35.55429,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,1.6549
36.48702,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.8665
37.79796,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.629
39.14005,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.6873
46.16103,USER,EYE-TRACKING,DETECTED_ITEM,Chip1,18.217
47.56366,USER,EYE-TRACKING,DETECTED_ITEM,Chip1,0.9036
48.40226,USER,EYE-TRACKING,DETECTED_ITEM,Juice1,0.6427
52.90613,USER,EYE-TRACKING,DETECTED_ITEM,Chip1,1.896
54.58512,USER,EYE-TRACKING,DETECTED_ITEM,Chip1,1.2853
66.25457,USER,EYE-TRACKING,DETECTED_ITEM,Juice1,2.5155
88.83826,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.4916
90.13116,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,55.9706
90.81346,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3756
93.34306,USER,ACTION,ITEM_ADD,Apple,Apple1
93.34406,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,사과 (이)가 추가되었습니다.
93.34995,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
101.8729,USER,ACTION,ITEM_ADD,Juice,Juice1
101.8735,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,주스 (이)가 추가되었습니다.
101.8786,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
105.4203,USER,ACTION,ITEM_ADD,Chip,Chip1
105.421,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,감자칩 (이)가 추가되었습니다.
105.4267,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
110.5551,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.4377
111.1102,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.5252
111.8,USER,EYE-TRACKING,DECISION_MAKING,주스,76.21
112.317,USER,EYE-TRACKING,DECISION_MAKING,사과,23.9914
112.7074,USER,EYE-TRACKING,DECISION_MAKING,,74.5063
113.1606,USER,EYE-TRACKING,DECISION_MAKING,감자칩,0.3506
114.1717,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,4.6831
114.6509,USER,EYE-TRACKING,DECISION_MAKING,감자칩,0.3463
115.299,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3527
116.4384,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.5674
117.1028,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3372
117.5428,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3311
117.758,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.5615
118.1433,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3692
119.8205,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.5641
120.1631,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3283
121.2725,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4857
121.2882,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.5147
121.7066,USER,EYE-TRACKING,DECISION_MAKING,,6.9848
122.2213,USER,EYE-TRACKING,DECISION_MAKING,,84.0004
122.6957,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4583
124.2855,USER,EYE-TRACKING,DETECTED_ITEM,CreditCard,0.4491
125.0417,USER,EYE-TRACKING,DETECTED_ITEM,CreditCard,0.3142
125.3926,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3171
126.0636,USER,EYE-TRACKING,DETECTED_ITEM,CreditCard,0.3052
126.4126,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3255
127.3002,USER,EYE-TRACKING,DETECTED_ITEM,CreditCard,0.5101
130.0863,USER,EYE-TRACKING,DETECTED_ITEM,CreditCard,1.1426
130.2231,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.3056
130.6749,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.412
130.6969,USER,EYE-TRACKING,DETECTED_ITEM,CreditCard,0.4518
