AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
203.2456,0.02427941,1.581627,0.03599703,0.1801419,0.07816224,-0.04918723,-0.04918723,False,False,-3.543093,1.230532,2.049236,-0.06090458,-0.3601696,-0.9308895,200.6637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.3513,0.02332672,1.581441,0.03375214,0.1770277,0.07477121,-0.04855495,-0.04855495,True,True,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.4021,0.008993563,1.538072,-0.01765858,0.07224115,0.0307435,-0.02176074,-0.02176074,True,True,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.4344,0.004934765,1.537985,-0.01701285,0.07771467,0.02755449,-0.01938906,-0.01938906,True,True,-3.534652,1.230499,2.046583,0.01107519,-0.4194116,-0.9077243,203.4296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.4652,-0.0001239292,1.539892,-0.01787598,0.07865696,0.02556856,-0.01757574,-0.01757574,True,True,-3.53302,1.231202,2.045783,0.06599037,-0.3527189,-0.9333841,203.4604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.5033,-0.002255726,1.540461,-0.01815342,0.08048298,0.02409266,-0.01783859,-0.01783859,True,True,-3.465089,1.238535,2.041726,-0.1025423,-0.2503772,-0.9626936,203.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.5328,-0.00517903,1.542266,-0.01863018,0.08214388,0.0224411,-0.0176678,-0.0176678,False,False,-3.462273,1.240021,2.04246,-0.1013891,-0.2553515,-0.9615123,203.5282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.5667,-0.007781983,1.543694,-0.01960353,0.08248516,0.02277573,-0.01555922,-0.01555922,False,False,-3.459406,1.241163,2.043049,-0.08343359,-0.2534449,-0.9637433,203.5623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.5955,-0.01030327,1.544665,-0.01963149,0.08368729,0.0244741,-0.01102303,-0.01102303,False,False,-3.458059,1.241578,2.04319,-0.04786899,-0.3359443,-0.9406565,203.5909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.6225,-0.01147264,1.544683,-0.01967061,0.08568077,0.02722896,-0.01125544,-0.01125544,False,False,-3.455812,1.24269,2.043866,-0.01290515,-0.4224374,-0.906294,203.6177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.6516,-0.0130311,1.544789,-0.01964061,0.08973843,0.02923957,-0.01121315,-0.01121315,False,False,-3.454987,1.242802,2.044075,-0.01299132,-0.420732,-0.9070878,203.6471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.6864,-0.01334291,1.54478,-0.01895863,0.09724312,0.03244377,-0.01421788,-0.01421788,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.7184,-0.01352887,1.5433,-0.01832636,0.1041525,0.03898717,-0.01605789,-0.01605789,False,False,-3.517816,1.23584,2.046057,-0.005565913,-0.4584267,-0.8887102,203.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.7471,-0.0132016,1.543005,-0.01827719,0.1105829,0.04455121,-0.01637337,-0.01637337,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.7728,-0.01295405,1.542579,-0.0176244,0.111543,0.04934681,-0.01616512,-0.01616512,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.8,-0.01278218,1.542412,-0.01723248,0.1148599,0.05184745,-0.01486359,-0.01486359,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.8269,-0.01383341,1.541892,-0.01720477,0.1162507,0.05259476,-0.01422942,-0.01422942,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.8538,-0.0146963,1.542016,-0.01696573,0.1156142,0.05072211,-0.01578968,-0.01578968,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.8838,-0.01539542,1.541962,-0.01590005,0.1174697,0.0486729,-0.01600862,-0.01600862,True,True,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.9107,-0.01633537,1.541375,-0.0158017,0.1188439,0.04897041,-0.01461801,-0.01461801,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.9378,-0.01691094,1.541466,-0.01521999,0.1189736,0.04727584,-0.01520725,-0.01520725,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.9644,-0.01706914,1.541782,-0.01447568,0.1170148,0.04673005,-0.01837104,-0.01837104,True,True,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203.9944,-0.01763993,1.542075,-0.01349465,0.1142104,0.04649994,-0.01871048,-0.01871048,True,True,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.0215,-0.01800189,1.542005,-0.01331982,0.1125671,0.04587108,-0.01907451,-0.01907451,True,True,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.0505,-0.01878104,1.54133,-0.01312523,0.1114974,0.04498026,-0.01958678,-0.01958678,True,True,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.0772,-0.01909225,1.541156,-0.01330496,0.1137553,0.04324022,-0.02009487,-0.02009487,True,True,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.1052,-0.01984147,1.541404,-0.01357544,0.1158642,0.04059369,-0.01841251,-0.01841251,True,True,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.132,-0.02042899,1.541797,-0.01331284,0.1147899,0.03615147,-0.01877305,-0.01877305,False,False,-3.449026,1.244816,2.036132,0.1060889,0.1887946,-0.9762582,204.1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.1659,-0.02067921,1.543092,-0.012157,0.1138246,0.03116088,-0.01922921,-0.01922921,False,False,-3.450038,1.245399,2.035321,-0.1933092,-0.05474551,-0.9796013,204.1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.1969,-0.02077507,1.544296,-0.01105053,0.1143943,0.02828837,-0.020441,-0.020441,False,False,-3.448257,1.245459,2.034779,-0.13672,-0.1217204,-0.9830927,204.1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.2318,-0.0208923,1.545315,-0.01093376,0.1120953,0.02473156,-0.02417857,-0.02417857,False,False,-3.450411,1.245501,2.034335,-0.1884643,-0.202692,-0.9609305,204.2271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.2775,-0.02023249,1.54533,-0.01287822,0.1149981,0.02519296,-0.02827955,-0.02827955,False,False,-3.445573,1.247582,2.034805,-0.1466921,-0.2515129,-0.9566568,204.2728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
