AppTime,Actor,Event_Category,Event_Type,Object,Attributes
15.81153,SYSTEM,SCENE,START,Start(),AdminEvent.cs
15.87671,SYSTEM,SCENE,START,Start(),scene_name:IntroEvent.cs
19.4305,ADMIN,ACTION,CLICK,introEvent:btn_trial,-
19.49253,SYSTEM,SCENE,START,Start(),InstructionEvent.cs
54.02493,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:1
66.98211,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:2
77.25448,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:3
113.1939,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:4
133.6553,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:5
140.304,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:6
151.2757,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:7
158.632,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:8
165.6016,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:9
165.6024,ADMIN,SCENE,CLICK,instructionEvent:btn_next,LAST_PAGE:4_MartScene
200.6535,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
219.4291,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.9335
331.735,USER,EYE-TRACKING,DETECTED_ITEM,Chip1,0.3012
452.1414,USER,EYE-TRACKING,DETECTED_ITEM,Chip1,120.0357
