AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
28.15757,-0.07264367,1.517318,0.1432425,-0.04748703,0.01488805,-0.02589495,-0.02589495,False,False,-3.459579,1.216642,1.835661,-0.00113721,-0.04086766,-0.9991631,12.76948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28.30725,-0.07283308,1.517382,0.1431566,-0.04831732,0.01424807,-0.02617334,-0.02617334,False,False,-3.397001,1.202587,1.834417,0.03231731,-0.1930849,-0.9806457,28.30032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28.35122,-0.07123032,1.507116,0.1840926,-0.005956246,0.03123538,0.1165964,0.1165964,False,False,-3.400712,1.202364,1.834659,0.02933395,-0.1715327,-0.984732,28.33243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28.38861,-0.07157504,1.507255,0.1838088,-0.00755789,0.03051684,0.1176327,0.1176327,False,False,-3.431621,1.209257,1.835878,-0.00209906,-0.1618845,-0.9867924,28.38143,-0.1509829,1.673723,0.03054404,0.04170187,-0.6202853,0.6526274,0.05216685,0.05216685,0.1221653,0.6408795,0.2675714,0.03623056,0.3863265,-0.3312888,0.4042394,0.4042394,
28.4232,-0.07244707,1.507551,0.1833452,-0.01006181,0.02853128,0.1205992,0.1205992,False,False,-3.4347,1.210203,1.836238,-0.01986124,-0.1583853,-0.9871609,28.41651,-0.1497468,1.673399,0.03220701,0.05862657,-0.6202772,0.6521956,0.05103415,0.05103415,0.1221624,0.6399379,0.266093,0.0384159,0.3881357,-0.332125,0.4043593,0.4043593,
28.45215,-0.07293814,1.507657,0.183139,-0.01120886,0.02716093,0.1224432,0.1224432,False,False,-3.438161,1.211208,1.836542,-0.00232885,-0.153243,-0.9881801,28.4458,-0.1476518,1.673964,0.03448236,0.07705632,-0.6153269,0.6523837,0.05368919,0.05368919,0.1231375,0.6393065,0.264293,0.05395018,0.3898832,-0.3330246,0.4043474,0.4043474,
28.48593,-0.07326171,1.507714,0.1829525,-0.01197105,0.02649016,0.1234386,0.1234386,False,False,-3.448941,1.213955,1.837071,-0.02840965,-0.1433387,-0.9892572,28.48017,-0.1470456,1.67481,0.03583026,0.05070678,-0.615117,0.6517029,0.05846164,0.05846164,0.1242611,0.6382726,0.2621901,0.06873199,0.3919466,-0.3340972,0.4045784,0.4045784,
28.519,-0.07355233,1.5078,0.1828793,-0.01247872,0.0255523,0.1235163,0.1235163,False,False,-3.433126,1.210434,1.83674,-0.005299725,-0.1546988,-0.9879426,28.51222,-0.1465182,1.674386,0.03641164,0.03220088,-0.6100397,0.6558471,0.06169368,0.06169368,0.1260247,0.637403,0.2600454,0.0831483,0.3940123,-0.3349077,0.405445,0.405445,
28.54698,-0.07358759,1.507776,0.1829955,-0.0124438,0.02503934,0.1228451,0.1228451,False,False,-3.434995,1.211004,1.836819,-0.01006089,-0.1656931,-0.9861226,28.54101,-0.1464112,1.6736,0.03596461,0.02110019,-0.6079517,0.6585357,0.062905,0.062905,0.1280549,0.6368805,0.2581412,0.09309592,0.3961452,-0.3346961,0.4063705,0.4063705,
28.5737,-0.07343198,1.507599,0.1832175,-0.01169895,0.02462002,0.121175,0.121175,False,False,-3.442528,1.212741,1.836991,-0.00333646,-0.1635094,-0.9865252,28.56778,-0.1471615,1.672945,0.03510594,0.03856083,-0.6150684,0.6551089,0.0585645,0.0585645,0.1303944,0.636186,0.2563806,0.1019643,0.3988342,-0.3338112,0.4071778,0.4071778,
