AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
71.75875,-0.09606387,1.493702,-0.0468776,0.07988437,-0.08542299,0.02904377,0.02904377,FALSE,FALSE,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.86808,-0.09555395,1.494024,-0.0467948,0.07915135,-0.08504722,0.02797094,0.02797094,FALSE,FALSE,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.90992,0.006934352,1.509142,-0.07933107,-0.007239929,0.247187,0.01223669,0.01223669,FALSE,FALSE,-3.465505,1.211344,2.08349,-0.823225,-0.1592873,-0.544905,71.8855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.94017,0.01103347,1.508873,-0.08042608,-0.006274059,0.2737591,0.01214899,0.01214899,FALSE,FALSE,-3.485924,1.21157,2.093323,-0.8041802,-0.1232846,-0.5814517,71.93291,-0.1626751,0.6253832,0.01234114,0.2007651,0.3319132,0.2688175,-0.3149015,-0.3149015,0.1745095,0.652562,-0.06410289,0.1895087,0.3510235,-0.02623433,0.1280134,0.1280134
71.96168,0.01516697,1.508591,-0.08158959,-0.005078735,0.2992259,0.01118843,0.01118843,FALSE,FALSE,-3.489988,1.211499,2.094934,-0.8132024,-0.1191954,-0.5696259,71.95605,-0.1595553,0.6249994,0.01392591,0.1983167,0.3288839,0.2737583,-0.3167607,-0.3167607,0.1780408,0.6526264,-0.06978607,0.2107732,0.3548357,-0.01187663,0.1245889,0.1245889
71.98175,0.01717786,1.508436,-0.08224119,-0.00455053,0.3112885,0.01049815,0.01049815,FALSE,FALSE,-3.493125,1.211468,2.096309,-0.8166213,-0.1104334,-0.5664923,71.97599,-0.1561342,0.6247108,0.01541054,0.1990141,0.3263579,0.2778091,-0.3184673,-0.3184673,0.1813459,0.6523439,-0.07367206,0.2215643,0.357655,0.000272958,0.1211356,0.1211356
72.00513,0.01915859,1.508282,-0.08282488,-0.004340442,0.3225858,0.01041305,0.01041305,FALSE,FALSE,-3.494332,1.211279,2.096235,-0.7984128,-0.09154849,-0.595098,71.99855,-0.1525601,0.6243575,0.01681495,0.2028602,0.3243926,0.2821854,-0.3197925,-0.3197925,0.1839781,0.6522573,-0.07720196,0.2213395,0.3596623,0.01147006,0.117558,0.117558
72.02512,0.02112514,1.508164,-0.08348124,-0.004485149,0.3332183,0.01075632,0.01075632,FALSE,FALSE,-3.496787,1.211197,2.097241,-0.8110163,-0.09298237,-0.5775648,72.01945,-0.1486268,0.6238399,0.01794016,0.204256,0.3224475,0.2881952,-0.3207009,-0.3207009,0.1868781,0.6522167,-0.08142221,0.2179921,0.3611951,0.0235798,0.1135671,0.1135671
72.04489,0.02315918,1.508019,-0.08388911,-0.005176672,0.3427809,0.01144393,0.01144393,FALSE,FALSE,-3.500225,1.211141,2.09904,-0.7980729,-0.1142461,-0.591601,72.0389,-0.1454138,0.6233733,0.01873672,0.2044287,0.3212636,0.2938823,-0.3214402,-0.3214402,0.189085,0.6520904,-0.08503115,0.2128486,0.3623647,0.03190755,0.1102496,0.1102496
72.0668,0.02512791,1.5079,-0.08427428,-0.00562667,0.3514225,0.01217261,0.01217261,FALSE,FALSE,-3.501456,1.211002,2.098944,-0.7890646,-0.09816208,-0.6064082,72.06077,-0.1413581,0.6227181,0.01967239,0.2081549,0.3205896,0.3008226,-0.32218,-0.32218,0.1908944,0.6517768,-0.08867133,0.2078711,0.3643953,0.03904857,0.106661,0.106661
