AppTime,Actor,Event_Category,Event_Type,Object,Attributes
67.76443,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
75.05435,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.3831
75.43482,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.3515
77.03178,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,3.9798
84.10963,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,11.4428
85.38657,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,12.2746
89.49523,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,1.4281
94.29848,USER,ACTION,ITEM_ADD,Tomato,Tomato1
94.29958,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
94.30636,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
94.308,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
95.79579,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
98.48804,USER,EYE-TRACKING,DECISION_MAKING,,0.3447
98.83488,USER,EYE-TRACKING,DECISION_MAKING,,0.3077
98.92535,USER,EYE-TRACKING,DECISION_MAKING,,0.4135
100.4947,USER,EYE-TRACKING,DECISION_MAKING,,0.344
100.8243,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,1.2609
102.1617,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3993
102.3369,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,4.7021
103.4312,USER,EYE-TRACKING,DECISION_MAKING,,0.3593
103.6359,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,0.5753
104.0981,USER,EYE-TRACKING,DECISION_MAKING,,0.4419
104.3449,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,3.0591
104.6877,USER,EYE-TRACKING,DECISION_MAKING,,1.0987
105.3992,USER,EYE-TRACKING,DECISION_MAKING,,0.3742
105.4666,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.9108
105.9498,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,0.945
