AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
32.23851,-0.01537559,1.490469,-0.1669993,0.05229348,0.1900795,0.01153048,0.01153048,False,False,-3.507853,1.19838,2.199078,-0.2836304,-0.04131675,-0.9580403,21.28449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32.68301,-0.01518601,1.490454,-0.1668938,0.0524622,0.1891569,0.01079871,0.01079871,False,False,-3.503932,1.197627,2.202388,-0.3574788,-0.2001333,-0.9122196,32.67775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33.08167,0.01322091,1.497542,-0.1815104,-0.01379518,0.1581926,0.01878826,0.01878826,False,False,-3.522549,1.197555,2.208558,-0.3825908,-0.2121763,-0.8992193,33.06348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33.13878,0.01365071,1.497039,-0.1829006,-0.0124119,0.1566909,0.01791936,0.01791936,False,False,-3.532603,1.195902,2.211415,0.01012093,-0.281667,-0.9594488,33.13114,-0.1490574,0.6068374,-0.1051148,0.01008946,0.3671816,0.2201475,-0.2460851,-0.2460851,0.2020445,0.6304958,-0.1696607,0.003222798,0.3696269,-0.1140169,0.3063624,0.3063624,
33.16654,0.00762172,1.489472,-0.1810235,0.02566289,0.1232429,0.01924811,0.01924811,False,False,-3.517009,1.192879,2.206443,0.1838721,-0.3632537,-0.9133527,33.16035,-0.1502644,0.6070927,-0.105075,0.01691494,0.3659269,0.2178442,-0.2456163,-0.2456163,0.2020018,0.6305355,-0.1692295,0.007392884,0.3683585,-0.1140829,0.3071326,0.3071326,
33.19354,0.003965043,1.486339,-0.1796141,0.04022173,0.1003443,0.02093517,0.02093517,False,False,-3.506175,1.190746,2.202872,0.1740012,-0.333577,-0.9265144,33.18508,-0.1507751,0.6073791,-0.1048714,0.02027635,0.364599,0.216239,-0.2456031,-0.2456031,0.2018684,0.6305931,-0.1686006,0.01354406,0.3668237,-0.1144455,0.3081692,0.3081692,
33.21968,0.002042649,1.484695,-0.1790181,0.04634754,0.08813986,0.02226393,0.02226393,False,False,-3.50927,1.189363,2.202907,0.1213982,-0.3397168,-0.9326524,33.2126,-0.1512368,0.6075194,-0.1048908,0.01876474,0.3636715,0.2152764,-0.2459579,-0.2459579,0.2013462,0.6303236,-0.1684599,0.01730109,0.3656147,-0.1151258,0.308366,0.308366,
33.24677,0.0001408877,1.483159,-0.1785115,0.05263487,0.07571607,0.02340282,0.02340282,False,False,-3.508398,1.18765,2.201935,0.1174134,-0.3266929,-0.9377902,33.23961,-0.1548401,0.607104,-0.1076747,0.01929444,0.3617295,0.2160078,-0.2465637,-0.2465637,0.2012245,0.6301351,-0.1680111,0.01885313,0.3651987,-0.1155573,0.307852,0.307852,
33.27592,-0.002884238,1.480653,-0.178106,0.06327073,0.05746423,0.02472877,0.02472877,False,False,-3.508051,1.185733,2.201038,0.1475401,-0.3299723,-0.9323745,33.26857,-0.1563956,0.6072068,-0.1085216,0.02169309,0.3595599,0.21675,-0.2472046,-0.2472046,0.201175,0.6298296,-0.1672326,0.02463401,0.3649998,-0.1156552,0.3073725,0.3073725,
33.30737,-0.004990314,1.478704,-0.1780532,0.07145207,0.04550547,0.0252926,0.0252926,False,False,-3.503968,1.183453,2.199772,0.1124398,-0.3392672,-0.9339317,33.30127,-0.1579468,0.6076206,-0.1092495,0.03101709,0.3565866,0.2171252,-0.2482179,-0.2482179,0.2010634,0.6292927,-0.1661308,0.03892334,0.3647168,-0.1151749,0.3069069,0.3069069,
33.34351,-0.007981667,1.4758,-0.1780057,0.08524095,0.02817898,0.02536113,0.02536113,False,False,-3.463471,1.178186,2.194906,0.1212839,-0.3074037,-0.9438002,33.33654,-0.1606076,0.6078081,-0.1110117,0.05130303,0.3544849,0.2153371,-0.2488423,-0.2488423,0.2008887,0.629135,-0.1640356,0.05796039,0.3639466,-0.1157142,0.3077755,0.3077755,
