AppTime,Actor,Event_Category,Event_Type,Object,Attributes
17.13587,SYSTEM,SCENE,START,Start(),AdminEvent.cs
17.20562,SYSTEM,SCENE,START,Start(),scene_name:IntroEvent.cs
17.97075,ADMIN,ACTION,CLICK,introEvent:btn_trial,-
18.03622,SYSTEM,SCENE,START,Start(),InstructionEvent.cs
18.62676,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:1
18.74584,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:2
18.86738,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:3
18.98942,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:4
19.13469,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:5
19.25461,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:6
19.40023,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:7
19.59763,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:8
20.6133,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:9
20.61386,ADMIN,SCENE,CLICK,instructionEvent:btn_next,LAST_PAGE:4_MartScene
21.276,ADMIN,ACTION,CLICK,introEvent:StartTestMode,TEST_SCART!!
34.14243,USER,EYE-TRACKING,DETECTED_ITEM,Juice1,0.5407
42.37308,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5227
49.50508,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.2632
63.91032,USER,EYE-TRACKING,DETECTED_ITEM,Chip1,0.4682
65.89188,USER,EYE-TRACKING,DETECTED_ITEM,Juice1,1.942
83.00986,USER,ACTION,ITEM_ADD,Chip,Chip1
83.01095,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,감자칩 (이)가 추가되었습니다.
83.0172,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
83.79968,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,1.0326
86.6953,USER,ACTION,ITEM_ADD,Juice,Juice1
86.6959,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,주스 (이)가 추가되었습니다.
86.70158,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
89.80435,USER,ACTION,ITEM_ADD,Apple,Apple1
89.80527,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,사과 (이)가 추가되었습니다.
89.81072,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
93.71138,USER,EYE-TRACKING,DECISION_MAKING,감자칩,0.5551
93.89597,USER,EYE-TRACKING,DECISION_MAKING,사과,37.0975
94.92745,USER,EYE-TRACKING,DECISION_MAKING,주스,0.5314
95.04185,USER,EYE-TRACKING,DECISION_MAKING,,3.3147
96.08015,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
