AppTime,Actor,Event_Category,Event_Type,Object,Attributes
54.54563,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
60.39426,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.3387
60.89305,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4636
61.35278,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,1.3299
66.04457,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,2.3012
70.13702,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,1.2498
74.19634,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.4286
86.11608,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.4294
88.4325,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
88.4336,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
88.4407,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
88.44299,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
89.92252,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
90.9928,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,30.0191
92.40117,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.6672
92.84772,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3561
94.44671,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.3755
95.18162,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.6919
95.86853,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5007
96.59139,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.6648
97.99943,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.4976
99.08553,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.5266
99.79662,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.4651
100.2436,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,1.1173
101.4435,USER,EYE-TRACKING,DECISION_MAKING,,0.4884
106.7922,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.9432
107.8389,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,4.2098
108.6518,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.4049
112.4381,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
113.2588,USER,EYE-TRACKING,DECISION_MAKING,,5.0858
113.8299,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.5603
115.7222,USER,ACTION,ITEM_ADD,Tomato,Tomato1
115.7228,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
115.728,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
115.9885,USER,EYE-TRACKING,DECISION_MAKING,,7.8265
116.4857,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,13.1959
118.4397,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.5002
119.9842,USER,ACTION,ITEM_ADD,Cheese,Cheese2
119.9851,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
119.9914,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
120.4673,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6476
123.823,USER,ACTION,ITEM_ADD,Cheese,Cheese1
123.8237,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
123.8301,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
128.5318,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
128.5325,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
128.5379,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
131.9352,USER,EYE-TRACKING,DECISION_MAKING,,5.9585
132.3226,USER,EYE-TRACKING,DECISION_MAKING,호박,0.3404
132.9889,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.5428
134.7633,USER,ACTION,ITEM_ADD,Baguette,Baguette1
134.7639,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
134.7685,USER,EYE-TRACKING,DECISION_MAKING,,2.8104
134.7703,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
135.7152,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.369
147.3038,USER,ACTION,ITEM_ADD,Coffee,Coffee1
147.3047,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,커피 (이)가 추가되었습니다.
147.3114,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
148.7173,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,19.3549
149.5202,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3656
150.5917,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,1.7495
151.1525,USER,EYE-TRACKING,DECISION_MAKING,커피,0.4239
151.1644,USER,EYE-TRACKING,DECISION_MAKING,빵,2.4352
151.6949,USER,EYE-TRACKING,DECISION_MAKING,커피,0.3561
154.2902,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.6713
155.0438,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.5082
156.0102,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
156.1255,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.7984
157.0114,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
157.1296,USER,ACTION,BTN_TOUCH,btn_home,Screen1(Home_screen):btn_pay()
157.1316,SYSTEM,SCREEN,SCREEN_CHANGE,btnHome,screen2:Screen2()cancel to Screen1(home)
157.2323,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.755
157.6777,USER,EYE-TRACKING,DECISION_MAKING,커피,0.3222
158.961,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
159.6781,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3678
159.9301,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
159.9554,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
160.6801,USER,EYE-TRACKING,DETECTED_ITEM,instruction,0.3022
160.9219,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
163.2046,USER,ACTION,ITEM_REMOVE,Coffee,Coffee1
163.2055,SYSTEM,SYSTEM_MESSAGE,ITEM_REMOVE,screen2_result_message,커피 ( 6000 원 ) (이)가 취소되었습니다.
166.2077,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen2toScreen1After3s,Screen2(cancel) to Screen1(home)
166.2153,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
167.2962,USER,EYE-TRACKING,DECISION_MAKING,,0.5795
167.8073,USER,EYE-TRACKING,DECISION_MAKING,,0.305
167.9838,USER,EYE-TRACKING,DECISION_MAKING,치즈,36.0143
168.4097,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.4139
168.64,USER,EYE-TRACKING,DECISION_MAKING,토마토,35.6373
169.0741,USER,EYE-TRACKING,DECISION_MAKING,호박,0.4225
169.7195,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.4658
171.2076,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.4229
172.1628,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,1.4311
172.84,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6652
173.6048,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.469
174.2961,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.6114
174.6922,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.385
175.7068,USER,EYE-TRACKING,DECISION_MAKING,,1.3658
176.151,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.7785
176.4016,USER,EYE-TRACKING,DECISION_MAKING,빵,1.3772
176.9479,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.4678
177.1662,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
177.4835,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.5116
178.1584,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.3247
178.1659,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
178.5712,USER,EYE-TRACKING,DETECTED_ITEM,btn_home,0.3879
183.4762,USER,ACTION,ITEM_REMOVE,Cabbage,Cabbage1
183.4769,SYSTEM,SYSTEM_MESSAGE,ITEM_REMOVE,screen2_result_message,양배추 ( 8000 원 ) (이)가 취소되었습니다.
185.808,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.6666
186.4761,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen2toScreen1After3s,Screen2(cancel) to Screen1(home)
186.4823,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
188.8478,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
189.2536,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,17.1019
189.8523,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen3After1s(),screen1:Screen1(home) to Screen3(asking_dc)
190.6722,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.5975
191.3605,USER,ACTION,BTN_TOUCH,btn_yes,Screen3:btn_yes()
191.5632,USER,EYE-TRACKING,DETECTED_ITEM,btn_yes,0.8802
192.3673,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen3toScreen4After1s(),Screen3(asking dc) to Screen4(ds)
194.209,USER,EYE-TRACKING,DETECTED_ITEM,btn_G,0.4568
194.3079,USER,EYE-TRACKING,DETECTED_ITEM,btn_J,0.5445
195.1277,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.5316
195.7036,USER,ACTION,BTN_TOUCH,Key_Z,
195.9356,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.5178
196.7012,USER,ACTION,BTN_TOUCH,Key_K,
196.8276,USER,EYE-TRACKING,DETECTED_ITEM,btn_apply,0.6317
197.7278,USER,EYE-TRACKING,DETECTED_ITEM,btn_8,1.6472
197.9448,USER,ACTION,BTN_TOUCH,Key_J,
198.0596,USER,EYE-TRACKING,DETECTED_ITEM,btn_J,0.3192
199.1534,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.5758
200.2609,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.6911
200.5889,USER,ACTION,BTN_TOUCH,Key_5,
200.9119,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.3958
201.1367,USER,EYE-TRACKING,DETECTED_ITEM,btn_6,4.2851
202.1768,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.4512
202.4731,USER,ACTION,BTN_TOUCH,Key_0,
202.7815,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.3474
203.6592,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.3321
204.7084,USER,ACTION,BTN_TOUCH,btn_apply,
204.7093,USER,ACTION,CODE_SUCC,23000,screen4
204.7098,SYSTEM,SYSTEM_MESSAGE,CODE_SUCC,result_message,screen4:할인코드 적용이 완료되었습니다!
204.8674,USER,EYE-TRACKING,DETECTED_ITEM,btn_apply,0.6671
205.7111,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen4toScreen1After1s(),screen4:Screen4(dc) to Screen1(home)
205.7163,SYSTEM,SYSTEM_MESSAGE,SCREEN_UPDATE,result_message,trying to pay
205.7173,SYSTEM,SYSTEM_MESSAGE,SCREEN_UPDATE,result_message,trying to pay
207.2562,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.3362
207.9643,USER,EYE-TRACKING,DECISION_MAKING,,30.4688
208.5637,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,22.0703
209.7342,USER,EYE-TRACKING,DECISION_MAKING,,31.5648
209.8542,USER,EYE-TRACKING,DETECTED_ITEM,ResultMsg,2.5687
210.476,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.3418
210.7782,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,2.2364
211.807,USER,EYE-TRACKING,DETECTED_ITEM,btn_previous,1.0168
211.9823,USER,ACTION,BTN_TOUCH,btn_previous,screen5
211.9832,SYSTEM,SCREEN,SCREEN_CHANGE,screen change,screen5:screen5(pay) to screen1(home)
212.2204,USER,EYE-TRACKING,DECISION_MAKING,,0.4035
214.9979,USER,EYE-TRACKING,DECISION_MAKING,치즈,1.2963
216.2719,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,3.7932
217.3972,USER,EYE-TRACKING,DECISION_MAKING,토마토,1.3654
217.5985,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.6586
217.6334,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,1.3494
218.4522,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,1.2118
218.6421,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,1.6812
219.8971,USER,EYE-TRACKING,DECISION_MAKING,호박,2.2875
220.2416,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.3327
220.7588,USER,EYE-TRACKING,DECISION_MAKING,호박,0.3859
221.9509,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3456
225.3571,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3759
225.9295,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
225.9305,SYSTEM,SYSTEM_MESSAGE,RESULT_MSG,result_message,trying to pay
227.1269,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.3646
227.345,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,1.2336
228.6541,USER,ACTION,PAY,card,discount_yn:Y
228.655,USER,ACTION,END,23000,discount_yn:Y
228.6555,SYSTEM,SYSTEM_MESSAGE,RESULT_MSG,23000,discount_yn:Y
228.9886,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.1164
230.6615,SYSTEM,SCREEN,SCREEN_CHANGE,card:CallEndingScneneAfter5f,(SUCC) End of Game!
