AppTime,Actor,Event_Category,Event_Type,Object,Attributes
52.47975,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
58.51722,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.8267
59.0619,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.4058
59.63913,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.379
60.1711,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.3612
68.96949,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,1.1718
69.18773,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,3.5552
71.24434,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,13.4071
80.71748,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,1.707
84.00441,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,0.8867
90.39776,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.3331
90.45438,USER,EYE-TRACKING,DECISION_MAKING,-,0.812
90.52859,USER,ACTION,ITEM_ADD,Baguette,Baguette1
90.52982,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
90.53686,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
90.53839,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
92.03426,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
94.24636,USER,EYE-TRACKING,DECISION_MAKING,,4.591
94.25925,USER,EYE-TRACKING,DECISION_MAKING,,3.8259
97.39892,USER,EYE-TRACKING,DECISION_MAKING,,0.5854
98.05159,USER,EYE-TRACKING,DECISION_MAKING,,0.4468
98.66851,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,9.0361
98.72224,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,9.1009
99.13024,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,0.395
99.85313,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.4079
99.865,USER,EYE-TRACKING,DECISION_MAKING,,0.7108
100.22,USER,EYE-TRACKING,DECISION_MAKING,,0.3302
100.4206,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.5416
101.7653,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.7021
103.3299,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,1.2663
105.4177,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,2.0637
106.0808,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.385
106.9164,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.6672
108.6946,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,1.5468
109.6826,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,0.975
110.7233,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.9262
110.7734,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,0.998
111.8361,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.6677
112.5495,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,1.3913
114.1668,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,1.3439
114.5354,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
114.6725,USER,EYE-TRACKING,DECISION_MAKING,,14.3965
115.0791,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3937
116.133,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.4039
118.3049,USER,ACTION,ITEM_ADD,Coffee,Coffee1
118.3056,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,커피 (이)가 추가되었습니다.
118.3119,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
122.3045,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
122.3052,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
