AppTime,Actor,Event_Category,Event_Type,Object,Attributes
54.53463,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
61.63926,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.5984
62.50402,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,0.4727
63.54252,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.8557
64.14597,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.366
65.0235,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.4518
65.58204,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.455
75.23304,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,4.3686
81.5032,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.5904
84.39991,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,2.6487
97.06184,USER,ACTION,ITEM_ADD,Coffee,Coffee1
97.0629,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,커피 (이)가 추가되었습니다.
97.0695,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
97.07141,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
97.86401,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,1.0794
98.5622,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
99.37698,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.6902
100.7281,USER,ACTION,ITEM_DUP_ADD,Coffee,Coffee1
102.6535,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.6149
118.556,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,14.9599
119.6564,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3331
120.726,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.6882
121.0653,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
121.1887,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.414
123.6577,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4579
125.213,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.0681
126.7568,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.5346
132.9303,USER,ACTION,ITEM_ADD,Baguette,Baguette1
132.9312,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
132.9375,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
133.3457,USER,EYE-TRACKING,DECISION_MAKING,빵,5.6301
133.7985,USER,EYE-TRACKING,DECISION_MAKING,빵,0.3511
133.8215,USER,EYE-TRACKING,DECISION_MAKING,,6.8949
134.4433,USER,EYE-TRACKING,DECISION_MAKING,커피,0.3294
134.8987,USER,EYE-TRACKING,DECISION_MAKING,커피,0.3062
135.9004,USER,EYE-TRACKING,DECISION_MAKING,,1.4454
136.5089,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.4222
137.3225,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,4.1842
137.3774,USER,EYE-TRACKING,DECISION_MAKING,,2.8733
138.0348,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.5487
138.4307,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.372
139.039,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
139.0425,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
139.8468,USER,EYE-TRACKING,DETECTED_ITEM,instruction,0.4378
143.4087,USER,ACTION,ITEM_REMOVE,Coffee,Coffee1
143.4096,SYSTEM,SYSTEM_MESSAGE,ITEM_REMOVE,screen2_result_message,커피 ( 6000 원 ) (이)가 취소되었습니다.
144.283,USER,EYE-TRACKING,DETECTED_ITEM,result_message,5.1459
145.976,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.3709
146.4176,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen2toScreen1After3s,Screen2(cancel) to Screen1(home)
146.4234,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
147.9505,USER,EYE-TRACKING,DECISION_MAKING,빵,0.5665
148.1413,USER,EYE-TRACKING,DECISION_MAKING,,0.769
151.7115,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
151.7122,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
151.7177,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
151.8304,USER,EYE-TRACKING,DECISION_MAKING,,15.8221
152.4469,USER,EYE-TRACKING,DECISION_MAKING,빵,0.6045
152.8844,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,19.7807
152.9062,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,4.5089
154.6158,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.3007
156.3793,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3301
158.7504,USER,ACTION,ITEM_ADD,Tomato,Tomato1
158.751,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
158.7573,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
158.9673,USER,EYE-TRACKING,DECISION_MAKING,,11.6193
