AppTime,Actor,Event_Category,Event_Type,Object,Attributes
43.53629,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
49.70464,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.3969
51.33131,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.4905
51.93019,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.3291
53.23907,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.5356
54.43455,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.6647
55.03563,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.5371
55.76576,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.6794
56.2817,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.3187
56.90495,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,2.4462
57.76663,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,6.9671
61.81908,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,4.8442
75.3354,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,17.4432
79.27674,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,4.1576
79.7145,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,0.5825
80.01865,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,0.5735
80.64356,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,0.358
82.82093,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,1.3932
90.45795,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,1.7495
99.64569,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,20.2394
100.0228,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.3092
107.5323,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.4377
108.1427,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.4867
110.3966,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
110.3977,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
110.4042,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
110.4058,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
111.4228,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5431
111.8947,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
112.2638,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5791
113.4618,USER,EYE-TRACKING,DECISION_MAKING,,0.4095
115.7773,USER,EYE-TRACKING,DECISION_MAKING,,0.39
119.0399,USER,EYE-TRACKING,DECISION_MAKING,,0.6597
121.0066,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,1.5545
121.4156,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,1.9525
123.4566,USER,EYE-TRACKING,DECISION_MAKING,,0.9597
125.0491,USER,EYE-TRACKING,DECISION_MAKING,,0.5914
126.1227,USER,EYE-TRACKING,DECISION_MAKING,,1.688
127.5996,USER,EYE-TRACKING,DECISION_MAKING,,0.8776
129.6228,USER,EYE-TRACKING,DECISION_MAKING,,0.4767
130.0094,USER,EYE-TRACKING,DECISION_MAKING,,0.3526
130.2116,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,3.1524
130.9357,USER,EYE-TRACKING,DECISION_MAKING,,0.4149
131.2858,USER,EYE-TRACKING,DECISION_MAKING,,1.8398
132.7085,USER,EYE-TRACKING,DECISION_MAKING,,0.3999
132.917,USER,EYE-TRACKING,DECISION_MAKING,,2.5473
134.02,USER,EYE-TRACKING,DECISION_MAKING,,0.908
134.4113,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
135.0541,USER,EYE-TRACKING,DECISION_MAKING,호박,2.557
135.8845,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,1.6909
136.8788,USER,EYE-TRACKING,DECISION_MAKING,호박,0.8034
140.3931,USER,ACTION,ITEM_ADD,Cheese,Cheese2
140.3938,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
140.3992,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
140.7697,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6937
145.936,USER,ACTION,ITEM_ADD,Tomato,Tomato1
145.937,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
145.9438,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
146.3589,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6366
151.1853,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
151.186,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
151.1918,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
154.9889,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,13.9508
157.4617,USER,ACTION,ITEM_ADD,Cheese,Cheese1
157.4624,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
157.4695,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
157.8583,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3032
162.9136,USER,ACTION,ITEM_ADD,Coffee,Coffee1
162.9143,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,커피 (이)가 추가되었습니다.
162.9204,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
163.3822,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.5629
163.5162,USER,EYE-TRACKING,DECISION_MAKING,양배추,27.5771
168.5592,USER,ACTION,ITEM_ADD,Baguette,Baguette1
168.5599,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
168.5659,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
169.3979,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6602
169.8977,USER,EYE-TRACKING,DECISION_MAKING,빵,0.4867
173.7352,USER,EYE-TRACKING,DECISION_MAKING,빵,0.4257
