AppTime,Actor,Event_Category,Event_Type,Object,Attributes
66.7835,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
72.63134,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.3772
74.14417,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.3376
77.25813,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,0.4055
78.33706,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,0.3371
78.81129,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.7954
80.60757,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,8.6967
81.89443,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.7784
90.05909,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,0.9921
92.66368,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,2.4878
95.76154,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,4.0583
100.9166,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
100.9178,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
100.9251,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
100.9272,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
102.4136,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
102.674,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5725
104.8953,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3114
105.0965,USER,EYE-TRACKING,DECISION_MAKING,,0.7443
105.5538,USER,EYE-TRACKING,DECISION_MAKING,,0.4252
106.3429,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.4177
109.5598,USER,EYE-TRACKING,DECISION_MAKING,,2.1738
109.6634,USER,EYE-TRACKING,DECISION_MAKING,,2.2636
111.3059,USER,EYE-TRACKING,DECISION_MAKING,,0.5783
111.3226,USER,EYE-TRACKING,DECISION_MAKING,,0.8228
111.8003,USER,EYE-TRACKING,DECISION_MAKING,,0.4029
115.9595,USER,EYE-TRACKING,DECISION_MAKING,,3.4086
120.2098,USER,EYE-TRACKING,DECISION_MAKING,,0.5355
