AppTime,Actor,Event_Category,Event_Type,Object,Attributes
52.36319,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
58.75094,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,0.4604
59.58847,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.3779
64.97083,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,5.3245
67.85804,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,9.801
69.14117,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,0.393
83.06355,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,13.8335
91.383,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
91.38446,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
91.39147,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
91.39295,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
92.72923,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.9121
92.87724,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
94.43011,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.2653
95.80225,USER,EYE-TRACKING,DECISION_MAKING,,0.3181
96.50478,USER,EYE-TRACKING,DECISION_MAKING,,0.5209
96.61147,USER,EYE-TRACKING,DECISION_MAKING,,1.3997
97.87724,USER,EYE-TRACKING,DECISION_MAKING,,0.5108
99.9006,USER,EYE-TRACKING,DECISION_MAKING,,0.5959
100.3552,USER,EYE-TRACKING,DECISION_MAKING,,0.4438
101.8462,USER,EYE-TRACKING,DECISION_MAKING,,3.444
102.2778,USER,EYE-TRACKING,DECISION_MAKING,,0.4089
105.8653,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,7.9764
108.1072,USER,ACTION,ITEM_ADD,Tomato,Tomato1
108.1078,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
108.1132,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
112.86,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
112.8608,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
112.8666,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
115.3925,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
115.7574,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.4863
116.0941,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3139
