AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
62.86456,0.05650806,1.480562,-0.02366429,-0.09839626,-0.01278639,0.02273098,0.02273098,FALSE,FALSE,-3.583125,1.186074,2.041535,-0.0429027,-0.07230812,-0.9964507,58.78427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.9753,0.0564978,1.480522,-0.02350376,-0.0982475,-0.01246782,0.02267146,0.02267146,FALSE,FALSE,-3.578259,1.185447,2.04343,-0.02152027,-0.06820661,-0.997429,62.96773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.02225,0.06471157,1.479549,-0.02645921,-0.09374,-0.001810095,0.02066937,0.02066937,FALSE,FALSE,-3.565054,1.183824,2.045597,-0.02358929,-0.08029674,-0.9964854,62.99548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.05488,0.06489618,1.479585,-0.02709079,-0.09374271,-0.002529692,0.02093855,0.02093855,FALSE,FALSE,-3.564155,1.183725,2.046113,0.001124267,-0.07087328,-0.9974756,63.04766,-0.1891624,1.308546,0.1293983,0.01430101,-0.5810078,-0.1019127,0.07590521,0.07590521,0.422428,1.261769,0.04884636,0.01174481,-0.5536368,0.3172062,0.1954794,0.1954794
63.08266,0.06479806,1.47951,-0.02764066,-0.09396794,-0.003614938,0.02127336,0.02127336,FALSE,FALSE,-3.564811,1.183769,2.046338,-0.008173592,-0.0650254,-0.9978468,63.07664,-0.189222,1.30876,0.1288687,0.01657144,-0.5809898,-0.1021521,0.07553849,0.07553849,0.4223284,1.262073,0.04912221,0.01121186,-0.5541258,0.3165335,0.1954251,0.1954251
63.11163,0.06482548,1.479633,-0.02810884,-0.09434021,-0.004130171,0.02102018,0.02102018,FALSE,FALSE,-3.567692,1.184109,2.046418,0.006583521,-0.07686283,-0.9970062,63.1047,-0.1890659,1.308854,0.1282845,0.01995789,-0.5814805,-0.101647,0.07573123,0.07573123,0.4221672,1.262188,0.04916084,0.008616989,-0.5543796,0.3159354,0.1955566,0.1955566
63.13636,0.06489921,1.479716,-0.02840833,-0.09468877,-0.004624607,0.02082099,0.02082099,FALSE,FALSE,-3.575974,1.185143,2.045597,-0.005059089,-0.08961079,-0.9959522,63.13026,-0.1887445,1.30891,0.1279713,0.01870532,-0.5817786,-0.1014841,0.07531708,0.07531708,0.4221272,1.262403,0.04931831,0.007491935,-0.5545967,0.3155324,0.1956685,0.1956685
63.16536,0.0650679,1.479631,-0.02901959,-0.09447648,-0.004854095,0.02125225,0.02125225,FALSE,FALSE,-3.573506,1.184846,2.046233,-0.01004538,-0.05817629,-0.9982507,63.15855,-0.1888911,1.309061,0.127557,0.01477065,-0.5814942,-0.1015509,0.07460678,0.07460678,0.4222531,1.262436,0.04939079,0.006368431,-0.5542627,0.3154534,0.1954412,0.1954412
63.18834,0.06508353,1.479678,-0.02935302,-0.09456085,-0.004827347,0.02151773,0.02151773,FALSE,FALSE,-3.567737,1.184175,2.047254,-0.022739,-0.08555933,-0.9960712,63.18242,-0.1888938,1.309253,0.127234,0.0145612,-0.5813432,-0.1012234,0.07473221,0.07473221,0.4222779,1.262548,0.04948521,0.005976414,-0.5544927,0.315341,0.1948064,0.1948064
63.21124,0.0651627,1.4797,-0.02968191,-0.09496107,-0.004828228,0.02144893,0.02144893,FALSE,FALSE,-3.566824,1.184109,2.047704,-0.006976034,-0.06882323,-0.9976001,63.2046,-0.188524,1.309252,0.1269156,0.01788686,-0.581762,-0.1013671,0.07443662,0.07443662,0.4223541,1.262697,0.04942322,0.006107412,-0.5548131,0.3152438,0.1947925,0.1947925
