AppTime,Actor,Event_Category,Event_Type,Object,Attributes
58.77402,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
65.09191,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.9108
79.57675,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,9.8698
87.33141,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,1.353
98.93828,USER,ACTION,ITEM_ADD,Cheese,Cheese2
98.93944,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
98.94568,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
98.9472,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
100.4427,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
101.4873,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.6338
103.0819,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,3.1074
104.1666,USER,EYE-TRACKING,DECISION_MAKING,,0.4747
105.1449,USER,EYE-TRACKING,DECISION_MAKING,,0.3736
105.3543,USER,EYE-TRACKING,DECISION_MAKING,,1.6734
105.3993,USER,EYE-TRACKING,DECISION_MAKING,,0.9094
105.7812,USER,EYE-TRACKING,DECISION_MAKING,,1.4459
105.8222,USER,EYE-TRACKING,DECISION_MAKING,,1.3163
107.5577,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,3.0458
109.1914,USER,EYE-TRACKING,DECISION_MAKING,,0.3002
111.431,USER,EYE-TRACKING,DECISION_MAKING,,0.6647
112.1298,USER,EYE-TRACKING,DECISION_MAKING,,1.8322
113.2738,USER,EYE-TRACKING,DECISION_MAKING,,0.4778
113.6838,USER,EYE-TRACKING,DECISION_MAKING,,1.521
114.0646,USER,EYE-TRACKING,DECISION_MAKING,,0.37
114.1079,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5774
114.6219,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.5022
114.6847,USER,EYE-TRACKING,DECISION_MAKING,,5.8492
115.094,USER,EYE-TRACKING,DECISION_MAKING,,1.5537
116.5719,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.6641
117.4519,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.6912
120.3949,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.9773
121.0458,USER,EYE-TRACKING,DECISION_MAKING,,0.5585
122.6813,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.0879
122.9491,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
123.7154,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.8273
123.7628,USER,EYE-TRACKING,DECISION_MAKING,,14.9054
124.1834,USER,EYE-TRACKING,DECISION_MAKING,치즈,8.3058
124.7894,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.5935
127.1093,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
127.11,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
127.1158,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
128.3337,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.4239
131.6007,USER,ACTION,ITEM_ADD,Baguette,Baguette1
131.6013,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
131.6075,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
134.3425,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3676
135.0106,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4647
136.664,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.379
138.8352,USER,ACTION,ITEM_ADD,Cheese,Cheese1
138.836,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
138.8421,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
142.0694,USER,EYE-TRACKING,DECISION_MAKING,양배추,0.5335
142.3026,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,24.8404
142.9045,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.59
143.6593,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,40.482
144.731,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
144.9453,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,1.5261
144.9676,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,1.2871
145.4506,USER,EYE-TRACKING,DECISION_MAKING,양배추,3.2915
145.7315,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen3After1s(),screen1:Screen1(home) to Screen3(asking_dc)
148.0563,USER,EYE-TRACKING,DETECTED_ITEM,btn_no,1.2542
148.2971,USER,ACTION,BTN_TOUCH,btn_no,Screen3:btn_no()
148.5022,USER,EYE-TRACKING,DETECTED_ITEM,btn_no,0.4231
149.2978,SYSTEM,SYSTEM_MESSAGE,SCREEN_UPDATE,screen1_result_message,trying to pay
149.3017,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen3toScreen1After1s(),Screen3(asking) to Screen1(home)
149.6546,USER,EYE-TRACKING,DECISION_MAKING,,0.3361
150.0934,USER,EYE-TRACKING,DECISION_MAKING,,0.381
150.5203,USER,ACTION,BTN_TOUCH,btn_previous,screen5
150.5212,SYSTEM,SCREEN,SCREEN_CHANGE,screen change,screen5:screen5(pay) to screen1(home)
153.3612,USER,ACTION,ITEM_ADD,Tomato,Tomato1
153.3621,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
153.3682,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
153.8549,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,8.2315
154.3537,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.4874
157.8083,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
157.8116,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
157.939,USER,ACTION,ITEM_DUP_REMOVE,Coffee,Coffee1
157.9397,ADMIN,SYSTEM_MESSAGE,ITEM_DUP_REMOVE,screen2_result_message,커피는 없는 아이템입니다.
158.8718,USER,ACTION,ITEM_DUP_REMOVE,Coffee,Coffee1
158.8724,ADMIN,SYSTEM_MESSAGE,ITEM_DUP_REMOVE,screen2_result_message,커피는 없는 아이템입니다.
158.8976,USER,EYE-TRACKING,DETECTED_ITEM,btn_home,0.4329
159.7631,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.8345
160.0768,USER,EYE-TRACKING,DETECTED_ITEM,instruction,0.3016
161.8863,USER,EYE-TRACKING,DETECTED_ITEM,btn_home,0.447
162.4581,USER,ACTION,BTN_TOUCH,btn_home,Screen1(Home_screen):btn_pay()
162.46,SYSTEM,SCREEN,SCREEN_CHANGE,btnHome,screen2:Screen2()cancel to Screen1(home)
167.309,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
167.3096,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
167.3155,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
170.4657,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
