AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
88.75234,-0.01685541,1.599754,0.4216034,0.2997899,-0.01212185,-0.0453021,-0.0453021,FALSE,FALSE,-3.566782,1.293188,1.601499,0.318995,-0.7788207,-0.5400633,88.74556,-0.1825826,1.275242,0.466616,1.060518,-0.4284416,0.06987275,0.116024,0.116024,0.3216363,1.493536,0.7092342,2.582292,-0.4536869,-0.02371528,-0.02910884,-0.02910884
88.77647,-0.03867398,1.601154,0.4224886,0.2990739,-0.03576776,-0.03728844,-0.03728844,FALSE,FALSE,-3.543813,1.294351,1.599647,0.3102014,-0.7808086,-0.5423021,88.77047,-0.2071818,1.27454,0.4615855,1.049535,-0.435501,0.04587879,0.104601,0.104601,0.267231,1.493483,0.7312858,2.495697,-0.4386456,-0.06753335,-0.05484843,-0.05484843
88.80435,-0.05921181,1.602289,0.4240653,0.2984798,-0.05571421,-0.029083,-0.029083,FALSE,FALSE,-3.518133,1.295869,1.596655,0.2209326,-0.7742215,-0.5930948,88.79795,-0.2316011,1.272388,0.4575365,1.019046,-0.4362354,0.01868713,0.09307947,0.09307947,0.2128263,1.488051,0.7548878,2.447654,-0.4149337,-0.1093827,-0.07556369,-0.07556369
88.83221,-0.08772238,1.60329,0.4278395,0.2984404,-0.08009449,-0.01434618,-0.01434618,FALSE,FALSE,-3.486378,1.297913,1.593463,0.2114048,-0.7570402,-0.6182151,88.82561,-0.258863,1.268172,0.4540135,0.9654564,-0.4307331,-0.01818151,0.08091835,0.08091835,0.1491737,1.47565,0.7830131,2.402193,-0.382677,-0.1533006,-0.09065338,-0.09065338
88.85824,-0.1053777,1.603287,0.4318059,0.3008214,-0.09358897,-0.002837398,-0.002837398,FALSE,FALSE,-3.455316,1.299466,1.590318,0.230247,-0.7529086,-0.6165094,88.85182,-0.2817792,1.264504,0.450693,0.917147,-0.4267419,-0.05214503,0.07494501,0.07494501,0.09517157,1.460987,0.8080328,2.36487,-0.3540322,-0.1860969,-0.0967045,-0.0967045
88.88513,-0.1217721,1.60348,0.4363818,0.3032171,-0.1053498,0.007228457,0.007228457,FALSE,FALSE,-3.398854,1.303056,1.591074,0.2521507,-0.761873,-0.596622,88.87863,-0.3018832,1.260391,0.4474175,0.8373608,-0.4242996,-0.08542855,0.07181813,0.07181813,0.04394555,1.44106,0.8333399,2.32285,-0.3175001,-0.2127469,-0.1022596,-0.1022596
88.92116,-0.1677643,1.601692,0.4536326,0.3054153,-0.1343833,0.03065645,0.03065645,FALSE,FALSE,-3.364216,1.303516,1.586988,0.2403822,-0.773524,-0.5864061,88.9153,-0.3228152,1.254327,0.4445382,0.6899978,-0.4189304,-0.1226473,0.06916239,0.06916239,-0.02163112,1.404194,0.8693821,2.264217,-0.255763,-0.236016,-0.1035269,-0.1035269
88.94827,-0.1804067,1.599612,0.4615771,0.3047226,-0.1402241,0.03679609,0.03679609,FALSE,FALSE,-3.361252,1.301944,1.577743,0.2776897,-0.7790938,-0.5620351,88.94186,-0.3352056,1.250672,0.4421103,0.5767027,-0.4194557,-0.1429323,0.0650023,0.0650023,-0.06550479,1.375186,0.8935416,2.221822,-0.2153563,-0.248816,-0.09306554,-0.09306554
88.98017,-0.1920075,1.596993,0.4700968,0.3054151,-0.1454834,0.04259976,0.04259976,FALSE,FALSE,-3.33631,1.300592,1.570141,0.2843894,-0.7791324,-0.5586129,88.97342,-0.3477242,1.245914,0.440026,0.5058185,-0.4197487,-0.1618906,0.06166786,0.06166786,-0.1081196,1.342189,0.9161172,2.182569,-0.1804669,-0.2694073,-0.0622628,-0.0622628
89.01608,-0.2128471,1.589347,0.4903125,0.3077016,-0.1541116,0.05404762,0.05404762,FALSE,FALSE,-3.324532,1.297035,1.555352,0.2544658,-0.7899709,-0.5578408,89.00988,-0.3600705,1.237285,0.4399872,0.4396527,-0.4154747,-0.1822209,0.05866339,0.05866339,-0.1591443,1.297312,0.9447351,2.073818,-0.1337334,-0.2918267,-0.03548469,-0.03548469
89.05768,-0.2312007,1.57962,0.5148513,0.3106529,-0.1614745,0.06399779,0.06399779,FALSE,FALSE,-3.296694,1.291444,1.540193,0.2581616,-0.7951084,-0.5487548,89.05141,-0.3732249,1.225753,0.4414136,0.3996482,-0.407547,-0.2028916,0.04542131,0.04542131,-0.207028,1.241525,0.9813375,1.889124,-0.07146036,-0.2889985,-0.04964691,-0.04964691
89.08353,-0.2396876,1.574306,0.5292536,0.3094233,-0.1661549,0.06875342,0.06875342,FALSE,FALSE,-3.285385,1.286997,1.527645,0.2395829,-0.79509,-0.5571427,89.07735,-0.382616,1.218107,0.4423213,0.40076,-0.4008279,-0.2191652,0.03703441,0.03703441,-0.2361532,1.20332,1.003509,1.820522,-0.04129045,-0.2956245,-0.02961809,-0.02961809
