AppTime,Actor,Event_Category,Event_Type,Object,Attributes
88.75118,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,10.9648
101.3271,USER,EYE-TRACKING,DECISION_MAKING,-,0.3172
104.0287,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
104.03,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
104.0376,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
104.0395,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
105.1589,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,25.6249
105.5323,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
115.5212,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,9.3332
125.8598,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,9.487
128.0406,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
129.2607,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3507
134.484,USER,ACTION,ITEM_ADD,Baguette,Baguette1
134.4848,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
134.4904,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
134.9582,USER,EYE-TRACKING,DECISION_MAKING,,33.9611
134.97,USER,EYE-TRACKING,DECISION_MAKING,,33.4065
135.0129,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
135.0157,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
135.1802,USER,ACTION,BTN_TOUCH,btn_home,Screen1(Home_screen):btn_pay()
135.1826,SYSTEM,SCREEN,SCREEN_CHANGE,btnHome,screen2:Screen2()cancel to Screen1(home)
135.8322,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.3262
136.2992,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3003
136.4621,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,35.609
138.9702,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
138.9708,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
138.9776,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
140.5594,USER,EYE-TRACKING,DECISION_MAKING,,5.0742
140.9184,USER,EYE-TRACKING,DECISION_MAKING,,0.4599
140.9414,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,6.022
