AppTime,Actor,Event_Category,Event_Type,Object,Attributes
58.37111,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
65.02008,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.4633
66.96865,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.6712
67.45187,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,2.8635
68.13457,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,2.6711
70.49258,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4354
79.65502,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,0.3112
80.87289,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.57
90.28327,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,7.5207
90.64511,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,0.3401
91.15794,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,0.3122
93.64558,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,1.4818
97.24886,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,3.5792
105.3153,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,7.9798
105.8248,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.5177
109.7378,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,2.0553
111.3811,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.237
111.9033,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4115
112.497,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5038
114.7824,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.7012
116.0054,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.9329
124.5361,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5016
125.2693,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.3381
132.682,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,8.0155
136.6536,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4479
137.367,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4719
138.6939,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5322
140.3097,USER,EYE-TRACKING,DETECTED_ITEM,CreditCard,0.415
145.7704,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.378
147.711,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,71.9736
148.2895,USER,EYE-TRACKING,DECISION_MAKING,-,0.4077
152.8716,USER,ACTION,ITEM_ADD,Baguette,Baguette1
152.8732,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
152.8799,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
152.8814,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
154.372,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
154.4226,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5595
162.628,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3176
165.6489,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4275
175.616,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3531
176.478,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3012
176.8782,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
177.455,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.8253
179.5006,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,30.9667
179.6324,USER,EYE-TRACKING,DECISION_MAKING,,31.1202
179.7391,USER,EYE-TRACKING,DECISION_MAKING,,91.9994
179.751,USER,EYE-TRACKING,DECISION_MAKING,,26.3882
180.0721,USER,EYE-TRACKING,DECISION_MAKING,빵,0.3102
180.4273,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.3421
183.2032,USER,EYE-TRACKING,DECISION_MAKING,빵,2.7664
186.2942,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
186.295,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
186.3007,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
186.5135,USER,EYE-TRACKING,DECISION_MAKING,,38.0137
187.1854,USER,EYE-TRACKING,DECISION_MAKING,빵,0.5264
188.0139,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,1.5244
194.8949,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,6.7144
195.4536,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,0.3401
195.7563,USER,ACTION,ITEM_ADD,Cheese,Cheese1
195.7573,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
195.7636,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
196.4545,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,0.6109
199.9209,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,3.4555
200.336,USER,ACTION,ITEM_ADD,Tomato,Tomato1
200.3369,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
200.343,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
200.8843,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.8418
206.3817,USER,EYE-TRACKING,DECISION_MAKING,,4.4937
206.5668,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
206.5676,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
206.574,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
206.6947,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.3456
207.2392,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.5216
209.8222,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,6.3764
211.1576,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,3.5524
211.5018,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3332
211.5466,USER,EYE-TRACKING,DECISION_MAKING,호박,1.0774
211.9837,USER,EYE-TRACKING,DECISION_MAKING,치즈,1.5821
212.3067,USER,EYE-TRACKING,DECISION_MAKING,빵,0.3113
213.0671,USER,EYE-TRACKING,DECISION_MAKING,호박,0.4412
213.6387,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.5256
214.2908,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6404
214.6383,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3232
216.1406,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
216.6807,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,2.0308
216.9872,USER,EYE-TRACKING,DECISION_MAKING,,5.4744
