AppTime,Actor,Event_Category,Event_Type,Object,Attributes
71.42093,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
79.3265,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.5106
79.97461,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.6223
80.81026,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.7975
88.82108,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,1.285
95.83885,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.36
96.94921,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.4698
100.5307,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,1.122
103.1425,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,0.3101
103.734,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,0.3331
106.6985,USER,ACTION,ITEM_ADD,Cheese,Cheese1
106.6996,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
106.706,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
106.7076,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
108.195,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
109.2749,USER,EYE-TRACKING,DECISION_MAKING,,2.3171
110.9272,USER,EYE-TRACKING,DECISION_MAKING,,0.6419
111.4078,USER,EYE-TRACKING,DECISION_MAKING,,0.4678
114.239,USER,EYE-TRACKING,DECISION_MAKING,,0.6465
118.8368,USER,EYE-TRACKING,DECISION_MAKING,,4.0442
119.9467,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.6883
122.4788,USER,ACTION,ITEM_ADD,Coffee,Coffee1
122.4794,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,커피 (이)가 추가되었습니다.
122.4849,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
126.0166,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
126.0172,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
126.0238,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
130.0853,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
130.0859,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
130.0919,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
130.7081,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
132.6428,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,11.5135
136.2458,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
136.2486,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
136.2614,USER,ACTION,ITEM_DUP_REMOVE,Baguette,Baguette1
136.2624,ADMIN,SYSTEM_MESSAGE,ITEM_DUP_REMOVE,screen2_result_message,빵는 없는 아이템입니다.
136.6824,USER,ACTION,BTN_TOUCH,btn_home,Screen1(Home_screen):btn_pay()
136.6844,SYSTEM,SCREEN,SCREEN_CHANGE,btnHome,screen2:Screen2()cancel to Screen1(home)
138.0726,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.5346
139.179,USER,ACTION,ITEM_ADD,Baguette,Baguette1
139.1798,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
139.1857,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
