AppTime,Actor,Event_Category,Event_Type,Object,Attributes
73.6385,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
78.87962,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,0.401
79.14896,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,0.7018
81.8449,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,2.6202
82.34009,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,0.3655
84.64979,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,2.0101
84.68387,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.5166
86.62175,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,1.1817
86.86936,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,1.8487
87.28118,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.3263
94.41223,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,6.5994
94.4632,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,6.5715
95.84515,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,1.171
96.49162,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,1.8323
99.39954,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.3281
104.9211,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,5.1588
130.2218,USER,ACTION,ITEM_ADD,Baguette,Baguette1
130.2234,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
130.2302,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
130.2317,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
130.7031,USER,EYE-TRACKING,DECISION_MAKING,,0.5551
131.713,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
131.9613,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,51.2353
132.5263,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.6421
133.2054,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.6661
134.4192,USER,EYE-TRACKING,DECISION_MAKING,,0.3377
135.203,USER,EYE-TRACKING,DECISION_MAKING,,0.5994
135.9473,USER,EYE-TRACKING,DECISION_MAKING,,0.5294
137.0906,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.6806
139.6796,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,2.5559
139.8619,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.8146
144.4775,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.9657
145.053,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3993
145.2137,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,8.9753
146.325,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6544
147.6353,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.7021
148.1318,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.4237
154.2307,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
155.6319,USER,ACTION,ITEM_ADD,Cheese,Cheese2
155.6325,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
155.6379,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
158.4679,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,11.2806
159.3148,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4753
161.5135,USER,ACTION,ITEM_ADD,Coffee,Coffee1
161.5141,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,커피 (이)가 추가되었습니다.
161.5194,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
162.711,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,4.2102
163.1012,USER,EYE-TRACKING,DECISION_MAKING,,26.9844
163.1919,USER,EYE-TRACKING,DECISION_MAKING,,26.9634
164.8672,USER,EYE-TRACKING,DECISION_MAKING,,1.1447
167.8861,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,4.1384
167.9089,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,2.7204
168.1366,USER,ACTION,ITEM_ADD,Cheese,Cheese1
168.1374,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
168.1438,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
168.5853,USER,EYE-TRACKING,DECISION_MAKING,커피,3.5105
168.9643,USER,EYE-TRACKING,DECISION_MAKING,,0.39
169.1978,USER,EYE-TRACKING,DECISION_MAKING,치즈,38.5055
173.264,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
173.2647,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
173.2707,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
177.8354,USER,ACTION,ITEM_ADD,Tomato,Tomato1
177.836,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
177.8416,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
178.2855,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6597
182.8452,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
182.8461,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
182.8533,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
183.2674,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.9779
187.5133,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3341
188.2094,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,4.7196
188.587,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,0.3546
190.2571,USER,EYE-TRACKING,DECISION_MAKING,토마토,21.0043
190.3569,USER,EYE-TRACKING,DECISION_MAKING,호박,1.3548
191.1757,USER,EYE-TRACKING,DECISION_MAKING,치즈,21.9342
191.8342,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.3235
192.0886,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.7783
193.4657,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.3227
193.8277,USER,EYE-TRACKING,DECISION_MAKING,커피,0.3511
193.9502,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,1.8508
194.1977,USER,EYE-TRACKING,DECISION_MAKING,빵,0.6642
195.031,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.7435
195.0981,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,4.719
195.154,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,5.3248
196.3411,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3677
197.3155,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
197.3182,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
198.2637,USER,EYE-TRACKING,DETECTED_ITEM,instruction,0.4902
204.0587,USER,EYE-TRACKING,DETECTED_ITEM,result_message,5.7512
204.8167,USER,EYE-TRACKING,DETECTED_ITEM,instruction,0.3222
205.177,USER,ACTION,ITEM_REMOVE,Baguette,Baguette1
205.1776,SYSTEM,SYSTEM_MESSAGE,ITEM_REMOVE,screen2_result_message,빵 ( 10000 원 ) (이)가 취소되었습니다.
205.4927,USER,EYE-TRACKING,DETECTED_ITEM,instruction,0.6541
208.1704,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen2toScreen1After3s,Screen2(cancel) to Screen1(home)
208.1771,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
208.178,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.8763
209.7327,USER,EYE-TRACKING,DECISION_MAKING,호박,0.3451
209.8586,USER,EYE-TRACKING,DECISION_MAKING,,0.4797
209.8925,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.8915
211.1863,USER,EYE-TRACKING,DECISION_MAKING,토마토,2.118
220.2623,USER,ACTION,ITEM_DUP_ADD,Coffee,Coffee1
220.8642,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.4578
221.3378,USER,EYE-TRACKING,DECISION_MAKING,,0.4419
222.8777,USER,ACTION,ITEM_DUP_ADD,Coffee,Coffee1
225.4535,USER,ACTION,BTN_TOUCH,btn_uncheck,Screen1(Home_screen):btn_uncheck()
225.4551,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen2After1s(),screen1:Screen1(home) to Screen2(cancel)
227.2091,USER,ACTION,ITEM_REMOVE,Coffee,Coffee1
227.2097,SYSTEM,SYSTEM_MESSAGE,ITEM_REMOVE,screen2_result_message,커피 ( 6000 원 ) (이)가 취소되었습니다.
228.1811,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.6228
230.2037,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen2toScreen1After3s,Screen2(cancel) to Screen1(home)
230.2102,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
232.5614,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.4279
233.367,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.4001
234.1543,USER,EYE-TRACKING,DECISION_MAKING,호박,1.5817
234.9924,USER,EYE-TRACKING,DECISION_MAKING,,1.4258
238.9516,USER,ACTION,ITEM_ADD,Baguette,Baguette1
238.9522,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
238.9593,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
239.5802,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.8381
243.0505,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.39
243.4646,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,0.402
243.9459,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
244.7405,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,1.2634
244.9513,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen3After1s(),screen1:Screen1(home) to Screen3(asking_dc)
246.5583,USER,ACTION,BTN_TOUCH,btn_yes,Screen3:btn_yes()
247.0082,USER,EYE-TRACKING,DETECTED_ITEM,btn_yes,0.7559
247.1056,USER,EYE-TRACKING,DETECTED_ITEM,btn_no,1.1137
247.5622,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen3toScreen4After1s(),Screen3(asking dc) to Screen4(ds)
249.1403,USER,EYE-TRACKING,DETECTED_BUTTON,btn_G,0.6243
249.3626,USER,EYE-TRACKING,DETECTED_BUTTON,btn_V,1.7489
250.4469,USER,EYE-TRACKING,DETECTED_BUTTON,btn_G,0.378
