AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
47.9831,-0.005950442,1.553023,0.1175192,-0.03527598,-0.0407115,0.006169103,0.006169103,FALSE,FALSE,-3.517008,1.255342,1.903509,0.05102932,-0.0687501,-0.996318,43.87031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.11367,-0.006053604,1.553007,0.1176013,-0.03541846,-0.04074936,0.006388281,0.006388281,FALSE,FALSE,-3.502586,1.255236,1.905225,0.07102228,-0.0474458,-0.9963388,48.10591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.16553,0.007148164,1.554583,0.1160201,-0.04125662,-0.03199631,-0.0035119,-0.0035119,FALSE,FALSE,-3.530607,1.255947,1.901878,0.02741707,-0.06853221,-0.9972572,48.1477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.21924,0.007220727,1.554578,0.1159563,-0.04117599,-0.03184421,-0.003482381,-0.003482381,FALSE,FALSE,-3.522126,1.255749,1.902743,0.02477889,-0.0652784,-0.9975555,48.21145,-0.1973952,0.6611257,0.1250231,0.01460925,0.4314398,0.117042,-0.1791076,-0.1791076,0.1734421,0.6711467,0.2125214,0.007367143,0.3929463,-0.1977046,0.2923518,0.2923518
48.25621,0.007282879,1.554566,0.1162602,-0.04056483,-0.03189819,-0.003474818,-0.003474818,FALSE,FALSE,-3.520124,1.255732,1.902813,0.03031645,-0.08398129,-0.9959955,48.24921,-0.198168,0.6609314,0.1247613,0.01578172,0.431872,0.1167972,-0.1789306,-0.1789306,0.1733518,0.6709856,0.2126703,0.003871997,0.3932299,-0.1978739,0.2919884,0.2919884
48.29995,0.007606763,1.554627,0.1166654,-0.04074919,-0.03204493,-0.003590359,-0.003590359,FALSE,FALSE,-3.517383,1.255714,1.902903,0.03440095,-0.07549141,-0.9965402,48.29293,-0.1971239,0.6609995,0.1254619,0.009075092,0.4316439,0.117504,-0.1794685,-0.1794685,0.1734377,0.6709759,0.2128615,0.003984087,0.393371,-0.1978907,0.2915488,0.2915488
48.33574,0.007883396,1.55462,0.1169334,-0.04065174,-0.03199603,-0.003666285,-0.003666285,FALSE,FALSE,-3.516643,1.255694,1.902879,0.02720245,-0.07939714,-0.9964629,48.32907,-0.1954236,0.6613041,0.1266992,0.002808386,0.4311871,0.1180489,-0.1800883,-0.1800883,0.1731509,0.6707932,0.2125643,0.002331475,0.3930911,-0.1975961,0.2920395,0.2920395
48.37168,0.008231927,1.554661,0.1170897,-0.04061357,-0.03161624,-0.003764394,-0.003764394,FALSE,FALSE,-3.531193,1.255898,1.901374,0.02879536,-0.08605972,-0.9958706,48.36541,-0.1946629,0.6614414,0.1270801,0.001115965,0.4314419,0.1179682,-0.1799964,-0.1799964,0.1736285,0.6706908,0.2126542,0.005978098,0.3934788,-0.1972002,0.2917066,0.2917066
48.4118,0.008773004,1.554634,0.117375,-0.04058333,-0.03108989,-0.003861452,-0.003861452,FALSE,FALSE,-3.534482,1.255098,1.900748,0.1880563,-0.3405705,-0.9212126,48.40474,-0.1934904,0.6614917,0.1276984,0.002466705,0.43202,0.1178874,-0.1801107,-0.1801107,0.1738949,0.6710541,0.2127253,0.005168761,0.3933012,-0.1975552,0.2917941,0.2917941
48.44857,0.009388945,1.554398,0.1178856,-0.04053623,-0.03058676,-0.004189599,-0.004189599,FALSE,FALSE,-3.509969,1.254476,1.903375,0.2081898,-0.3345022,-0.9190914,48.44184,-0.1931416,0.6615465,0.1282909,0.00618495,0.4321181,0.1178763,-0.179609,-0.179609,0.1743619,0.6709478,0.2130392,0.007725582,0.3934175,-0.1975926,0.2914581,0.2914581
