AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
66.47684,0.257989,1.589278,-0.1233664,-0.06141251,-0.06048197,-0.07320448,-0.07320448,FALSE,FALSE,-3.703119,1.300536,2.140221,-0.08883382,-0.2184747,-0.9717859,62.28643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.60883,0.2579032,1.589236,-0.123461,-0.06134176,-0.06043632,-0.07322813,-0.07322813,FALSE,FALSE,-3.680869,1.303207,2.140646,-0.05838485,-0.1903455,-0.9799619,66.60284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.67559,0.1791632,1.602631,-0.1103059,-0.04161737,0.02195022,-0.03507016,-0.03507016,FALSE,FALSE,-3.682318,1.302117,2.140927,-0.06773488,-0.2131842,-0.9746532,66.65038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.72809,0.1799452,1.60231,-0.1105256,-0.04040914,0.02174511,-0.03555068,-0.03555068,FALSE,FALSE,-3.711242,1.299274,2.141096,-0.07538592,-0.176573,-0.9813894,66.71997,-0.06187868,0.6325278,-0.1396251,0.05319845,0.364824,0.4997655,-0.5524513,-0.5524513,0.3470061,0.6555984,-0.06728411,0.01077864,0.3714434,-0.4891235,0.4135586,0.4135586
66.76279,0.1807258,1.602402,-0.1109842,-0.04085763,0.02262896,-0.03605941,-0.03605941,FALSE,FALSE,-3.710923,1.299237,2.141304,-0.072126,-0.1940828,-0.9783235,66.75609,-0.06146812,0.6329567,-0.1418225,0.05631184,0.3668702,0.5007447,-0.5482329,-0.5482329,0.3470261,0.655835,-0.06707406,0.005048984,0.3715363,-0.488246,0.4130759,0.4130759
66.79826,0.1812465,1.602468,-0.1113343,-0.04141697,0.02255056,-0.03680235,-0.03680235,FALSE,FALSE,-3.694719,1.300938,2.141546,-0.04806221,-0.1802826,-0.9824319,66.79176,-0.06149399,0.6326723,-0.1451808,0.07079803,0.3702829,0.5036742,-0.5434776,-0.5434776,0.3473973,0.6554788,-0.06673646,0.00794611,0.3711656,-0.4873397,0.4128692,0.4128692
66.83393,0.1813903,1.602332,-0.1115279,-0.04142756,0.02239908,-0.03704867,-0.03704867,FALSE,FALSE,-3.691328,1.301233,2.141766,-0.07677849,-0.1616557,-0.9838435,66.82777,-0.06143415,0.6322972,-0.1483748,0.0785785,0.370358,0.5081443,-0.5429586,-0.5429586,0.3475602,0.6553794,-0.06661451,0.007328552,0.370661,-0.486761,0.413421,0.413421
66.86884,0.181759,1.602335,-0.1115135,-0.0413506,0.0222482,-0.03750358,-0.03750358,FALSE,FALSE,-3.683512,1.302089,2.141816,-0.0770428,-0.167366,-0.9828781,66.86196,-0.06171727,0.6314834,-0.1509652,0.07328005,0.369692,0.5123794,-0.5437777,-0.5437777,0.3476518,0.6551284,-0.06649947,0.008281356,0.3710662,-0.48616,0.4136202,0.4136202
66.90626,0.1818785,1.602374,-0.1116394,-0.04120096,0.0222331,-0.03841354,-0.03841354,FALSE,FALSE,-3.689008,1.301489,2.141915,-0.06652026,-0.1684303,-0.9834626,66.89928,-0.06235206,0.631487,-0.1532192,0.05295911,0.3710719,0.5140005,-0.5430583,-0.5430583,0.347714,0.6548944,-0.06679654,0.01043255,0.3712311,-0.4861906,0.4140172,0.4140172
66.94433,0.1821536,1.602343,-0.1116642,-0.0410511,0.02245796,-0.03881148,-0.03881148,FALSE,FALSE,-3.701744,1.300057,2.142005,-0.08769969,-0.1594441,-0.9832957,66.93743,-0.06147039,0.6318461,-0.153663,0.03523351,0.3759251,0.5126026,-0.5401059,-0.5401059,0.3475207,0.6547737,-0.06733525,0.01591322,0.3712857,-0.4869367,0.4138664,0.4138664
66.98293,0.1823159,1.602226,-0.1117375,-0.04088891,0.02300875,-0.03920558,-0.03920558,FALSE,FALSE,-3.699162,1.300251,2.142087,-0.06434751,-0.1877064,-0.9801114,66.97598,-0.06208003,0.6314629,-0.1548064,0.02276627,0.3783247,0.5128124,-0.5389633,-0.5389633,0.3469159,0.6545137,-0.06806242,0.02288116,0.3718523,-0.487447,0.4133147,0.4133147
67.0227,0.1823824,1.602349,-0.1115202,-0.04086478,0.02338511,-0.03933176,-0.03933176,FALSE,FALSE,-3.679075,1.302539,2.141818,-0.07272582,-0.1507673,-0.9858833,67.016,-0.06347191,0.631039,-0.1564194,0.01532731,0.375406,0.5156614,-0.5410221,-0.5410221,0.346112,0.6543299,-0.06872201,0.0266473,0.3717501,-0.4883441,0.4125502,0.4125502
67.05862,0.182295,1.602192,-0.1111952,-0.03975395,0.02330402,-0.03918953,-0.03918953,FALSE,FALSE,-3.678484,1.302559,2.141685,-0.08283918,-0.1454654,-0.9858744,67.05188,-0.06468582,0.6308677,-0.1574899,0.005979576,0.3716476,0.5170957,-0.5433782,-0.5433782,0.3450966,0.6544631,-0.06925356,0.02788327,0.3708303,-0.4896759,0.4119976,0.4119976
67.09496,0.1820581,1.601966,-0.1105615,-0.0385884,0.02281938,-0.03902787,-0.03902787,FALSE,FALSE,-3.713221,1.298561,2.141603,-0.08869403,-0.1600412,-0.9831156,67.08826,-0.06524956,0.6309625,-0.157637,0.01288148,0.3708661,0.5154833,-0.5439863,-0.5439863,0.3444759,0.6543467,-0.06946278,0.02302231,0.3707013,-0.4902831,0.4117054,0.4117054
67.12685,0.1814537,1.601247,-0.1097746,-0.03459254,0.02129278,-0.03867481,-0.03867481,FALSE,FALSE,-3.713341,1.298215,2.14071,-0.1096773,-0.1038505,-0.9885237,67.12124,-0.06580019,0.6308663,-0.157729,0.01163267,0.3708974,0.5143439,-0.5446833,-0.5446833,0.3436756,0.6541672,-0.06961012,0.02096665,0.370482,-0.4905833,0.4117909,0.4117909
