AppTime,Actor,Event_Category,Event_Type,Object,Attributes
62.27607,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
68.77913,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,1.0651
70.741,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.3646
71.43748,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,0.5391
72.0312,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,1.2172
72.78861,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,0.3884
75.34348,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,1.9141
76.33961,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,0.6173
79.92381,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.6897
84.6535,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,15.8407
87.66131,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,18.2807
91.74118,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,0.7064
96.20367,USER,ACTION,ITEM_ADD,Baguette,Baguette1
96.20519,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
96.21204,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
96.21352,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
97.71001,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
98.58603,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4697
101.8256,USER,EYE-TRACKING,DECISION_MAKING,,8.2314
102.0906,USER,ACTION,ITEM_ADD,Cheese,Cheese2
102.0915,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
102.0975,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
104.6678,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,3.0208
106.5529,USER,ACTION,ITEM_ADD,Cheese,Cheese1
106.5537,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
106.5599,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
106.6246,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,4.6656
106.7363,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,2.1962
112.2901,USER,ACTION,ITEM_ADD,Pumpkin,Pumpkin1
112.2908,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,호박 (이)가 추가되었습니다.
112.2972,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
115.9263,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
115.9272,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
115.934,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
120.2184,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
123.0603,USER,EYE-TRACKING,DECISION_MAKING,,0.3622
