AppTime,Actor,Event_Category,Event_Type,Object,Attributes
60.38131,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
66.19547,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.9739
66.26122,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,1.0922
68.62877,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,2.0335
68.99451,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.3328
69.47366,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.3053
70.90175,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.3022
71.07193,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.5028
71.30077,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,1.6194
73.09296,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,1.4279
73.76839,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,2.798
74.89429,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,1.0545
75.26696,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,3.6686
75.66939,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,1.9729
77.49827,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,4.7335
77.71399,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,2.1769
77.81053,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,2.3736
79.2532,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,1.1815
79.76939,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.4932
82.77468,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3234
83.68037,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.8739
92.59772,USER,EYE-TRACKING,DETECTED_ITEM,Cheese2,0.4104
95.78282,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,10.1343
96.34312,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.3252
96.44609,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,23.2487
110.1925,USER,ACTION,ITEM_ADD,Coffee,Coffee1
110.1936,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,커피 (이)가 추가되었습니다.
110.2001,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
110.2017,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
111.2814,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,11.3267
111.6967,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
111.999,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3572
112.691,USER,EYE-TRACKING,DECISION_MAKING,,5.4478
115.8321,USER,EYE-TRACKING,DECISION_MAKING,,0.9011
116.7982,USER,EYE-TRACKING,DECISION_MAKING,,0.3763
117.3508,USER,EYE-TRACKING,DECISION_MAKING,,0.3082
118.6397,USER,EYE-TRACKING,DECISION_MAKING,,1.0225
119.7394,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.3619
