AppTime,Actor,Event_Category,Event_Type,Object,Attributes
10.02653,SYSTEM,SCENE,START,Start(),AdminEvent.cs
10.09145,SYSTEM,SCENE,START,Start(),scene_name:IntroEvent.cs
28.48985,ADMIN,ACTION,CLICK,introEvent:btn_start,Goal Scene!!
63.53881,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
69.31402,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.3352
69.93915,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5924
70.54175,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.529
71.22793,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4834
71.93744,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5176
72.32377,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3258
73.07169,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.6712
73.82511,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.6876
74.4798,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.53
75.57565,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.8996
76.55498,USER,EYE-TRACKING,DETECTED_ITEM,Baguette1,8.2226
77.62702,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.4169
78.19753,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.5427
79.25713,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,0.4521
79.72861,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.3111
85.78772,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3665
86.73342,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,0.5045
88.33847,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,1.2523
88.88258,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.5213
89.35741,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.3152
92.56754,USER,EYE-TRACKING,DETECTED_ITEM,Cabbage1,0.6119
93.08504,USER,EYE-TRACKING,DETECTED_ITEM,Tomato1,0.4827
101.893,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4011
113.6218,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,1.2239
122.4771,USER,ACTION,ITEM_ADD,Baguette,Baguette1
122.4781,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,빵 (이)가 추가되었습니다.
122.4852,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
122.4867,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
123.0068,USER,EYE-TRACKING,DECISION_MAKING,,2.3985
123.1713,USER,EYE-TRACKING,DECISION_MAKING,,2.5401
123.2228,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,19.8879
123.9144,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.6619
123.9722,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
124.2944,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3401
129.1118,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,5.9176
131.1423,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.2685
133.2785,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,1.4215
134.2429,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.9225
134.7148,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.4323
136.8834,USER,ACTION,ITEM_DUP_ADD,Baguette,Baguette1
136.9986,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,14.1611
138.2443,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.9654
144.1244,USER,ACTION,ITEM_ADD,Tomato,Tomato1
144.1254,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
144.1313,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
144.4166,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,21.3559
146.4892,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,DISAPPEARS
146.7256,USER,EYE-TRACKING,DECISION_MAKING,,23.6559
147.0681,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3648
148.4941,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3057
149.3255,USER,ACTION,ITEM_ADD,Cheese,Cheese2
149.3263,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
149.332,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
149.9451,USER,EYE-TRACKING,DECISION_MAKING,토마토,5.3498
150.1999,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,3.399
151.0684,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.7886
151.953,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.802
152.7117,USER,EYE-TRACKING,DECISION_MAKING,빵,0.5004
152.7758,USER,EYE-TRACKING,DECISION_MAKING,토마토,0.3092
153.6528,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,6.9062
153.8003,USER,EYE-TRACKING,DECISION_MAKING,,1.8312
155.3875,USER,EYE-TRACKING,DECISION_MAKING,,1.7109
155.4935,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
155.4944,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
155.5008,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
158.7512,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.5325
159.2929,USER,EYE-TRACKING,DECISION_MAKING,치즈,0.4606
159.3228,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,3.3107
159.7073,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.3606
159.991,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,5.8914
160.6061,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.5466
161.071,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3119
161.9094,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.6423
162.3162,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,1.0919
162.8049,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
163.0392,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.5218
163.1271,USER,EYE-TRACKING,DECISION_MAKING,토마토,3.9363
163.795,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen3After1s(),screen1:Screen1(home) to Screen3(asking_dc)
164.441,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.3551
165.1785,USER,ACTION,BTN_TOUCH,btn_yes,Screen3:btn_yes()
165.3634,USER,EYE-TRACKING,DETECTED_ITEM,btn_yes,0.9076
166.1865,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen3toScreen4After1s(),Screen3(asking dc) to Screen4(ds)
167.0705,USER,EYE-TRACKING,DETECTED_BUTTON,btn_Z,0.3753
167.4155,USER,EYE-TRACKING,DETECTED_BUTTON,btn_G,0.3304
168.134,USER,ACTION,BTN_TOUCH,Key_J,
168.4797,USER,EYE-TRACKING,DETECTED_BUTTON,btn_J,0.7428
170.7095,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.958
170.8569,USER,ACTION,BTN_TOUCH,btn_back,
170.8577,USER,SYSTEM_MESSAGE,SCREEN_UPDATE,input_discount_code,
171.2465,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.4985
171.654,USER,EYE-TRACKING,DETECTED_BUTTON,btn_K,0.3059
172.1797,USER,EYE-TRACKING,DETECTED_BUTTON,btn_G,0.311
172.5994,USER,ACTION,BTN_TOUCH,Key_Z,
172.7428,USER,EYE-TRACKING,DETECTED_BUTTON,btn_Z,0.5472
173.3885,USER,ACTION,BTN_TOUCH,Key_K,
173.7129,USER,EYE-TRACKING,DETECTED_BUTTON,btn_K,0.946
174.0223,USER,EYE-TRACKING,DETECTED_BUTTON,btn_8,5.4311
174.0434,USER,EYE-TRACKING,DETECTED_BUTTON,btn_Z,0.3097
174.3383,USER,EYE-TRACKING,DETECTED_BUTTON,btn_G,2.1236
176.0126,USER,EYE-TRACKING,DETECTED_BUTTON,btn_J,0.4315
176.3062,USER,ACTION,BTN_TOUCH,Key_J,
177.0372,USER,ACTION,BTN_TOUCH,Key_5,
177.2207,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.7099
177.3092,USER,EYE-TRACKING,DETECTED_ITEM,result_message,7.7304
177.3752,USER,EYE-TRACKING,DETECTED_BUTTON,btn_3,6.1079
178.0565,USER,EYE-TRACKING,DETECTED_BUTTON,btn_6,9.4496
178.3423,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,1.01
178.6817,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.3013
179.259,USER,ACTION,BTN_TOUCH,Key_0,
