AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
48.87098,-0.05549757,1.509228,0.08057876,-0.05443684,-0.02636999,-0.009715772,-0.009715772,FALSE,FALSE,-3.452558,1.207364,1.947723,0.03489123,-0.1867914,-0.981776,44.8165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.9956,-0.0554787,1.509212,0.0805666,-0.0542012,-0.02640172,-0.009742479,-0.009742479,FALSE,FALSE,-3.445997,1.207469,1.950198,0.0446533,-0.1615131,-0.9858419,48.98859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.05147,-0.07191416,1.507424,0.06585405,-0.05332021,-0.02692501,-0.005467623,-0.005467623,FALSE,FALSE,-3.4363,1.207662,1.951722,0.06894901,-0.1695085,-0.9831015,49.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.09145,-0.07218421,1.507511,0.06525265,-0.05346783,-0.02737313,-0.005661016,-0.005661016,FALSE,FALSE,-3.433493,1.207746,1.952452,0.05480558,-0.1543922,-0.9864743,49.08435,-0.2401348,0.6379688,0.1177019,0.01306718,0.3998423,0.2199283,-0.2886413,-0.2886413,0.1465188,0.6377906,0.122515,0.008132641,0.4080038,-0.252738,0.3712146,0.3712146
49.12561,-0.07237844,1.50767,0.06456682,-0.05383376,-0.02780266,-0.005695546,-0.005695546,FALSE,FALSE,-3.433609,1.207796,1.952898,0.03097216,-0.175615,-0.9839623,49.11826,-0.2398326,0.6380756,0.117238,0.01366233,0.3997088,0.2198252,-0.2882916,-0.2882916,0.146426,0.6379282,0.1220306,0.01075512,0.4074423,-0.2537862,0.3716806,0.3716806
49.15622,-0.07245286,1.507844,0.06426828,-0.05411033,-0.02795886,-0.005399555,-0.005399555,FALSE,FALSE,-3.432644,1.207923,1.953288,0.03646642,-0.1675283,-0.9851862,49.14992,-0.2399739,0.6380776,0.1167455,0.01433568,0.3999002,0.2199015,-0.2876454,-0.2876454,0.1465845,0.6379431,0.1217027,0.01059195,0.4074487,-0.2543226,0.3715444,0.3715444
49.18618,-0.07257832,1.508106,0.06410674,-0.05458576,-0.0280921,-0.004969609,-0.004969609,FALSE,FALSE,-3.431755,1.208092,1.953538,0.05685296,-0.1488693,-0.9872093,49.18002,-0.2408012,0.6380192,0.1158739,0.01615002,0.4000235,0.2199073,-0.2875446,-0.2875446,0.1468615,0.638109,0.1216347,0.01054805,0.4077634,-0.2539698,0.3713977,0.3713977
49.217,-0.0727727,1.508308,0.06396621,-0.05515709,-0.02826412,-0.004519913,-0.004519913,FALSE,FALSE,-3.434313,1.208194,1.953505,0.06036128,-0.1488654,-0.9869998,49.21063,-0.2411445,0.6379013,0.1152096,0.0171444,0.4003736,0.2200805,-0.2876914,-0.2876914,0.1472474,0.6381336,0.1211331,0.01568877,0.4083481,-0.2534559,0.3715057,0.3715057
49.25381,-0.07285821,1.508259,0.06409191,-0.05524974,-0.02839154,-0.004103081,-0.004103081,FALSE,FALSE,-3.44265,1.208228,1.952848,0.06305911,-0.1511739,-0.9864791,49.24683,-0.2409923,0.6378024,0.114673,0.01555492,0.4005189,0.220531,-0.2876163,-0.2876163,0.1476365,0.6381347,0.1204056,0.01967553,0.4090067,-0.2533413,0.3716265,0.3716265
49.28361,-0.07292787,1.508153,0.06429386,-0.05484704,-0.02826859,-0.004038556,-0.004038556,FALSE,FALSE,-3.444891,1.20825,1.952621,0.04785459,-0.1757027,-0.9832684,49.2774,-0.2412682,0.6374562,0.1141192,0.01540212,0.400379,0.2212302,-0.2875728,-0.2875728,0.1481475,0.6381831,0.120193,0.0185073,0.4093297,-0.2532496,0.3718194,0.3718194
49.3207,-0.0731305,1.507571,0.064767,-0.05090343,-0.02868173,-0.00419464,-0.00419464,FALSE,FALSE,-3.441362,1.208137,1.952914,0.03774149,-0.1520828,-0.9876323,49.31386,-0.2422551,0.6373088,0.1130661,0.01474917,0.4001546,0.2225903,-0.2881342,-0.2881342,0.1484444,0.6379713,0.1195406,0.01906049,0.4095174,-0.2531828,0.3720955,0.3720955
