AppTime,Actor,Event_Category,Event_Type,Object,Attributes
44.80637,ADMIN,ACTION,CLICK,introEvent:btn_start,CONTENS_START!!
49.94432,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,0.4807
50.49797,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,0.3022
60.47322,USER,EYE-TRACKING,DETECTED_ITEM,Pumpkin1,8.5245
60.96947,USER,EYE-TRACKING,DETECTED_ITEM,Cheese1,0.8763
62.20622,USER,EYE-TRACKING,DETECTED_ITEM,Coffee1,1.9743
74.63727,USER,ACTION,ITEM_ADD,Cabbage,Cabbage1
74.6385,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,양배추 (이)가 추가되었습니다.
74.64565,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
74.64774,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Phone Calling,Calling
75.6075,USER,EYE-TRACKING,DECISION_MAKING,,2.7216
76.15429,SYSTEM,SYSTEM_MESSAGE,NOTIFICATION,Call_subtitle,APPEARS
76.62022,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.7014
77.92686,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3322
78.41519,USER,EYE-TRACKING,DECISION_MAKING,,2.723
78.95623,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4323
80.18954,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3457
81.73078,USER,ACTION,ITEM_ADD,Cheese,Cheese1
81.73171,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,치즈 (이)가 추가되었습니다.
81.73811,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
82.23562,USER,EYE-TRACKING,DECISION_MAKING,,8.9788
83.51623,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.4019
85.93452,USER,ACTION,ITEM_ADD,Tomato,Tomato1
85.93515,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,토마토 (이)가 추가되었습니다.
85.94062,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
86.41975,USER,EYE-TRACKING,DETECTED_ITEM,total_DC,3.6049
87.29336,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,0.8019
87.49742,USER,EYE-TRACKING,DECISION_MAKING,,4.7643
