AppTime,Actor,Event_Category,Event_Type,Object,Attributes
9.191651,SYSTEM,SCENE,START,Start(),AdminEvent.cs
9.25054,SYSTEM,SCENE,START,Start(),scene_name:IntroEvent.cs
10.0087,ADMIN,ACTION,CLICK,BtnStart(),CONTENS_START!!
14.80442,USER,EYE-TRACKING,OFF,Pumpkin1,0.286
14.98469,USER,EYE-TRACKING,OFF,Pumpkin1,0.142
15.04514,USER,EYE-TRACKING,OFF,Cabbage1,0.035
15.1092,USER,EYE-TRACKING,OFF,Cabbage1,0.021
15.71198,USER,EYE-TRACKING,OFF,Cabbage1,0.555
15.77645,USER,EYE-TRACKING,OFF,Cabbage1,0.021
15.79733,USER,EYE-TRACKING,OFF,Cheese2,0.064
15.83142,USER,EYE-TRACKING,OFF,Cabbage1,0.016
16.05449,USER,EYE-TRACKING,OFF,Cheese2,0.202
16.20986,USER,EYE-TRACKING,OFF,Tomato1,0.089
16.34399,USER,EYE-TRACKING,OFF,Coffee1,1.211
16.40838,USER,EYE-TRACKING,OFF,Coffee1,0.020
16.55199,USER,EYE-TRACKING,OFF,Pumpkin1,0.103
20.18482,USER,EYE-TRACKING,OFF,Pumpkin1,0.045
20.25461,USER,EYE-TRACKING,OFF,Cabbage1,0.048
27.86934,USER,EYE-TRACKING,OFF,Cabbage1,0.035
31.44652,USER,EYE-TRACKING,OFF,Baguette1,0.044
37.63039,USER,EYE-TRACKING,OFF,Baguette1,0.314
39.81992,USER,EYE-TRACKING,OFF,Baguette1,0.016
44.37025,USER,EYE-TRACKING,OFF,btn_pay,0.011
44.65837,USER,EYE-TRACKING,OFF,L7,0.275
44.72728,USER,EYE-TRACKING,OFF,total_TA,0.057
44.91743,USER,EYE-TRACKING,OFF,btn_pay,0.179
44.95368,USER,EYE-TRACKING,OFF,L3,0.024
45.17876,USER,EYE-TRACKING,OFF,L1,0.196
46.55871,SYSTEM,SYSTEM_MESSAGE,ADD,Baguette,0
46.56017,USER,ACTION,ADD,Baguette,msg:Baguette is added.
46.56776,SYSTEM,ACTION,NOTIFICATION,[START] Phone Calling,item_code:Baguette1
49.72379,USER,EYE-TRACKING,OFF,total_TA,0.046
50.1067,USER,EYE-TRACKING,OFF,total_DC,0.025
50.48149,USER,EYE-TRACKING,OFF,total_DC,0.299
50.78774,USER,EYE-TRACKING,OFF,L7,0.065
