AppTime,Actor,Event_Category,Event_Type,Object,Attributes
14.84299,SYSTEM,SCENE,START,Start(),AdminEvent.cs
14.90765,SYSTEM,SCENE,START,Start(),scene_name:IntroEvent.cs
66.4973,ADMIN,ACTION,CLICK,BtnStart(),CONTENS_START!!
73.14523,USER,EYE-TRACKING,OFF,Pumpkin1,0.376
73.24673,USER,EYE-TRACKING,OFF,Baguette1,0.077
73.63475,USER,EYE-TRACKING,OFF,Pumpkin1,0.366
73.93361,USER,EYE-TRACKING,OFF,Pumpkin1,0.258
73.97833,USER,EYE-TRACKING,OFF,Cabbage1,0.320
74.41088,USER,EYE-TRACKING,OFF,Coffee1,0.248
74.91385,USER,EYE-TRACKING,OFF,Baguette1,0.473
75.01136,USER,EYE-TRACKING,OFF,Pumpkin1,0.579
75.33694,USER,EYE-TRACKING,OFF,Cabbage1,0.308
75.72274,USER,EYE-TRACKING,OFF,Baguette1,0.366
77.01035,USER,EYE-TRACKING,OFF,Pumpkin1,0.174
77.34338,USER,EYE-TRACKING,OFF,Cabbage1,0.310
78.82822,USER,EYE-TRACKING,OFF,btn_uncheck,0.012
78.9699,USER,EYE-TRACKING,OFF,L4,0.166
79.0136,USER,EYE-TRACKING,OFF,L3,0.033
79.08159,USER,EYE-TRACKING,OFF,total_TA,0.055
80.27482,USER,EYE-TRACKING,OFF,result_message,1.504
80.69372,USER,EYE-TRACKING,OFF,result_message,0.397
80.82926,USER,EYE-TRACKING,OFF,L2,0.113
83.43755,USER,EYE-TRACKING,OFF,Smartphone,1.878
84.70721,USER,EYE-TRACKING,OFF,Smartphone,1.166
84.74099,USER,EYE-TRACKING,OFF,Coffee1,0.020
84.76107,USER,EYE-TRACKING,OFF,Baguette1,7.942
84.82706,USER,EYE-TRACKING,OFF,Pumpkin1,0.047
85.9528,USER,EYE-TRACKING,OFF,Smartphone,1.071
86.07053,USER,EYE-TRACKING,OFF,Pumpkin1,1.211
86.1712,USER,EYE-TRACKING,OFF,Coffee1,0.080
86.38695,USER,EYE-TRACKING,OFF,Smartphone,0.200
86.5715,USER,EYE-TRACKING,OFF,Pumpkin1,0.149
86.63799,USER,EYE-TRACKING,OFF,Cabbage1,0.615
86.69501,USER,EYE-TRACKING,OFF,Smartphone,0.033
87.41628,USER,EYE-TRACKING,OFF,Coffee1,1.007
87.57079,USER,EYE-TRACKING,OFF,Cabbage1,0.132
87.73124,USER,EYE-TRACKING,OFF,Baguette1,0.145
87.76386,USER,EYE-TRACKING,OFF,Smartphone,0.016
