AppTime,Actor,Event_Category,Event_Type,Object,Attributes
7.635601,SYSTEM,SCENE,START,Start(),AdminEvent.cs
7.696506,SYSTEM,SCENE,START,Start(),scene_name:IntroEvent.cs
8.957178,ADMIN,ACTION,CLICK,BtnStart(),CONTENS_START!!
15.07735,USER,EYE-TRACKING,OFF,total_TA,0.419
15.16759,USER,EYE-TRACKING,OFF,btn_pay,0.080
15.38757,USER,EYE-TRACKING,OFF,btn_pay,0.197
15.51279,USER,EYE-TRACKING,OFF,total_TA,0.332
15.55781,USER,EYE-TRACKING,OFF,L1,0.022
15.60297,USER,EYE-TRACKING,OFF,result_message,0.031
15.71562,USER,EYE-TRACKING,OFF,result_message,0.088
15.87815,USER,EYE-TRACKING,OFF,result_message,0.142
15.96633,USER,EYE-TRACKING,OFF,result_message,0.065
16.14392,USER,EYE-TRACKING,OFF,result_message,0.155
16.18522,USER,EYE-TRACKING,OFF,result_message,0.012
16.49495,USER,EYE-TRACKING,OFF,Smartphone,0.032
16.80412,USER,EYE-TRACKING,OFF,Cabbage1,0.056
16.89376,USER,EYE-TRACKING,OFF,Pumpkin1,0.068
16.96142,USER,EYE-TRACKING,OFF,Coffee1,0.042
17.07015,USER,EYE-TRACKING,OFF,Coffee1,0.065
17.42621,USER,EYE-TRACKING,OFF,Cabbage1,0.312
17.64002,USER,EYE-TRACKING,OFF,Coffee1,0.189
17.72475,USER,EYE-TRACKING,OFF,Pumpkin1,0.633
17.79111,USER,EYE-TRACKING,OFF,Coffee1,0.016
18.08231,USER,EYE-TRACKING,OFF,Coffee1,0.255
18.28396,USER,EYE-TRACKING,OFF,Cabbage1,0.542
18.85901,USER,EYE-TRACKING,OFF,Smartphone,0.168
18.97946,USER,EYE-TRACKING,OFF,CreditCard,0.107
19.01447,USER,EYE-TRACKING,OFF,CreditCard,0.011
19.05466,USER,EYE-TRACKING,OFF,Smartphone,0.028
19.0981,USER,EYE-TRACKING,OFF,CreditCard,0.031
19.29865,USER,EYE-TRACKING,OFF,CreditCard,0.177
19.43225,USER,EYE-TRACKING,OFF,Smartphone,0.123
19.51,USER,EYE-TRACKING,OFF,Smartphone,0.053
19.80854,USER,EYE-TRACKING,OFF,Smartphone,0.220
19.85332,USER,EYE-TRACKING,OFF,Smartphone,0.021
20.25241,USER,EYE-TRACKING,OFF,Smartphone,0.376
20.38533,USER,EYE-TRACKING,OFF,Smartphone,0.111
20.86683,USER,EYE-TRACKING,OFF,result_message,0.359
20.88957,USER,EYE-TRACKING,OFF,L1,0.011
21.32209,USER,EYE-TRACKING,OFF,btn_pay,0.409
21.45493,USER,EYE-TRACKING,OFF,total_TA,0.554
21.48862,USER,EYE-TRACKING,OFF,L2,0.023
21.74081,USER,EYE-TRACKING,OFF,result_message,0.240
22.32148,USER,EYE-TRACKING,OFF,result_message,0.393
23.0984,USER,EYE-TRACKING,OFF,Smartphone,0.622
23.28461,USER,EYE-TRACKING,OFF,Smartphone,0.095
