AppTime;HMDPos_x,HMDPos_y,HMDPos_z;MDRot_x,HMDRot_y,HMDRot_z,HMDRot_w;EyePos_x,EyePos_y,EyePos_z;LeftPos_x,LeftPos_y,LeftPos_z;LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w;RightPos_x,RightPos_y,RightPos_z;RightRot_x,RightRot_y,RightRot_z,RightRot_w;
51.64821;0.552231,1.477582,0.06441106;-0.08254098,0.6861796,0.02597806,0.722267;0.5646507,0.6406288,0.2512846;-0.03872848,0.7494205,-0.5696154,0.3352721;0.6191506,0.6429055,-0.0568814;0.5245723,0.2242667,0.118755,0.8126658;
51.7445;0.5520336,1.477584,0.06464237;-0.08242376,0.6846135,0.02590606,0.7237676;-3.712594,1.17215,2.090083;0.5639353,0.6406478,0.2515119;-0.03728732,0.7486712,-0.5695462,0.3372214;0.6194549,0.642811,-0.05631381;0.5243902,0.2222093,0.1198391,0.8131892;
51.77097;0.5626642,1.470969,0.05275711;-0.07130121,0.6991328,-0.0001212662,0.7114279;-3.712071,1.171173,2.09055;0.6034998,0.7038966,0.3045864;-0.02416635,0.6423318,-0.5136696,0.568304;0.5946658,0.6646292,-0.1375637;0.4846189,0.5472325,0.008554325,0.6823547;
51.78896;0.5617007,1.470922,0.05294515;-0.0700019,0.6985766,-0.0002087169,0.7121029;-3.711945,1.171791,2.085517;0.6004027,0.6947944,0.293162;-0.02111287,0.6642994,-0.5070648,0.5487675;0.591083,0.6576829,-0.1314119;0.4756946,0.5451278,-0.00493608,0.6903087;
51.79924;0.561057,1.471211,0.05308222;-0.07106552,0.6981621,0.000250959,0.712404;-3.712069,1.172323,2.081878;0.5981606,0.688746,0.2835273;-0.0264846,0.6824814,-0.5060346,0.5267321;0.5901195,0.6528757,-0.1272378;0.4724411,0.5435683,-0.01041121,0.6937035;
51.81005;0.5608701,1.471253,0.05315248;-0.07102644,0.6980973,0.0009076357,0.7124708;-3.71177,1.172373,2.081942;0.5978506,0.6869054,0.2807855;-0.02828454,0.6873662,-0.5050187,0.521233;0.5899442,0.6513587,-0.1261853;0.4732022,0.5433902,-0.01277922,0.6932847;
51.8209;0.5606971,1.471407,0.05326364;-0.07098669,0.6980615,0.001475939,0.7125088;-3.711267,1.171799,2.08644;0.5978943,0.6852875,0.2782085;-0.030163,0.6918406,-0.5026131,0.51752;0.5897743,0.6497172,-0.1256834;0.4749766,0.543987,-0.01655274,0.691521;
51.83026;0.5605615,1.471588,0.05331549;-0.07127602,0.6979551,0.002023554,0.7125829;-3.71151,1.17255,2.080884;0.5976816,0.6839514,0.2759627;-0.03098267,0.6958957,-0.4984493,0.5160596;0.5899147,0.6478715,-0.1253498;0.4754424,0.545977,-0.02261162,0.6894581;
51.84122;0.5604435,1.471755,0.05342571;-0.07182256,0.6978381,0.002474593,0.7126412;-3.711286,1.172501,2.081644;0.5975213,0.6826159,0.2741948;-0.03166702,0.6991204,-0.4936414,0.5162809;0.5898951,0.6460882,-0.1250377;0.4756102,0.5486575,-0.02843564,0.6869944;
51.85331;0.5603576,1.471985,0.05351263;-0.07269899,0.6975541,0.002951921,0.7128285;-3.71114,1.172707,2.080848;0.5979708,0.6815072,0.2725689;-0.03216574,0.7010609,-0.4888816,0.5181445;0.5899776,0.6443884,-0.1252244;0.4764646,0.5530666,-0.03489605,0.6825549;
51.86522;0.5603895,1.472117,0.05353039;-0.07336093,0.697276,0.00360195,0.7130298;0.5987382,0.680955,0.2710081;-0.03138211,0.7020531,-0.4845301,0.5209291;0.5901595,0.6431428,-0.1254704;0.4788501,0.5570401,-0.04040509,0.6773304;
51.87695;0.5602371,1.472214,0.05358866;-0.07367,0.6970697,0.004162693,0.7131966;0.5992203,0.6798178,0.2695142;-0.02954935,0.7032691,-0.4800396,0.523547;0.59017,0.6418389,-0.125726;0.4821919,0.5602798,-0.04590533,0.6719154;
51.88815;0.5600742,1.472241,0.05361004;-0.0734378,0.6968202,0.004496408,0.7134622;-3.709966,1.171425,2.09218;0.5999883,0.6785778,0.2687027;-0.02515412,0.7031833,-0.475429,0.5280794;0.5900604,0.6404615,-0.1258353;0.4851291,0.5623231,-0.05204353,0.6676332;
