AppTime,Actor,Event_Category,Event_Type,Object,Attributes
16.53201,SYSTEM,SCENE,START,Start(),AdminEvent.cs
16.59118,SYSTEM,SCENE,START,Start(),scene_name:IntroEvent.cs
45.09858,ADMIN,ACTION,CLICK,BtnStart(),CONTENS_START!!
51.86404,USER,EYE-TRACKING,OFF,btn_pay,0.108
51.9401,USER,EYE-TRACKING,OFF,btn_pay,0.041
52.05212,USER,EYE-TRACKING,OFF,btn_pay,0.086
52.14113,USER,EYE-TRACKING,OFF,L6,0.033
52.22911,USER,EYE-TRACKING,OFF,L6,0.065
52.31775,USER,EYE-TRACKING,OFF,L5,0.079
52.46462,USER,EYE-TRACKING,OFF,total_TA,0.022
52.59602,USER,EYE-TRACKING,OFF,total_TA,0.022
54.7891,USER,EYE-TRACKING,OFF,Baguette1,0.738
54.84604,USER,EYE-TRACKING,OFF,Cabbage1,0.033
54.93464,USER,EYE-TRACKING,OFF,Baguette1,0.068
55.04569,USER,EYE-TRACKING,OFF,Baguette1,0.066
55.08841,USER,EYE-TRACKING,OFF,Cabbage1,0.020
55.46809,USER,EYE-TRACKING,OFF,Coffee1,1.401
56.03392,USER,EYE-TRACKING,OFF,Coffee1,0.523
56.14557,USER,EYE-TRACKING,OFF,Cabbage1,0.086
56.5331,USER,EYE-TRACKING,OFF,Cabbage1,0.343
56.68875,USER,EYE-TRACKING,OFF,Tomato1,0.133
56.77844,USER,EYE-TRACKING,OFF,Tomato1,0.021
56.866,USER,EYE-TRACKING,OFF,Cabbage1,0.065
57.07631,USER,EYE-TRACKING,OFF,Cheese2,0.369
57.40247,USER,EYE-TRACKING,OFF,Cheese2,0.294
57.99557,USER,EYE-TRACKING,OFF,Tomato1,0.059
58.10228,USER,EYE-TRACKING,OFF,Coffee1,0.014
61.18634,USER,EYE-TRACKING,OFF,Pumpkin1,0.023
61.45148,USER,EYE-TRACKING,OFF,Cabbage1,3.375
61.53204,USER,EYE-TRACKING,OFF,Cabbage1,0.042
61.67455,USER,EYE-TRACKING,OFF,Cheese1,0.125
66.72601,USER,EYE-TRACKING,OFF,Coffee1,5.523
66.91634,USER,EYE-TRACKING,OFF,Pumpkin1,0.178
70.63656,USER,EYE-TRACKING,OFF,Pumpkin1,3.667
71.05859,USER,EYE-TRACKING,OFF,Coffee1,0.399
71.08139,USER,EYE-TRACKING,OFF,Tomato1,13.048
71.14829,USER,EYE-TRACKING,OFF,Coffee1,0.044
71.91238,USER,EYE-TRACKING,OFF,Coffee1,0.018
71.95598,USER,EYE-TRACKING,OFF,Coffee1,0.013
72.01224,USER,EYE-TRACKING,OFF,Coffee1,0.030
72.05565,USER,EYE-TRACKING,OFF,Pumpkin1,0.028
75.23435,USER,EYE-TRACKING,OFF,Coffee1,3.144
75.44839,USER,EYE-TRACKING,OFF,Pumpkin1,0.200
75.73412,USER,EYE-TRACKING,OFF,Coffee1,0.264
75.75838,USER,EYE-TRACKING,OFF,Smartphone,8.717
75.93436,USER,EYE-TRACKING,OFF,Baguette1,0.156
80.41405,USER,EYE-TRACKING,OFF,Pumpkin1,0.405
80.69917,USER,EYE-TRACKING,OFF,Baguette1,0.932
85.06371,USER,EYE-TRACKING,OFF,Baguette1,0.111
89.61964,USER,EYE-TRACKING,OFF,btn_uncheck,0.096
89.86671,USER,EYE-TRACKING,OFF,L1,0.133
90.09232,USER,EYE-TRACKING,OFF,result_message,0.366
90.35995,USER,EYE-TRACKING,OFF,L5,0.716
90.38329,USER,EYE-TRACKING,OFF,L7,38.288
91.71324,USER,EYE-TRACKING,OFF,Smartphone,0.401
92.74646,USER,EYE-TRACKING,OFF,total_DC,0.124
92.89606,SYSTEM,SYSTEM_MESSAGE,ADD,Baguette,msg:Baguette is added.
92.89728,USER,ACTION,ADD,Baguette,item_code:Baguette1
92.90431,SYSTEM,ACTION,NOTIFICATION,[START] Phone Calling,Calling
94.80235,USER,EYE-TRACKING,OFF,Smartphone,0.790
95.11114,USER,EYE-TRACKING,OFF,L7,0.241
95.14705,USER,EYE-TRACKING,OFF,L6,5.515
95.20334,USER,EYE-TRACKING,OFF,L5,0.046
95.27232,USER,EYE-TRACKING,OFF,L4,0.057
95.5793,USER,EYE-TRACKING,OFF,L3,5.477
95.83694,USER,EYE-TRACKING,OFF,L4,0.244
95.93931,USER,EYE-TRACKING,OFF,L3,0.091
96.07007,USER,EYE-TRACKING,OFF,L2,0.118
96.35532,USER,EYE-TRACKING,OFF,L1,0.275
96.45749,USER,EYE-TRACKING,OFF,result_message,0.088
97.68013,USER,EYE-TRACKING,OFF,L2,0.101
99.20026,USER,EYE-TRACKING,OFF,result_message,1.630
99.72968,USER,EYE-TRACKING,OFF,L1,2.039
99.7995,USER,EYE-TRACKING,OFF,L1,0.045
99.93015,USER,EYE-TRACKING,OFF,L3,0.010
100.9424,USER,EYE-TRACKING,OFF,L1,0.988
101.0522,USER,EYE-TRACKING,OFF,L2,1.111
101.6536,USER,EYE-TRACKING,OFF,L3,0.589
102.2622,USER,EYE-TRACKING,OFF,L4,0.598
102.4638,USER,EYE-TRACKING,OFF,L3,0.190
103.643,USER,EYE-TRACKING,OFF,L4,1.096
103.8961,USER,EYE-TRACKING,OFF,L2,0.242
104.2497,USER,EYE-TRACKING,OFF,L3,0.341
105.252,USER,EYE-TRACKING,OFF,L3,0.733
105.6717,USER,EYE-TRACKING,OFF,L4,1.175
107.0283,USER,EYE-TRACKING,OFF,L3,1.334
107.0774,USER,EYE-TRACKING,OFF,L6,0.011
107.1103,USER,EYE-TRACKING,OFF,btn_uncheck,16.714
107.9292,USER,EYE-TRACKING,OFF,Smartphone,0.804
108.0614,USER,EYE-TRACKING,OFF,L5,0.045
108.1283,USER,EYE-TRACKING,OFF,L6,0.045
108.2847,USER,EYE-TRACKING,OFF,L5,0.145
108.5493,USER,EYE-TRACKING,OFF,L4,0.252
110.3702,USER,EYE-TRACKING,OFF,L5,1.810
110.8808,USER,EYE-TRACKING,OFF,L5,0.486
112.795,USER,EYE-TRACKING,OFF,L5,1.892
112.829,USER,EYE-TRACKING,OFF,L6,0.022
112.863,USER,EYE-TRACKING,OFF,L7,4.833
112.8919,USER,EYE-TRACKING,OFF,L6,0.035
112.9041,SYSTEM,ACTION,NOTIFICATION,Update(),NOTIFICATION_DISAPPEARS
112.9596,USER,EYE-TRACKING,OFF,L5,0.120
113.0056,USER,EYE-TRACKING,OFF,L6,0.034
113.1022,USER,EYE-TRACKING,OFF,L5,0.086
113.2909,USER,EYE-TRACKING,OFF,L5,0.166
113.3246,USER,EYE-TRACKING,OFF,L6,0.210
115.1339,USER,EYE-TRACKING,OFF,total_TA,1.742
116.2584,USER,EYE-TRACKING,OFF,Smartphone,1.112
117.6458,USER,EYE-TRACKING,OFF,total_TA,1.299
